,PseudoTime1,PseudoTime2,PseudoTime3
E8_246,0.30594,NA,NA
E80_50,NA,0.05815,NA
E63_525,NA,0.65866,NA
E47_496,0.622,NA,NA
E51_224,NA,0.27813,NA
E76_4,NA,NA,0.0
E90_794,0.99874,NA,NA
E55_745,NA,NA,0.93679
E29_520,0.65234,NA,NA
E34_396,NA,NA,0.49558
E95_323,0.40329,NA,NA
E44_262,NA,NA,0.32617
E46_129,NA,NA,0.15803
E57_327,NA,NA,0.40834
E43_635,NA,NA,0.79772
E28_719,NA,0.90392,NA
E23_23,0.02402,NA,NA
E85_555,NA,NA,0.69659
E99_659,NA,0.82807,NA
E49_172,NA,NA,0.21239
E61_705,0.88622,NA,NA
E91_463,NA,0.58028,NA
E12_561,NA,0.70417,NA
E32_505,NA,0.63338,NA
E17_47,0.05436,NA,NA
E15_54,NA,NA,0.06321
E69_258,0.32111,NA,NA
E64_795,1.0,NA,NA
E39_291,NA,NA,0.36283
E14_586,0.73578,NA,NA
E9_603,0.75727,NA,NA
E6_766,NA,0.96334,NA
E7_709,NA,0.89128,NA
E66_433,NA,NA,0.54235
E45_437,NA,NA,0.54741
E36_566,0.71049,NA,NA
E58_177,0.21871,NA,NA
E88_562,0.70544,NA,NA
E83_772,NA,0.97092,NA
E97_306,0.3818,NA,NA
E38_662,NA,NA,0.83186
E19_532,0.66751,NA,NA
E2_257,NA,NA,0.31985
E73_97,0.11757,NA,NA
E27_397,NA,0.49684,NA
E68_455,NA,0.57016,NA
E59_420,0.52592,NA,NA
E65_410,NA,NA,0.51327
E75_280,NA,0.34893,NA
E13_712,0.89507,NA,NA
E41_107,NA,NA,0.13021
E84_267,NA,NA,0.33249
E11_692,NA,NA,0.86979
E4_474,NA,0.59418,NA
E3_76,0.09102,NA,NA
E77_254,NA,NA,0.31606
E50_104,NA,NA,0.12642
E52_28,NA,NA,0.03034
E56_382,NA,0.47788,NA
E53_120,0.14665,NA,NA
E37_748,0.94058,NA,NA
E93_33,0.03666,NA,NA
E16_142,0.17446,NA,NA
E48_497,NA,NA,0.62326
E89_95,NA,NA,0.11504
E24_160,0.19722,NA,NA
E72_284,NA,0.35398,NA
E86_636,NA,0.79899,NA
E1_57,NA,0.067,NA
E0_726,NA,NA,0.91277
E81_284,NA,NA,0.35398
E96_70,NA,NA,0.08344
E40_81,0.09735,NA,NA
E22_649,NA,0.81542,NA
E87_420,NA,0.52592,NA
E35_206,NA,NA,0.25537
E30_31,NA,0.03413,NA
E42_190,NA,NA,0.23515
E20_588,NA,NA,0.73831
E92_766,NA,NA,0.96334
E31_724,0.91024,NA,NA
E78_242,NA,0.30088,NA
E25_548,0.68774,NA,NA
E54_529,NA,0.66372,NA
E5_336,0.41972,NA,NA
E71_362,NA,0.45259,NA
E10_352,NA,NA,0.43995
E21_790,NA,NA,0.99368
E67_90,NA,0.10872,NA
E26_549,NA,0.689,NA
E79_366,NA,0.45765,NA
E33_221,NA,NA,0.27434
E98_205,NA,0.25411,NA
E82_783,NA,NA,0.98483
E62_217,NA,NA,0.26928
E70_795,NA,NA,1.0
E94_95,0.11504,NA,NA
E60_473,0.59292,NA,NA
E18_100,0.12137,NA,NA
E74_148,0.18205,NA,NA
