Gene1,Gene2
GATA4,WNT4
NR5A1,GATA4
NR5A1,SRY
DMRT1,FOXL2
FGF9,SOX9
NR5A1,UGR
SRY,SOX9
CTNNB1,RSPO1
CTNNB1,WT1pKTS
NR5A1,NR0B1
RSPO1,WNT4
SOX9,PGD2
SOX9,CTNNB1
SOX9,DMRT1
SOX9,FOXL2
UGR,WT1mKTS
UGR,GATA4
UGR,NR5A1
FGF9,WNT4
NR0B1,NR5A1
NR0B1,WNT4
WNT4,GATA4
SOX9,DKK1
WT1mKTS,AMH
CTNNB1,SRY
FOXL2,DMRT1
WNT4,FGF9
GATA4,WT1mKTS
SOX9,SRY
CTNNB1,WNT4
WNT4,WT1pKTS
CTNNB1,FOXL2
WNT4,SOX9
GATA4,AMH
GATA4,NR5A1
WNT4,NR5A1
NR5A1,AMH
WNT4,FOXL2
CTNNB1,CBX2
WNT4,CTNNB1
UGR,CBX2
UGR,WT1pKTS
CBX2,SOX9
CTNNB1,AMH
SRY,GATA4
WT1mKTS,NR0B1
FOXL2,SOX9
SOX9,NR0B1
WNT4,UGR
GATA4,WT1pKTS
AMH,CTNNB1
SRY,DKK1
RSPO1,CTNNB1
WNT4,RSPO1
CBX2,SRY
DKK1,WNT4
SRY,CTNNB1
NR0B1,AMH
CTNNB1,NR0B1
NR5A1,SOX9
WT1pKTS,SRY
UGR,UGR
GATA4,SRY
