,PseudoTime1,PseudoTime2
E565_109,NA,0.12989
E205_185,0.22573,NA
E4347_789,NA,0.98739
E2160_610,0.76166,NA
E4836_626,NA,0.78184
E3498_184,NA,0.22446
E4564_727,0.90921,NA
E3055_202,0.24716,NA
E2438_634,NA,0.79193
E1212_346,0.42875,NA
E1608_230,NA,0.28247
E1548_527,0.657,NA
E2426_529,0.65952,NA
E1209_338,0.41866,NA
E1814_636,NA,0.79445
E3138_468,NA,0.5826
E4318_523,0.65195,NA
E3823_377,0.46784,NA
E4324_612,NA,0.76419
E2123_667,0.83354,NA
E4097_700,0.87516,NA
E2031_511,NA,0.63682
E4340_672,NA,0.83985
E2005_109,0.12989,NA
E1834_105,0.12484,NA
E284_153,NA,0.18537
E1533_308,NA,0.38083
E1609_702,NA,0.87768
E1183_308,0.38083,NA
E1617_369,0.45776,NA
E4365_380,NA,0.47163
E3493_180,0.21942,NA
E2697_501,0.62421,NA
E1750_426,NA,0.52963
E4135_46,0.05044,NA
E2641_259,0.31904,NA
E4712_248,NA,0.30517
E3972_338,NA,0.41866
E611_591,NA,0.7377
E3116_126,0.15132,NA
E62_444,0.55233,NA
E4569_691,0.86381,NA
E340_736,NA,0.92055
E2026_90,NA,0.10593
E52_758,NA,0.9483
E4523_334,0.41362,NA
E4165_328,0.40605,NA
E2584_746,NA,0.93317
E1268_304,0.37579,NA
E993_780,NA,0.97604
E4020_317,0.39218,NA
E900_528,NA,0.65826
E2742_183,0.2232,NA
E312_353,NA,0.43758
E3036_299,NA,0.36948
E593_366,NA,0.45397
E3110_572,NA,0.71375
E3900_264,0.32535,NA
E4677_753,NA,0.94199
E3825_27,NA,0.02648
E2081_438,NA,0.54477
E1972_268,NA,0.33039
E3966_93,NA,0.10971
E2122_417,0.51828,NA
E1858_133,NA,0.16015
E1155_523,NA,0.65195
E959_626,NA,0.78184
E3176_278,NA,0.343
E1543_148,0.17907,NA
E4617_373,NA,0.4628
E1216_178,NA,0.2169
E1396_357,NA,0.44262
E1128_682,NA,0.85246
E1200_590,0.73644,NA
E1348_325,NA,0.40227
E3687_655,0.81841,NA
E1995_342,NA,0.42371
E642_284,NA,0.35057
E147_660,NA,0.82472
E3409_509,NA,0.6343
E3301_301,0.37201,NA
E1154_408,NA,0.50694
E3256_215,NA,0.26356
E709_735,NA,0.91929
E2014_441,NA,0.54855
E4358_15,NA,0.01135
E2705_716,0.89533,NA
E2791_731,NA,0.91425
E796_224,NA,0.27491
E211_196,NA,0.2396
E564_368,NA,0.45649
E925_234,NA,0.28752
E3492_113,0.13493,NA
E3149_173,0.21059,NA
E3317_516,NA,0.64313
E1322_766,NA,0.95839
E2361_708,0.88525,NA
E758_139,0.16772,NA
E2339_79,0.09206,NA
E1613_258,NA,0.31778
E15_46,0.05044,NA
E274_132,0.15889,NA
E1901_119,NA,0.1425
E1920_667,0.83354,NA
E176_239,NA,0.29382
E3464_76,NA,0.08827
E460_70,NA,0.08071
E4010_15,0.01135,NA
E448_291,NA,0.35939
E163_142,NA,0.1715
E2155_117,0.13997,NA
E2351_618,NA,0.77175
E113_208,0.25473,NA
E4658_475,NA,0.59142
E842_444,0.55233,NA
E1795_80,0.09332,NA
E332_725,0.90668,NA
E3313_419,0.52081,NA
E2401_138,NA,0.16646
E159_649,NA,0.81084
E686_512,NA,0.63808
E1884_134,0.16141,NA
E4387_582,0.72636,NA
E2074_94,NA,0.11097
E2609_128,NA,0.15385
E2571_563,NA,0.7024
E4013_408,NA,0.50694
E3652_331,0.40984,NA
E938_456,0.56747,NA
E3728_583,NA,0.72762
E4670_219,0.2686,NA
E4119_223,0.27364,NA
E2368_636,0.79445,NA
E1673_198,NA,0.24212
E3668_762,0.95334,NA
E1050_566,0.70618,NA
E3117_588,0.73392,NA
E1880_433,0.53846,NA
E4746_41,0.04414,NA
E2985_604,0.7541,NA
E1367_733,0.91677,NA
E2486_538,NA,0.67087
E4216_570,NA,0.71122
E3654_274,NA,0.33796
E2303_501,NA,0.62421
E1605_310,0.38335,NA
E4233_681,NA,0.8512
E43_221,0.27112,NA
E529_323,0.39975,NA
E501_432,NA,0.5372
E3875_184,0.22446,NA
E281_464,0.57755,NA
E3959_137,NA,0.1652
E3983_220,0.26986,NA
E589_65,NA,0.0744
E3623_278,0.343,NA
E4822_722,0.9029,NA
E784_147,NA,0.17781
E4640_727,0.90921,NA
E4980_296,0.3657,NA
E439_88,NA,0.1034
E684_738,0.92308,NA
E412_405,NA,0.50315
E1194_28,0.02774,NA
E2818_616,NA,0.76923
E4788_774,0.96847,NA
E2070_77,0.08953,NA
E996_25,0.02396,NA
E2060_303,NA,0.37453
E1922_182,0.22194,NA
E2525_188,0.22951,NA
E4420_202,NA,0.24716
E1065_112,NA,0.13367
E633_603,0.75284,NA
E4016_673,0.84111,NA
E112_349,NA,0.43253
E623_525,NA,0.65448
E615_622,NA,0.7768
E2158_708,0.88525,NA
E1016_631,NA,0.78815
E4852_670,0.83733,NA
E1331_734,0.91803,NA
E3556_795,0.99496,NA
E1247_342,0.42371,NA
E4501_735,NA,0.91929
E2200_153,NA,0.18537
E3240_120,0.14376,NA
E464_721,NA,0.90164
E4353_799,1.0,NA
E716_162,0.19672,NA
E3918_690,0.86255,NA
E1167_430,NA,0.53468
E1400_585,NA,0.73014
E4667_445,NA,0.55359
