,LRP,source_gene,target_gene
1,0.0009414409,CBX2,AMH
2,0.00138515,CTNNB1,AMH
3,0.0019970026,DHH,AMH
4,0.0029700042,DKK1,AMH
5,0.00057342066,DMRT1,AMH
6,0.0009326408,FGF9,AMH
7,0.0017546508,FOXL2,AMH
8,0.00087195233,GATA4,AMH
9,0.005682058,NR0B1,AMH
10,0.0022222246,NR5A1,AMH
11,0.00063544814,PGD2,AMH
12,0.0019274274,RSPO1,AMH
13,0.0028094547,SOX9,AMH
14,0.0015062115,SRY,AMH
15,0.0025672773,UGR,AMH
16,0.0058138687,WNT4,AMH
17,0.0013163991,WT1mKTS,AMH
18,0.0032116957,WT1pKTS,AMH
21,0.015852606,CTNNB1,CBX2
22,0.011124897,DHH,CBX2
23,0.024381347,DKK1,CBX2
24,0.020053392,DMRT1,CBX2
25,0.0031349973,FGF9,CBX2
26,0.009848016,FOXL2,CBX2
27,0.017500862,GATA4,CBX2
28,0.024082115,NR0B1,CBX2
29,0.016897826,NR5A1,CBX2
30,0.0028249011,PGD2,CBX2
31,0.009829427,RSPO1,CBX2
32,0.00048347042,SOX9,CBX2
33,0.016145509,SRY,CBX2
34,0.021675255,UGR,CBX2
35,0.038611054,WNT4,CBX2
36,0.015501811,WT1mKTS,CBX2
37,0.030415364,WT1pKTS,CBX2
41,0.0025267634,DHH,CTNNB1
42,0.0053782347,DKK1,CTNNB1
43,0.0044749174,DMRT1,CTNNB1
44,0.00053791975,FGF9,CTNNB1
45,0.0058005983,FOXL2,CTNNB1
46,0.010318269,GATA4,CTNNB1
47,0.018089402,NR0B1,CTNNB1
48,0.009937888,NR5A1,CTNNB1
49,0.00081015844,PGD2,CTNNB1
50,0.002695526,RSPO1,CTNNB1
51,0.004930509,SOX9,CTNNB1
52,0.008025782,SRY,CTNNB1
53,0.019723738,UGR,CTNNB1
54,0.012669386,WNT4,CTNNB1
55,0.011516657,WT1mKTS,CTNNB1
56,0.012831971,WT1pKTS,CTNNB1
61,0.0003872777,DKK1,DHH
62,0.005972731,DMRT1,DHH
63,0.0019778768,FGF9,DHH
64,0.00250804,FOXL2,DHH
65,0.00140017,GATA4,DHH
66,0.0064008655,NR0B1,DHH
67,0.007427509,NR5A1,DHH
68,0.0021840008,PGD2,DHH
69,0.008772054,RSPO1,DHH
70,0.00309665,SOX9,DHH
71,0.0033755968,SRY,DHH
72,0.016275149,UGR,DHH
73,0.0068658907,WNT4,DHH
74,0.0022959402,WT1mKTS,DHH
75,0.002960616,WT1pKTS,DHH
81,0.009058038,DMRT1,DKK1
82,0.00039617775,FGF9,DKK1
83,0.01031713,FOXL2,DKK1
84,0.011296704,GATA4,DKK1
85,0.013216816,NR0B1,DKK1
86,0.01722806,NR5A1,DKK1
87,0.0005154498,PGD2,DKK1
88,0.0047784373,RSPO1,DKK1
89,0.015182255,SOX9,DKK1
90,0.009824192,SRY,DKK1
91,0.018042346,UGR,DKK1
92,0.008071646,WNT4,DKK1
93,0.00988577,WT1mKTS,DKK1
94,0.016549936,WT1pKTS,DKK1
101,0.0011529677,FGF9,DMRT1
102,0.0069237524,FOXL2,DMRT1
103,0.009976759,GATA4,DMRT1
104,0.0014798077,NR0B1,DMRT1
105,0.011528851,NR5A1,DMRT1
106,0.00054846134,PGD2,DMRT1
107,0.005350818,RSPO1,DMRT1
108,0.004955523,SOX9,DMRT1
109,0.0044298046,SRY,DMRT1
110,0.012499054,UGR,DMRT1
111,0.00411129,WNT4,DMRT1
112,0.00837769,WT1mKTS,DMRT1
113,0.010886468,WT1pKTS,DMRT1
121,0.0010400141,FOXL2,FGF9
122,0.0004839758,GATA4,FGF9
123,0.0037164208,NR0B1,FGF9
124,0.00096843875,NR5A1,FGF9
125,0.00062596484,PGD2,FGF9
126,0.0051458348,RSPO1,FGF9
127,0.004491758,SOX9,FGF9
128,0.004047335,SRY,FGF9
129,0.00983266,UGR,FGF9
130,0.0039581186,WNT4,FGF9
131,0.0018144107,WT1mKTS,FGF9
132,0.0007583534,WT1pKTS,FGF9
141,0.006748481,GATA4,FOXL2
142,0.016029522,NR0B1,FOXL2
143,0.008341656,NR5A1,FOXL2
144,0.0031296883,PGD2,FOXL2
145,0.0034607206,RSPO1,FOXL2
146,0.006962642,SOX9,FOXL2
147,0.003005383,SRY,FOXL2
148,0.014092861,UGR,FOXL2
149,0.010508336,WNT4,FOXL2
150,0.006530949,WT1mKTS,FOXL2
151,0.013791932,WT1pKTS,FOXL2
161,0.020650636,NR0B1,GATA4
162,0.015516888,NR5A1,GATA4
163,0.0029996159,PGD2,GATA4
164,0.0076013217,RSPO1,GATA4
165,0.0066994615,SOX9,GATA4
166,0.019605942,SRY,GATA4
167,0.009233917,UGR,GATA4
168,0.028547654,WNT4,GATA4
169,0.008365794,WT1mKTS,GATA4
170,0.022490885,WT1pKTS,GATA4
181,0.023051225,NR5A1,NR0B1
182,0.0034895516,PGD2,NR0B1
183,0.017893163,RSPO1,NR0B1
184,0.012648032,SOX9,NR0B1
185,0.077586025,SRY,NR0B1
186,0.08539767,UGR,NR0B1
187,0.087560594,WNT4,NR0B1
188,0.023044143,WT1mKTS,NR0B1
189,0.032721363,WT1pKTS,NR0B1
201,0.0038404837,PGD2,NR5A1
202,0.0038371577,RSPO1,NR5A1
