,LRP,source_gene,target_gene
1,0.0025825966,CBX2,AMH
2,0.0027570734,CTNNB1,AMH
3,0.023470692,DHH,AMH
4,0.0020850804,DKK1,AMH
5,0.009856234,DMRT1,AMH
6,0.02510146,FGF9,AMH
7,0.0016269144,FOXL2,AMH
8,0.0019672783,GATA4,AMH
9,0.035561886,NR0B1,AMH
10,0.013469009,NR5A1,AMH
11,0.045497406,PGD2,AMH
12,0.0025283885,RSPO1,AMH
13,0.007856114,SOX9,AMH
14,0.009157875,SRY,AMH
15,0.0018332307,UGR,AMH
16,0.009646921,WNT4,AMH
17,0.0048904037,WT1mKTS,AMH
18,0.0043615336,WT1pKTS,AMH
21,0.00261512,CTNNB1,CBX2
22,0.0036377446,DHH,CBX2
23,0.0040911995,DKK1,CBX2
24,0.0028053224,DMRT1,CBX2
25,0.0051984973,FGF9,CBX2
26,0.0016856755,FOXL2,CBX2
27,0.00047262077,GATA4,CBX2
28,0.00752892,NR0B1,CBX2
29,0.0008362752,NR5A1,CBX2
30,0.002965159,PGD2,CBX2
31,0.0036675003,RSPO1,CBX2
32,0.00213639,SOX9,CBX2
33,0.0044377665,SRY,CBX2
34,0.002137221,UGR,CBX2
35,0.0034796442,WNT4,CBX2
36,0.0007616994,WT1mKTS,CBX2
37,0.002925129,WT1pKTS,CBX2
41,0.003650906,DHH,CTNNB1
42,0.0036936812,DKK1,CTNNB1
43,0.003386853,DMRT1,CTNNB1
44,0.0052063046,FGF9,CTNNB1
45,0.0021843188,FOXL2,CTNNB1
46,0.0012245956,GATA4,CTNNB1
47,0.0050271517,NR0B1,CTNNB1
48,0.0046165558,NR5A1,CTNNB1
49,0.0047765034,PGD2,CTNNB1
50,0.0027750717,RSPO1,CTNNB1
51,0.00840091,SOX9,CTNNB1
52,0.002861055,SRY,CTNNB1
53,0.0021189083,UGR,CTNNB1
54,0.002742114,WNT4,CTNNB1
55,0.0005659583,WT1mKTS,CTNNB1
56,0.0006583391,WT1pKTS,CTNNB1
61,0.0122864805,DKK1,DHH
62,0.016354332,DMRT1,DHH
63,0.016705912,FGF9,DHH
64,0.000588123,FOXL2,DHH
65,0.005239334,GATA4,DHH
66,0.022883046,NR0B1,DHH
67,0.008319316,NR5A1,DHH
68,0.019814534,PGD2,DHH
69,0.0028950837,RSPO1,DHH
70,0.007912504,SOX9,DHH
71,0.014602156,SRY,DHH
72,0.0012790821,UGR,DHH
73,0.0031722223,WNT4,DHH
74,0.00444837,WT1mKTS,DHH
75,0.004014574,WT1pKTS,DHH
81,0.011043342,DMRT1,DKK1
82,0.01890693,FGF9,DKK1
83,0.0026898244,FOXL2,DKK1
84,0.0035085233,GATA4,DKK1
85,0.009797472,NR0B1,DKK1
86,0.0028237246,NR5A1,DKK1
87,0.009357114,PGD2,DKK1
88,0.0013344046,RSPO1,DKK1
89,0.0155042205,SOX9,DKK1
90,0.0045464165,SRY,DKK1
91,0.0029622018,UGR,DKK1
92,0.004111771,WNT4,DKK1
93,0.0028781614,WT1mKTS,DKK1
94,0.005890856,WT1pKTS,DKK1
101,0.018387368,FGF9,DMRT1
102,0.0019826423,FOXL2,DMRT1
103,0.0020730044,GATA4,DMRT1
104,0.007937152,NR0B1,DMRT1
105,0.0041481964,NR5A1,DMRT1
106,0.013636362,PGD2,DMRT1
107,0.002194211,RSPO1,DMRT1
108,0.0076469975,SOX9,DMRT1
109,0.0031514643,SRY,DMRT1
110,0.003430409,UGR,DMRT1
111,0.0025894209,WNT4,DMRT1
112,0.0014271893,WT1mKTS,DMRT1
113,0.0053019263,WT1pKTS,DMRT1
121,0.0027968488,FOXL2,FGF9
122,0.0037361071,GATA4,FGF9
123,0.04295699,NR0B1,FGF9
124,0.0072971294,NR5A1,FGF9
125,0.03260156,PGD2,FGF9
126,0.0050890218,RSPO1,FGF9
127,0.021636393,SOX9,FGF9
128,0.016139735,SRY,FGF9
129,0.0028997457,UGR,FGF9
130,0.005418496,WNT4,FGF9
131,0.0025644023,WT1mKTS,FGF9
132,0.00039834605,WT1pKTS,FGF9
141,0.0013650532,GATA4,FOXL2
142,0.004740718,NR0B1,FOXL2
143,0.0019498148,NR5A1,FOXL2
144,0.0060102,PGD2,FOXL2
145,0.0034383382,RSPO1,FOXL2
146,0.00717743,SOX9,FOXL2
147,0.00237825,SRY,FOXL2
148,0.0018017078,UGR,FOXL2
