,PseudoTime1,PseudoTime2,PseudoTime3
E2666_361,0.45113,NA,NA
E4813_410,NA,NA,0.51253
E1723_27,0.03258,NA,NA
E4077_530,0.66291,NA,NA
E4198_11,NA,0.01253,NA
E2227_709,0.88722,NA,NA
E720_419,0.52381,NA,NA
E4984_162,NA,0.20175,NA
E3117_305,NA,0.38095,NA
E2080_702,NA,NA,0.87845
E4801_702,NA,0.87845,NA
E4854_371,NA,0.46366,NA
E4616_722,NA,NA,0.90351
E1330_292,NA,NA,0.36466
E4886_736,NA,NA,0.92105
E2831_215,0.26817,NA,NA
E2188_776,NA,NA,0.97118
E291_767,0.9599,NA,NA
E1980_637,NA,0.79699,NA
E396_618,NA,NA,0.77318
E2228_349,0.43609,NA,NA
E349_629,NA,0.78697,NA
E3663_90,NA,NA,0.11153
E3184_588,NA,NA,0.73559
E3528_84,NA,0.10401,NA
E575_118,NA,NA,0.14662
E4187_490,0.61278,NA,NA
E4868_26,0.03133,NA,NA
E3730_523,NA,0.65414,NA
E3989_779,NA,0.97494,NA
E125_371,0.46366,NA,NA
E3894_412,NA,0.51504,NA
E1043_377,NA,NA,0.47118
E3030_3,NA,NA,0.00251
E1048_697,0.87218,NA,NA
E168_417,NA,NA,0.5213
E1087_464,NA,NA,0.5802
E2784_316,NA,NA,0.39474
E4067_388,NA,NA,0.48496
E2873_161,0.2005,NA,NA
E765_468,NA,NA,0.58521
E4303_745,0.93233,NA,NA
E4150_394,NA,0.49248,NA
E2372_645,0.80702,NA,NA
E1357_376,NA,NA,0.46992
E3397_437,NA,0.54637,NA
E3772_546,NA,NA,0.68296
E2421_747,0.93484,NA,NA
E1847_798,NA,0.99875,NA
E4741_769,0.96241,NA,NA
E3112_516,NA,NA,0.64536
E4037_620,0.77569,NA,NA
E1119_11,NA,NA,0.01253
E4083_128,NA,0.15915,NA
E4370_13,NA,NA,0.01504
E1810_62,NA,NA,0.07644
E879_727,NA,NA,0.90977
E3104_425,NA,0.53133,NA
E1827_273,NA,NA,0.34085
E1302_378,NA,0.47243,NA
E150_114,0.1416,NA,NA
E3130_396,NA,NA,0.49499
E4981_419,0.52381,NA,NA
E3713_426,0.53258,NA,NA
E1073_526,0.65789,NA,NA
E162_585,0.73183,NA,NA
E2595_407,NA,NA,0.50877
E479_533,NA,NA,0.66667
E2085_98,NA,0.12155,NA
E4350_219,NA,NA,0.27318
E1677_337,0.42105,NA,NA
E1573_191,NA,0.2381,NA
E2164_101,0.12531,NA,NA
E1398_388,0.48496,NA,NA
E2229_78,NA,NA,0.09649
E4277_351,NA,0.4386,NA
E715_435,0.54386,NA,NA
E1777_228,NA,0.28446,NA
E4226_749,NA,NA,0.93734
E3592_199,NA,0.24812,NA
E4068_90,NA,0.11153,NA
E620_495,0.61905,NA,NA
E1446_64,0.07895,NA,NA
E420_321,NA,0.401,NA
E2838_359,0.44862,NA,NA
E3568_727,NA,NA,0.90977
E4542_259,NA,NA,0.32331
E1774_423,NA,0.52882,NA
E4184_206,0.25689,NA,NA
E1377_640,0.80075,NA,NA
E1682_384,NA,NA,0.47995
