	Cebpa	EgrNab	Eklf	Fli1	Fog1	Gata1	Gata2	Gfi1	Pu1	Scl	cJun
E1499_495	2.100238168821284	0.03147467068580485	0.003569247204421612	0.009343311748852029	0.013836706390322943	0.005065292435544334	0.013273634775036135	1.5880699144975496	1.8242085533774068	0.042048456916593216	0.028936338575763536
E691_298	1.7350407354006605	0.00043510799705735953	0.0005611943970197414	0.0014863983035651807	0.0003887582432220418	0.004635407161750048	0.0037829186871205507	1.5291325131324285	2.489258371341717	0.015674683800280156	0.002933258992918291
E1878_774	1.848371528845468	0.002868622411944601	0.005735601226302034	0.013947124420688795	0.03259123663130907	0.00609393878785545	0.017022208969593687	1.8445980581830328	2.176347780943076	0.002504190290782771	0.0011477084283181387
E1981_669	0.008559293681960664	1.8018423933183336	0.002056667865748186	0.010959940387289618	0.017163015885565458	0.02738355712916284	0.00011936382632845093	0.003033941651711741	2.0139192779576938	0.07185112493619528	2.1196404541715475
E1665_52	0.8299216754935895	0.031232398150385438	0.015929360108924543	0.014919202149760028	0.014935460220951588	0.010166820742528341	0.004645023853601797	1.6099152264784766	1.6717787421148491	0.005254013402221975	1.859999153215511
E1357_41	0.045550222904134435	0.0058895576450467575	0.05434802256047425	0.04178361741438559	0.0015153158327507017	0.0009228030419063148	0.0027756781792722344	0.0059736686405406645	1.7339176265053595	0.001755255966308333	1.3359101879025757
E1511_705	0.0018797878003426792	1.5944392699368577	0.029990239429276123	0.009745096689154152	0.014992144444911716	0.005479513891658573	0.008166834495982342	0.0009365522727943342	1.821885350669664	0.025120714366125826	1.9799315408071152
E1258_38	0.9423452094210438	0.004831178107012897	0.004666414365383179	0.0010751395415417038	0.0020246399627052505	1.272251890018899	0.8889936231900829	0.6888161939554354	0.3368400182343377	0.004950301539294521	0.16023553525350492
E1771_632	1.4413957654616958	0.02188930459152096	0.00272650916435422	0.023447107046604573	0.015493806919636654	0.015929603350754398	0.01916476220689152	1.7499820301619768	2.3000578477416096	0.0013612650059530256	0.024922364725217132
E1158_669	0.07198000534823079	1.6774613332845687	0.03608496857853169	0.009162775061945056	0.0027794912561437193	0.0010760501365036411	0.013443516100830994	0.016897076672218056	1.7152473837833493	0.06196906626358253	1.9949204301195764
E434_455	2.5079591032198483	0.004892912957119618	0.014076850423946971	0.022652308075680902	0.0017107537833527487	0.0608869187705308	0.0013123822627670073	1.7964786599154925	2.067115231346212	0.002731395234160397	0.07133163301210121
E436_671	1.3074449999878195	0.08178885605147745	0.013588595863102158	0.09304052032148694	0.008189271431682679	0.0022159611507021077	0.024309399965089882	1.625717037293661	1.9221186756730348	0.00231961754806462	0.009467224649164326
