,PseudoTime1,PseudoTime2,PseudoTime3
E20_312,NA,0.39186,NA
E80_540,0.68193,NA,NA
E39_552,NA,0.6972,NA
E84_361,NA,0.4542,NA
E35_386,NA,NA,0.48601
E72_790,NA,1.0,NA
E10_231,NA,NA,0.2888
E53_602,NA,0.76081,NA
E0_657,NA,NA,0.83079
E98_254,0.31807,NA,NA
E73_341,0.42875,NA,NA
E58_475,NA,0.59924,NA
E6_4,0.0,NA,NA
E56_336,NA,NA,0.42239
E48_575,NA,0.72646,NA
E50_295,NA,NA,0.37023
E36_136,NA,NA,0.16794
E61_750,NA,0.94911,NA
E15_470,0.59288,NA,NA
E87_669,NA,NA,0.84606
E17_10,NA,NA,0.00763
E1_420,0.52926,NA,NA
E31_629,0.79517,NA,NA
E79_102,NA,0.12468,NA
E51_547,0.69084,NA,NA
E55_125,0.15394,NA,NA
E76_769,NA,NA,0.97328
E9_299,0.37532,NA,NA
E4_469,0.5916,NA,NA
E83_560,0.70738,NA,NA
E47_382,NA,0.48092,NA
E86_523,NA,0.66031,NA
E70_166,0.20611,NA,NA
E88_712,NA,NA,0.90076
E96_525,NA,0.66285,NA
E68_718,NA,NA,0.9084
E46_596,0.75318,NA,NA
E89_411,0.51781,NA,NA
E99_636,0.80407,NA,NA
E43_264,NA,0.33079,NA
E57_454,NA,NA,0.57252
E64_334,0.41985,NA,NA
E75_538,NA,0.67939,NA
E92_766,NA,NA,0.96947
E24_704,0.89059,NA,NA
E71_117,NA,0.14377,NA
E74_330,0.41476,NA,NA
E7_178,NA,NA,0.22137
E32_754,NA,0.9542,NA
E77_214,NA,NA,0.26718
E3_17,NA,NA,0.01654
E66_575,0.72646,NA,NA
E28_564,NA,0.71247,NA
E59_114,0.13995,NA,NA
E37_381,NA,0.47964,NA
E85_642,NA,NA,0.8117
E19_137,NA,0.16921,NA
E38_692,0.87532,NA,NA
E26_583,NA,0.73664,NA
E67_783,NA,0.99109,NA
E5_111,NA,NA,0.13613
E34_223,NA,NA,0.27863
E44_181,NA,0.22519,NA
E97_99,NA,0.12087,NA
E41_119,0.14631,NA,NA
E40_316,NA,NA,0.39695
E13_390,NA,0.49109,NA
E2_719,NA,NA,0.90967
E81_475,0.59924,NA,NA
E65_701,NA,NA,0.88677
E52_173,NA,0.21501,NA
E82_355,0.44656,NA,NA
E27_536,NA,NA,0.67684
E49_616,0.77863,NA,NA
E14_327,NA,0.41094,NA
E11_743,0.9402,NA,NA
E90_695,NA,0.87913,NA
E8_255,NA,NA,0.31934
E25_180,NA,NA,0.22392
E23_428,0.53944,NA,NA
E63_399,0.50254,NA,NA
E33_413,0.52036,NA,NA
E42_474,NA,NA,0.59796
E94_497,NA,0.62723,NA
E18_385,0.48473,NA,NA
E93_287,NA,0.36005,NA
E62_740,NA,NA,0.93639
E29_412,NA,0.51908,NA
E12_227,0.28372,NA,NA
E16_574,NA,0.72519,NA
E45_428,NA,0.53944,NA
E91_333,NA,NA,0.41858
E60_19,0.01908,NA,NA
E95_544,0.68702,NA,NA
E54_482,0.60814,NA,NA
E21_723,NA,0.91476,NA
E30_6,0.00254,NA,NA
E22_46,NA,0.05344,NA
E69_178,NA,NA,0.22137
E78_505,NA,NA,0.6374
