,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4,PseudoTime5
E1676_323,,0.64659,,,
E458_448,,,,,0.89759
E1264_395,,0.7911600000000001,,,
E1246_247,,,0.49398000000000003,,
E1520_461,,,0.92369,,
E776_53,,0.10442,,,
E478_411,,,0.82329,,
E1750_203,,,,,0.40562
E1037_317,,,0.63454,,
E942_333,,,0.66667,,
E1483_215,,,,,0.42972
E496_242,,,0.48394,,
E436_427,,,,,0.8554200000000001
E1013_171,,0.34137,,,
E1576_353,,0.7068300000000001,,,
E722_42,,,,,0.08233
E731_89,,,,,0.17670999999999998
E963_247,,,0.49398000000000003,,
E1821_335,,,0.67068,,
E1906_365,,0.73092,,,
E1330_137,,,,,0.27309
E1513_55,,,,,0.10843
E711_94,,,0.18675,,
E96_297,,0.59438,,,
E163_211,,,0.42168999999999995,,
E1041_83,,,0.16466,,
E188_393,,,,,0.78715
E1104_118,,,0.23494,,
E692_144,,,0.28715,,
E783_376,,0.7530100000000001,,,
E98_288,,0.57631,,,
E1128_214,,,0.42771000000000003,,
E1496_430,,,,0.86145,
E706_334,,0.66867,,,
E624_264,,,0.5281100000000001,,
E634_185,,0.36948000000000003,,,
E1794_399,,,0.7992,,
E818_146,,0.29116,,,
E500_432,,0.86546,,,
E1866_245,,0.48996000000000006,,,
E1954_195,,0.38956,,,
E185_393,,0.78715,,,
E502_257,,0.5140600000000001,,,
E1553_22,,0.04217,,,
E1193_419,,0.83936,,,
E345_40,,,0.07831,,
E211_177,,,,,0.35341
E1877_435,,,0.87149,,
E1749_376,,0.7530100000000001,,,
E1549_398,,,0.79719,,
E451_429,,,,,0.85944
E374_443,,0.88755,,,
E1547_7,,0.01205,,,
E109_241,0.48193,,,,
E78_404,,,0.80924,,
E888_8,,,,,0.01406
E1161_461,,,0.92369,,
E1937_399,0.7992,,,,
E1723_137,,0.27309,,,
E1154_272,0.54418,,,,
E848_370,,,0.7409600000000001,,
E1670_276,,,,,0.5522100000000001
E613_481,,0.96386,,,
E843_73,,,,,0.14458
E1538_497,,0.99598,,,
E1439_397,,,0.79518,,
E1707_359,,,0.71888,,
E1636_57,,,0.11245,,
E1014_252,,,,,0.50402
E101_131,,0.26104,,,
E180_60,,,0.11847,,
E1590_5,,,,,0.008029999999999999
E1742_361,,0.7228899999999999,,,
E238_349,,,,,0.6988
E154_437,,,,,0.8755
E1052_326,,,0.65261,,
E996_204,,,,0.40763,
E54_135,,0.26908000000000004,,,
E1614_387,,,,,0.7751
E1833_200,,,0.3996,,
E360_255,,,,,0.5100399999999999
E1912_63,,,,,0.1245
E453_266,,0.53213,,,
E1738_96,,,0.19075999999999999,,
E930_6,,,,,0.01004
E81_199,,,,,0.39759
E485_330,,,,,0.66064
E1456_262,,0.5241,,,
E1743_386,0.7730899999999999,,,,
E1686_185,0.36948000000000003,,,,
E1827_67,,0.13253,,,
E1855_206,,0.41165,,,
E1985_219,,,,0.43775,
E1805_399,,,,,0.7992
E1887_320,,,0.64056,,
E1145_200,,,0.3996,,
E328_50,,,0.09838999999999999,,
E883_326,,0.65261,,,
E108_120,,,,,0.23895999999999998
E854_209,,0.41767,,,
E642_281,,,0.56225,,
E50_84,,,,,0.16667
E912_266,,,0.53213,,
E543_99,,,0.19679000000000002,,
E368_32,,,0.06225,,
E1115_415,,,0.8313299999999999,,
E538_119,,,0.23695,,
E863_16,,,0.030119999999999997,,
E1731_62,,,,,0.12249000000000002
E1475_97,0.19277,,,,
E255_448,,,0.89759,,
E1048_219,,,,,0.43775
E273_318,,,,,0.63655
E717_40,,0.07831,,,
E1078_222,,0.44378,,,
E381_51,,,,0.1004,
E1043_298,,,0.59639,,
E1425_60,,,0.11847,,
E603_422,,,,,0.8453799999999999
E455_412,,,0.8253,,
E1223_27,0.05221,,,,
E1879_138,,,,,0.2751
E598_269,,,,,0.53815
E1653_406,,,0.81325,,
E1720_347,,0.6947800000000001,,,
E1958_379,,,0.7590399999999999,,
E645_277,,,,,0.5542199999999999
E1003_392,,,0.78514,,
E672_247,,0.49398000000000003,,,
E655_57,0.11245,,,,
E1033_284,,,,,0.5682699999999999
E1198_352,,0.70482,,,
E884_47,,,0.09237000000000001,,
E769_189,,,0.37751,,
E1868_452,,0.9056200000000001,,,
E127_329,,,0.65863,,
E239_265,,,,,0.53012
E173_257,,,0.5140600000000001,,
E1098_175,,0.3494,,,
E245_11,,,,,0.02008
E44_278,,,0.5562199999999999,,
E983_200,,,0.3996,,
E870_241,,,,,0.48193
E1817_98,,,0.19478,,
E629_375,,,,0.7509999999999999,
E428_184,,0.36746999999999996,,,
E612_37,,,0.07229,,
E665_228,,,,0.45582,
E1973_424,,,0.8494,,
E1852_188,,,,,0.3755
E547_408,,,,,0.8172699999999999
E1254_486,,,,,0.9739
E503_24,,,,,0.04618
E916_168,,,0.33534,,
E1644_126,,,,,0.251
E198_123,,,,0.24498000000000003,
E1380_106,,,0.21084,,
E743_22,,,0.04217,,
E302_400,,0.8012,,,
E1733_466,,,0.93373,,
E294_129,,0.25703000000000004,,,
E1235_225,,,0.4498,,
E846_192,,0.38353000000000004,,,
E477_432,,,,,0.86546
E1919_152,,,,,0.30321
E797_305,,,,,0.61044
E1082_420,,,0.8413700000000001,,
E237_229,,,,,0.45783
E443_6,,0.01004,,,
E577_21,,,0.04016,,
E534_64,,0.12650999999999998,,,
E166_7,,,,,0.01205
E1447_401,,,,,0.8032100000000001
E33_487,,,,,0.9759
E886_228,,,0.45582,,
E1134_276,,,,,0.5522100000000001
E106_203,,,,,0.40562
E1398_214,,0.42771000000000003,,,
