Gene1,Gene2
DKK1,WNT4
CBX2,SRY
FGF9,SOX9
SRY,SRY
FGF9,WNT4
GATA4,WT1pKTS
WT1mKTS,NR5A1
WNT4,RSPO1
CTNNB1,FOXL2
NR5A1,GATA4
SOX9,FOXL2
WNT4,CBX2
WNT4,NR5A1
SOX9,DMRT1
CBX2,NR5A1
GATA4,NR5A1
SRY,DMRT1
CTNNB1,WNT4
SOX9,PGD2
GATA4,WNT4
CTNNB1,SOX9
WNT4,NR0B1
UGR,CBX2
DKK1,RSPO1
SOX9,AMH
NR5A1,SOX9
NR5A1,NR0B1
CTNNB1,SRY
WT1pKTS,SRY
WNT4,FGF9
CTNNB1,AMH
NR5A1,SRY
SOX9,CTNNB1
GATA4,AMH
NR5A1,UGR
NR5A1,AMH
UGR,WT1mKTS
WNT4,UGR
PGD2,SOX9
NR0B1,WNT4
SOX9,FGF9
WT1mKTS,NR0B1
CTNNB1,WT1pKTS
CTNNB1,RSPO1
GATA4,WT1mKTS
WT1mKTS,AMH
NR0B1,NR5A1
CTNNB1,CBX2
GATA4,SOX9
AMH,CTNNB1
WNT4,SOX9
WNT4,FOXL2
CBX2,SOX9
WNT4,CTNNB1
FOXL2,DMRT1
SOX9,DHH
UGR,UGR
SOX9,DKK1
SOX9,NR0B1
SRY,DKK1
GATA4,SRY
RSPO1,WNT4
UGR,WT1pKTS
