Gene1,Gene2
SOX9,PGD2
CTNNB1,AMH
GATA4,SRY
WNT4,RSPO1
DKK1,WNT4
WNT4,SOX9
CTNNB1,WNT4
UGR,WT1mKTS
SRY,CTNNB1
RSPO1,CTNNB1
CTNNB1,SOX9
SOX9,DMRT1
GATA4,WNT4
NR5A1,UGR
FOXL2,SOX9
SOX9,SOX9
SOX9,DKK1
WNT4,CBX2
SOX9,NR0B1
UGR,UGR
UGR,CBX2
SOX9,SRY
CTNNB1,SRY
SRY,GATA4
UGR,GATA4
WNT4,WT1pKTS
SOX9,CTNNB1
CTNNB1,RSPO1
GATA4,WT1mKTS
WT1mKTS,SRY
NR5A1,AMH
SOX9,DHH
NR5A1,SRY
GATA4,WT1pKTS
UGR,NR5A1
CTNNB1,NR0B1
WNT4,NR5A1
CBX2,SOX9
NR5A1,SOX9
DKK1,RSPO1
PGD2,SOX9
CTNNB1,WT1pKTS
NR0B1,WNT4
WNT4,NR0B1
CTNNB1,FOXL2
CTNNB1,CBX2
UGR,WT1pKTS
NR0B1,AMH
GATA4,SOX9
SRY,SOX9
NR5A1,NR0B1
AMH,CTNNB1
WNT4,GATA4
SOX9,FGF9
GATA4,NR5A1
RSPO1,WNT4
DMRT1,FOXL2
WNT4,CTNNB1
WT1mKTS,NR5A1
NR0B1,NR5A1
WT1mKTS,NR0B1
FOXL2,DMRT1
FGF9,WNT4
