,PseudoTime1,PseudoTime2,PseudoTime3
E1434_622,0.7782,NA,NA
E494_195,0.24311,NA,NA
E4415_442,0.55263,NA,NA
E3414_617,NA,NA,0.77193
E1006_77,NA,0.09524,NA
E4064_88,NA,NA,0.10902
E1158_663,0.82957,NA,NA
E3558_431,0.53885,NA,NA
E465_363,0.45363,NA,NA
E2906_73,NA,NA,0.09023
E4792_480,NA,NA,0.60025
E2352_58,NA,0.07143,NA
E4399_326,NA,NA,0.40727
E1529_742,NA,0.92857,NA
E3872_663,0.82957,NA,NA
E1769_423,NA,NA,0.52882
E118_98,NA,NA,0.12155
E1477_314,NA,0.39223,NA
E3504_502,0.62782,NA,NA
E3935_555,0.69424,NA,NA
E1731_326,NA,NA,0.40727
E4158_152,NA,0.18922,NA
E4255_711,NA,0.88972,NA
E1255_65,NA,0.0802,NA
E325_714,0.89348,NA,NA
E2737_363,0.45363,NA,NA
E2518_792,NA,NA,0.99123
E2295_594,NA,NA,0.74311
E456_591,NA,0.73935,NA
E2052_512,0.64035,NA,NA
E2309_144,NA,NA,0.1792
E2346_734,NA,0.91855,NA
E4844_617,0.77193,NA,NA
E3302_534,NA,NA,0.66792
E274_777,NA,NA,0.97243
E2727_340,NA,0.42481,NA
E4446_343,NA,0.42857,NA
E2075_428,NA,0.53509,NA
E1709_264,NA,0.32957,NA
E3109_54,NA,0.06642,NA
E4190_797,NA,NA,0.99749
E1797_478,NA,NA,0.59774
E1344_708,0.88596,NA,NA
E4614_591,0.73935,NA,NA
E3197_494,NA,NA,0.61779
E937_197,NA,NA,0.24561
E1717_64,NA,0.07895,NA
E2051_496,NA,NA,0.6203
E3910_90,NA,NA,0.11153
E2603_475,0.59398,NA,NA
E614_240,NA,0.2995,NA
E3221_296,0.36967,NA,NA
E1057_175,NA,NA,0.21805
E3196_140,NA,NA,0.17419
E2208_303,NA,0.37845,NA
E726_400,0.5,NA,NA
E1671_120,0.14912,NA,NA
E889_220,NA,NA,0.27444
E2559_675,NA,NA,0.84461
E2606_603,0.75439,NA,NA
E3132_60,NA,NA,0.07393
E3326_397,0.49624,NA,NA
E1514_695,NA,0.86967,NA
E1938_432,NA,0.5401,NA
E4897_695,NA,0.86967,NA
E2245_618,NA,NA,0.77318
E3783_658,NA,NA,0.82331
E1360_439,NA,NA,0.54887
E2641_75,0.09273,NA,NA
E2339_147,0.18296,NA,NA
E4323_634,NA,0.79323,NA
E838_386,NA,0.48246,NA
E3621_153,NA,NA,0.19048
E1819_26,0.03133,NA,NA
E3905_521,NA,0.65163,NA
E1184_446,NA,NA,0.55764
E2360_575,NA,NA,0.7193
E3289_212,NA,NA,0.26441
E1335_48,0.0589,NA,NA
E2646_499,NA,0.62406,NA
E3275_732,NA,NA,0.91604
E2428_49,0.06015,NA,NA
E3925_193,NA,0.2406,NA
E2324_274,NA,0.34211,NA
E4147_228,0.28446,NA,NA
