	AMH	CBX2	CTNNB1	DHH	DKK1	DMRT1	FGF9	FOXL2	GATA4	NR0B1	NR5A1	PGD2	RSPO1	SOX9	SRY	UGR	WNT4	WT1mKTS	WT1pKTS
E1561_26	0.0048099023491563215	1.5530782308886155	0.01680115685148981	0.01409070140962126	0.001275023262141673	0.0030046941222224705	0.01714129272582819	0.0009788256104636378	1.8081671761440257	0.009012720840823564	1.6467365371858582	0.005463975990914435	0.029668420179050768	0.002341007453678429	0.005927720108965482	1.60133266992837	0.0029107766172394326	1.787840456255818	1.6698824854154823
E378_630	0.02569099712457904	0.0006934419073853713	1.441357342922656	0.004880650503383535	0.0012469179387287165	0.0038660741510097296	0.0025663035727567863	1.8049481816808992	2.0135013944213926	1.6368456031800909	0.0009699142551313424	0.02294314355851024	2.1267477705452063	0.0031780555415736552	0.010281868639231093	0.012358073243813123	2.1184120789027108	2.284407921737984	0.04176545287636765
E1414_701	2.24257614976741	0.011103098401162994	0.02174609412093492	2.048158765779452	1.880385622505781	1.7451987658948147	1.6123354555800191	0.007517606962723097	1.9443656048433038	0.0015639150410379915	1.8608661501765813	1.8242380607816409	0.01638166163241401	2.154296028319524	1.5086826436847622	0.003628731468500818	0.01985243494739046	2.0425873573615703	1.833865039716282
E1728_783	0.046519794425435065	0.003201501712922041	1.600826549240522	0.018258644154104955	0.007483505067132105	0.020680642797366464	0.032781669564390915	2.8021753126202973	1.4173486414593623	1.7320686030387706	0.00552745021136851	0.014325457465213815	1.7088888239933362	0.002550927916164885	0.035560387756649624	0.0007544588452819813	2.4169813389784247	2.025654542147638	0.026849575617529303
E1396_698	1.6280803909010029	0.1405286809041665	0.016549038016798967	2.2676858335662886	2.1170505162739555	2.0730411819280263	1.8909459303207201	0.007982324378916685	2.1603875471505334	0.003378282948408929	1.9853980485294869	2.4963436319724943	0.07446116231825267	2.7716949718063635	1.9275662670593745	0.02252939946240701	0.0236739199918381	1.5027752448147007	2.3413297089656164
E433_603	0.02151334842757527	0.01921230976969201	2.3527227497958383	0.00017889659120951668	0.002925348803321695	0.008128061076822558	0.0006364170401502848	2.502654217394296	1.9053508337355416	1.9344119172327008	0.014873738881174037	0.004363246868644809	2.112819137383664	0.010639583913468824	0.07971971311533119	0.0005801401693138776	2.247760619977921	2.4655044952888363	0.017199038204897113
E1453_766	0.021539383772870808	0.001793860841765752	1.8943675836690816	0.006651415449319621	0.007815906847140964	0.00668717335359216	0.0034223686398441307	2.257109878730508	1.7218834595508064	1.5104388417360342	0.00953929949185715	0.009503785007066128	1.7430799139845838	0.032556348369862466	0.02307557461970546	0.045100687123923205	1.973224707014597	2.1213065480687603	0.11811401200255055
E1718_159	0.014072015544606431	2.108584070021804	0.09172783802199758	0.014481845578391366	0.016674840167072144	0.004355063744458839	0.009313888629223518	0.026051626548602443	2.053891119526781	1.9279649780554289	1.8398340996001392	0.042451877260041286	0.16206185490702762	0.007721566558322869	1.5736629696531994	0.025253412755756783	1.993835401896714	1.865356890733896	1.8551330753814887
E243_700	1.189188020147855	0.047730997184436255	0.0058271221357782425	2.232949714089614	2.0748970267667928	2.218048853350078	2.304937905948332	0.002772562778168673	2.589450516145764	0.8117510088393705	1.86311634921024	2.0759579774378003	0.017417585764260668	2.255959147859554	2.6647235532932	0.0015789921761628874	0.002641210366723148	1.4765228392845882	1.9812677084050592
E327_646	0.0059484161188627215	0.007539399871957435	1.998500691173475	0.0024860708243192122	0.05129080265123765	0.02250245951232068	0.056988960257871535	1.900412660632258	1.9113071579123064	1.6373038148970165	0.00014679764451850692	0.0011915135418362375	2.1376059400725307	0.07485471549366743	0.005121810145570693	0.020179941300817003	1.6435904318552017	1.4343395789829452	0.0185726794036076
