,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4,PseudoTime5
E510_19,,,,,0.03614
E1712_474,,0.9498,,,
E1879_52,0.10240999999999999,,,,
E524_166,,0.33133,,,
E449_319,,0.63855,,,
E1618_16,,0.030119999999999997,,,
E787_309,,0.61847,,,
E1829_107,,,,0.21285,
E652_10,0.01807,,,,
E1587_179,0.35743,,,,
E300_216,,,0.43173,,
E655_467,,0.93574,,,
E1984_412,,,0.8253,,
E1570_191,,,,,0.38153000000000004
E1406_226,,,,,0.45181000000000004
E1881_428,0.8574299999999999,,,,
E333_134,,,,,0.26707
E793_371,,0.74297,,,
E227_76,,0.1506,,,
E828_418,,,0.83735,,
E677_27,,0.05221,,,
E1188_414,,0.8293200000000001,,,
E649_138,,0.2751,,,
E673_280,0.56024,,,,
E1917_229,0.45783,,,,
E374_14,,0.0261,,,
E331_421,0.8433700000000001,,,,
E177_200,,,0.3996,,
E203_393,,0.78715,,,
E1153_222,,0.44378,,,
E1932_183,,0.36546,,,
E1590_66,0.13052,,,,
E1624_499,,1.0,,,
E1451_482,,,,,0.96586
E998_450,,,0.90161,,
E784_11,0.02008,,,,
E1400_67,0.13253,,,,
E138_307,0.61446,,,,
E1155_129,,0.25703000000000004,,,
E1795_431,,,0.86345,,
E500_265,,0.53012,,,
E1190_476,,0.9538200000000001,,,
E258_98,0.19478,,,,
E999_42,0.08233,,,,
E324_214,,0.42771000000000003,,,
E188_101,,,0.2008,,
E1901_424,,,0.8494,,
E1256_483,0.9678700000000001,,,,
E1776_283,,0.5662699999999999,,,
E818_77,0.15261,,,,
E325_192,,,0.38353000000000004,,
E1813_122,,0.24297,,,
E874_258,,,0.5160600000000001,,
E761_158,,0.31526,,,
E1553_255,,0.5100399999999999,,,
E1288_129,,,0.25703000000000004,,
E1543_153,,0.30522,,,
E539_408,,,0.8172699999999999,,
E1052_234,,,0.46787,,
E1500_183,,0.36546,,,
E1083_153,,,0.30522,,
E825_133,0.26506,,,,
E271_398,0.79719,,,,
E904_180,0.35944,,,,
E1595_220,,,0.43976000000000004,,
E1082_333,,,,0.66667,
E1178_28,,,0.054220000000000004,,
E71_424,,,0.8494,,
E540_19,0.03614,,,,
E1561_79,,0.15663,,,
E179_490,0.98193,,,,
E969_428,,0.8574299999999999,,,
E1137_282,,0.56426,,,
E529_497,,0.99598,,,
E60_360,,,0.72088,,
E971_32,,,,0.06225,
E1990_204,,0.40763,,,
E951_187,0.37349,,,,
E370_99,,,0.19679000000000002,,
E1014_174,0.34739000000000003,,,,
E1877_350,,0.7008,,,
E429_65,,0.12850999999999999,,,
E434_20,,0.03815,,,
E1319_208,0.41566000000000003,,,,
E1039_477,0.9558200000000001,,,,
E591_55,0.10843,,,,
E678_388,,,0.7771100000000001,,
E260_394,,0.7891600000000001,,,
E1415_12,0.022090000000000002,,,,
E1717_159,0.31727,,,,
E1472_332,,,0.66466,,
E598_78,,,0.15462,,
E1562_219,0.43775,,,,
E1848_2,,0.00201,,,
E739_363,,0.7269100000000001,,,
E1173_319,,0.63855,,,
E1007_233,,0.46586000000000005,,,
E1806_234,,0.46787,,,
E1102_9,0.016059999999999998,,,,
E1388_21,,0.04016,,,
E553_85,0.16867000000000001,,,,
E246_167,0.33333,,,,
E222_94,,,0.18675,,
E751_472,,0.94578,,,
E916_128,,,0.25501999999999997,,
E1544_133,,0.26506,,,
E1643_237,,,0.4739,,
E538_126,,,0.251,,
E774_79,0.15663,,,,
E888_53,0.10442,,,,
E1289_296,,0.59237,,,
E1780_264,,,0.5281100000000001,,
E1197_56,,0.11044000000000001,,,
E679_139,,,0.27710999999999997,,
E746_226,,,0.45181000000000004,,
E796_204,,,0.40763,,
E1542_317,0.63454,,,,
E1418_194,0.38755,,,,
E1374_47,0.09237000000000001,,,,
E1888_202,0.40360999999999997,,,,
E332_259,,0.51807,,,
