Gene1,Gene2
WNT4,FOXL2
CTNNB1,NR0B1
WNT4,CBX2
UGR,GATA4
SRY,GATA4
UGR,NR5A1
CBX2,SRY
DKK1,WNT4
RSPO1,CTNNB1
RSPO1,WNT4
NR0B1,AMH
NR0B1,NR5A1
NR5A1,AMH
GATA4,AMH
FOXL2,DMRT1
SRY,DMRT1
WNT4,NR0B1
SOX9,AMH
SOX9,SOX9
CTNNB1,WT1pKTS
SOX9,CTNNB1
UGR,WT1pKTS
WNT4,WT1pKTS
WT1mKTS,SRY
CTNNB1,CBX2
CTNNB1,FOXL2
SOX9,DKK1
SOX9,FGF9
GATA4,SRY
WT1mKTS,NR5A1
UGR,UGR
WT1pKTS,SRY
FGF9,SOX9
GATA4,SOX9
CTNNB1,RSPO1
GATA4,NR5A1
PGD2,SOX9
NR5A1,UGR
NR5A1,NR0B1
CBX2,SOX9
WNT4,SOX9
AMH,CTNNB1
SRY,SOX9
SOX9,NR0B1
WNT4,GATA4
NR5A1,GATA4
GATA4,WT1pKTS
WT1mKTS,AMH
SOX9,PGD2
WNT4,NR5A1
GATA4,WNT4
SRY,CTNNB1
CTNNB1,SOX9
NR0B1,CBX2
SOX9,DHH
SOX9,FOXL2
GATA4,WT1mKTS
WNT4,FGF9
DKK1,RSPO1
SRY,DKK1
FGF9,WNT4
NR0B1,WNT4
SOX9,SRY
