Gene1,Gene2
WNT4,NR5A1
CTNNB1,WNT4
SOX9,PGD2
UGR,NR5A1
GATA4,NR5A1
UGR,GATA4
UGR,CBX2
SOX9,DHH
WNT4,FGF9
FGF9,WNT4
SOX9,FOXL2
PGD2,SOX9
UGR,UGR
SRY,GATA4
WT1mKTS,NR0B1
FOXL2,SOX9
WT1pKTS,SRY
NR0B1,WNT4
DMRT1,FOXL2
CTNNB1,CBX2
SRY,CTNNB1
GATA4,SRY
DKK1,RSPO1
WNT4,GATA4
NR5A1,SRY
WNT4,NR0B1
CBX2,SOX9
RSPO1,CTNNB1
CBX2,NR5A1
WNT4,FOXL2
SRY,SOX9
DKK1,WNT4
SRY,SRY
SOX9,SOX9
GATA4,SOX9
WNT4,RSPO1
SOX9,AMH
NR5A1,NR0B1
CTNNB1,SRY
WNT4,SOX9
WNT4,WT1pKTS
CTNNB1,RSPO1
SRY,DKK1
GATA4,WNT4
SOX9,DMRT1
GATA4,WT1pKTS
CBX2,SRY
WNT4,CTNNB1
UGR,WT1pKTS
NR0B1,NR5A1
SOX9,FGF9
RSPO1,WNT4
NR5A1,SOX9
UGR,WT1mKTS
CTNNB1,FOXL2
CTNNB1,AMH
SOX9,CTNNB1
WNT4,UGR
FOXL2,DMRT1
SOX9,DKK1
NR5A1,GATA4
CTNNB1,NR0B1
WT1mKTS,NR5A1
