,PseudoTime1,PseudoTime2,PseudoTime3
E83_436,NA,NA,0.55065
E66_760,0.97143,NA,NA
E15_213,0.26104,NA,NA
E23_626,0.7974,NA,NA
E35_353,NA,0.44286,NA
E60_492,NA,NA,0.62338
E19_689,NA,0.87922,NA
E7_716,0.91429,NA,NA
E63_541,0.68701,NA,NA
E24_22,0.01299,NA,NA
E44_464,0.58701,NA,NA
E48_267,0.33117,NA,NA
E79_410,NA,NA,0.51688
E52_173,NA,NA,0.20909
E22_770,NA,0.98442,NA
E75_402,NA,0.50649,NA
E93_162,0.19481,NA,NA
E59_32,0.02597,NA,NA
E41_646,NA,0.82338,NA
E65_361,0.45325,NA,NA
E53_528,0.67013,NA,NA
E64_123,0.14416,NA,NA
E55_590,NA,NA,0.75065
E32_190,NA,NA,0.23117
E87_752,NA,NA,0.96104
E29_605,NA,NA,0.77013
E80_646,0.82338,NA,NA
E77_337,NA,0.42208,NA
E18_739,NA,0.94416,NA
E45_693,0.88442,NA,NA
E70_778,NA,0.99481,NA
E37_156,0.18701,NA,NA
E92_664,0.84675,NA,NA
E26_215,NA,NA,0.26364
E90_185,0.22468,NA,NA
E89_539,NA,NA,0.68442
E14_12,0.0,NA,NA
E25_497,0.62987,NA,NA
E71_80,0.08831,NA,NA
E56_352,NA,0.44156,NA
E74_594,0.75584,NA,NA
E97_466,NA,0.58961,NA
E54_356,0.44675,NA,NA
E58_385,NA,0.48442,NA
E50_652,0.83117,NA,NA
E40_247,0.30519,NA,NA
E20_479,NA,NA,0.60649
E42_96,NA,0.10909,NA
E94_56,NA,0.05714,NA
E11_92,NA,0.1039,NA
E28_657,0.83766,NA,NA
E17_325,0.40649,NA,NA
E91_224,NA,0.27532,NA
E0_730,NA,0.93247,NA
E12_444,NA,0.56104,NA
E4_290,NA,NA,0.36104
E38_75,0.08182,NA,NA
E62_576,NA,NA,0.73247
E78_133,NA,NA,0.15714
E21_652,0.83117,NA,NA
E57_782,NA,1.0,NA
E84_109,NA,NA,0.12597
E76_474,NA,0.6,NA
E68_506,0.64156,NA,NA
E43_180,NA,NA,0.21818
E51_613,NA,0.78052,NA
E30_502,NA,NA,0.63636
E98_606,NA,NA,0.77143
E88_206,NA,0.25195,NA
E73_155,NA,0.18571,NA
E10_161,NA,0.19351,NA
E1_258,0.31948,NA,NA
E46_241,NA,0.2974,NA
E27_766,0.97922,NA,NA
E49_75,NA,NA,0.08182
E96_138,0.16364,NA,NA
E85_762,0.97403,NA,NA
E82_422,0.53247,NA,NA
E81_767,NA,0.98052,NA
E2_388,NA,0.48831,NA
E95_502,0.63636,NA,NA
E16_584,0.74286,NA,NA
E31_150,NA,0.17922,NA
E34_505,0.64026,NA,NA
E3_342,NA,0.42857,NA
E39_602,NA,NA,0.76623
E36_116,0.13506,NA,NA
E8_705,0.9,NA,NA
E5_548,NA,NA,0.6961
E72_445,NA,NA,0.56234
E6_679,NA,NA,0.86623
E61_470,NA,0.59481,NA
E9_145,NA,0.17273,NA
E99_207,NA,0.25325,NA
E47_41,NA,0.03766,NA
E13_317,NA,0.3961,NA
E86_657,0.83766,NA,NA
E67_780,0.9974,NA,NA
E33_529,0.67143,NA,NA
E69_171,0.20649,NA,NA
