,PseudoTime1,PseudoTime2,PseudoTime3
E20_538,NA,NA,0.67506
E107_459,0.57557,NA,NA
E66_559,0.70151,NA,NA
E72_692,NA,NA,0.86902
E102_316,NA,0.39547,NA
E15_492,0.61713,NA,NA
E168_623,NA,NA,0.78212
E199_455,0.57053,NA,NA
E56_312,0.39043,NA,NA
E143_685,NA,NA,0.8602
E195_534,NA,0.67003,NA
E14_688,NA,0.86398,NA
E80_543,NA,0.68136,NA
E81_341,0.42695,NA,NA
E115_615,0.77204,NA,NA
E153_422,0.52897,NA,NA
E29_65,0.07935,NA,NA
E85_703,NA,NA,0.88287
E37_116,NA,NA,0.14358
E75_703,NA,0.88287,NA
E43_644,NA,NA,0.80856
E24_723,0.90806,NA,NA
E198_250,0.31234,NA,NA
E101_750,NA,0.94207,NA
E155_752,NA,0.94458,NA
E41_119,NA,0.14736,NA
E137_717,NA,NA,0.9005
E156_697,NA,0.87531,NA
E197_460,0.57683,NA,NA
E104_399,0.5,NA,NA
E126_576,NA,NA,0.72292
E152_396,0.49622,NA,NA
E98_782,NA,0.98237,NA
E38_97,NA,0.11965,NA
E94_657,0.82494,NA,NA
E139_641,NA,NA,0.80479
E93_691,NA,0.86776,NA
E117_372,NA,0.46599,NA
E129_690,NA,0.8665,NA
E194_113,NA,NA,0.1398
E183_439,0.55038,NA,NA
E8_796,NA,1.0,NA
E25_757,NA,NA,0.95088
E84_676,NA,NA,0.84887
E21_627,0.78715,NA,NA
E17_555,0.69647,NA,NA
E71_722,0.9068,NA,NA
E192_627,NA,NA,0.78715
E22_44,NA,NA,0.0529
E74_451,NA,NA,0.56549
E52_60,NA,0.07305,NA
E176_443,NA,NA,0.55542
E32_348,0.43577,NA,NA
E83_202,0.25189,NA,NA
E159_287,NA,NA,0.35894
E196_676,0.84887,NA,NA
E4_312,NA,NA,0.39043
E164_695,0.8728,NA,NA
E163_409,0.51259,NA,NA
E108_166,NA,0.20655,NA
E54_657,NA,NA,0.82494
E114_519,0.65113,NA,NA
E125_136,NA,0.16877,NA
E186_644,NA,NA,0.80856
E113_434,NA,NA,0.54408
E110_262,0.32746,NA,NA
E112_743,NA,0.93325,NA
E86_340,0.42569,NA,NA
E44_562,NA,NA,0.70529
E127_455,NA,NA,0.57053
E177_119,NA,0.14736,NA
E190_316,NA,NA,0.39547
E95_765,0.96096,NA,NA
E174_56,NA,0.06801,NA
E154_754,0.9471,NA,NA
E178_220,0.27456,NA,NA
E170_295,0.36902,NA,NA
E82_128,NA,0.15869,NA
E62_501,0.62846,NA,NA
E140_18,0.02015,NA,NA
E157_62,0.07557,NA,NA
E12_602,NA,0.75567,NA
E39_42,NA,0.05038,NA
E182_676,0.84887,NA,NA
E105_696,NA,NA,0.87406
E141_433,NA,NA,0.54282
E10_740,0.92947,NA,NA
E175_699,NA,0.87783,NA
E3_381,NA,0.47733,NA
E53_28,NA,NA,0.03275
E89_65,NA,0.07935,NA
E193_428,NA,0.53652,NA
E0_97,NA,0.11965,NA
E161_339,NA,NA,0.42443
E120_354,0.44332,NA,NA
E34_532,NA,NA,0.66751
E184_497,NA,0.62343,NA
E162_159,0.19773,NA,NA
E181_403,NA,0.50504,NA
E26_54,NA,NA,0.06549
E47_570,NA,NA,0.71537
E55_393,NA,NA,0.49244
E36_3,0.00126,NA,NA
E19_36,NA,NA,0.04282
E109_584,0.733,NA,NA
E27_149,0.18514,NA,NA
E179_191,NA,0.23804,NA
E91_767,NA,NA,0.96348
E135_569,NA,NA,0.71411
E88_61,NA,0.07431,NA
E76_109,NA,NA,0.13476
E68_428,0.53652,NA,NA
E67_147,NA,NA,0.18262
E189_227,NA,0.28338,NA
E103_178,0.22166,NA,NA
E188_399,NA,NA,0.5
E172_615,NA,0.77204,NA
E121_218,NA,NA,0.27204
E149_381,NA,0.47733,NA
E9_249,0.31108,NA,NA
E106_359,NA,NA,0.44962
E132_83,0.10202,NA,NA
E185_677,NA,NA,0.85013
E78_85,0.10453,NA,NA
E18_186,NA,0.23174,NA
E122_666,0.83627,NA,NA
E134_218,NA,NA,0.27204
E42_161,0.20025,NA,NA
E146_225,NA,NA,0.28086
E73_236,NA,0.29471,NA
E35_80,NA,NA,0.09824
E90_639,0.80227,NA,NA
E147_335,NA,0.4194,NA
E63_361,0.45214,NA,NA
E130_145,NA,0.1801,NA
E99_549,0.68892,NA,NA
E2_554,0.69521,NA,NA
E144_783,NA,NA,0.98363
E128_617,0.77456,NA,NA
E97_267,NA,0.33375,NA
E49_762,0.95718,NA,NA
E51_273,0.34131,NA,NA
E59_279,NA,NA,0.34887
E5_768,NA,NA,0.96474
E7_259,NA,NA,0.32368
E145_597,0.74937,NA,NA
E31_313,0.39169,NA,NA
E150_397,0.49748,NA,NA
E28_670,NA,NA,0.84131
E23_662,0.83123,NA,NA
E87_75,NA,0.09194,NA
E111_264,0.32997,NA,NA
E92_375,0.46977,NA,NA
E57_361,0.45214,NA,NA
E33_757,0.95088,NA,NA
E64_730,NA,NA,0.91688
E61_488,NA,NA,0.61209
E46_699,NA,NA,0.87783
E148_728,NA,NA,0.91436
E96_61,0.07431,NA,NA
E16_551,NA,NA,0.69144
E50_452,0.56675,NA,NA
E151_2,0.0,NA,NA
E116_530,NA,NA,0.66499
E123_716,NA,NA,0.89924
E45_153,NA,NA,0.19018
E11_633,NA,0.79471,NA
E48_8,NA,0.00756,NA
E70_179,NA,NA,0.22292
E40_525,0.65869,NA,NA
E13_428,NA,0.53652,NA
E187_691,0.86776,NA,NA
E131_85,NA,0.10453,NA
E171_765,0.96096,NA,NA
E65_79,NA,0.09698,NA
E79_764,NA,0.9597,NA
E160_301,NA,0.37657,NA
E118_203,NA,0.25315,NA
E173_401,NA,NA,0.50252
E58_737,0.92569,NA,NA
E1_409,NA,NA,0.51259
E30_426,0.53401,NA,NA
E100_589,NA,0.73929,NA
E180_31,NA,0.03652,NA
E69_754,NA,0.9471,NA
E6_527,NA,NA,0.66121
E158_532,NA,NA,0.66751
E136_384,0.48111,NA,NA
E119_334,0.41814,NA,NA
E165_297,0.37154,NA,NA
E60_346,NA,NA,0.43325
E138_510,NA,NA,0.6398
E142_6,0.00504,NA,NA
E167_671,NA,0.84257,NA
E166_335,NA,0.4194,NA
E124_769,0.96599,NA,NA
E191_744,NA,0.93451,NA
E133_488,NA,0.61209,NA
E77_781,NA,0.98111,NA
E169_522,NA,NA,0.65491
