,PseudoTime1,PseudoTime2,PseudoTime3
E4259_693,0.86717,NA,NA
E4688_358,NA,0.44737,NA
E4735_599,NA,NA,0.74937
E3429_466,0.58271,NA,NA
E2885_772,NA,0.96617,NA
E2631_790,NA,0.98872,NA
E3417_416,NA,NA,0.52005
E3958_570,NA,0.71303,NA
E4983_206,NA,NA,0.25689
E1601_754,NA,0.94361,NA
E3696_114,NA,NA,0.1416
E2494_788,NA,0.98622,NA
E4451_603,0.75439,NA,NA
E301_188,NA,NA,0.23434
E3416_86,NA,NA,0.10652
E4906_370,NA,NA,0.46241
E4189_34,NA,0.04135,NA
E3829_741,0.92732,NA,NA
E2744_455,NA,NA,0.56892
E465_750,NA,0.9386,NA
E496_117,NA,0.14536,NA
E710_437,NA,0.54637,NA
E2259_493,NA,NA,0.61654
E2627_754,NA,0.94361,NA
E481_228,NA,0.28446,NA
E1327_532,NA,0.66541,NA
E4443_68,NA,0.08396,NA
E3997_61,0.07519,NA,NA
E854_92,0.11404,NA,NA
E3651_785,NA,0.98246,NA
E994_587,NA,0.73434,NA
E1253_564,NA,NA,0.70551
E3711_149,0.18546,NA,NA
E3364_640,NA,NA,0.80075
E2640_430,NA,NA,0.53759
E108_212,0.26441,NA,NA
E4859_133,0.16541,NA,NA
E2649_108,0.13409,NA,NA
E937_312,NA,0.38972,NA
E4173_627,NA,0.78446,NA
E4418_734,NA,0.91855,NA
E4693_726,0.90852,NA,NA
E3603_609,NA,0.7619,NA
E1527_256,NA,NA,0.31955
E4659_725,0.90727,NA,NA
E1574_216,0.26942,NA,NA
E3802_604,NA,NA,0.75564
E3936_425,NA,0.53133,NA
E1282_258,NA,NA,0.32206
E802_271,NA,0.33835,NA
E3780_615,NA,NA,0.76942
E1277_719,NA,0.89975,NA
E3486_726,0.90852,NA,NA
E617_293,NA,NA,0.36591
E121_352,0.43985,NA,NA
E2463_574,NA,0.71805,NA
E4746_263,0.32832,NA,NA
E4182_480,NA,0.60025,NA
E575_119,0.14787,NA,NA
E3740_437,NA,0.54637,NA
E1030_302,NA,0.37719,NA
E4084_36,NA,0.04386,NA
E3142_157,NA,0.19549,NA
E22_57,NA,0.07018,NA
E4024_740,NA,NA,0.92607
E567_658,NA,0.82331,NA
E404_696,NA,0.87093,NA
E3949_216,NA,NA,0.26942
E4724_256,NA,0.31955,NA
E1981_508,0.63534,NA,NA
E4654_623,NA,NA,0.77945
E1930_256,0.31955,NA,NA
E122_410,NA,NA,0.51253
E2930_128,NA,0.15915,NA
E4384_653,NA,NA,0.81704
E1621_166,NA,0.20677,NA
E30_617,0.77193,NA,NA
E1220_319,NA,0.3985,NA
E624_128,0.15915,NA,NA
E1019_581,NA,0.72682,NA
E910_610,NA,0.76316,NA
E4010_153,NA,0.19048,NA
E3647_418,NA,0.52256,NA
E3458_362,NA,0.45238,NA
E2689_28,NA,NA,0.03383
E1178_577,0.7218,NA,NA
E182_117,NA,NA,0.14536
E2702_308,NA,NA,0.38471
E614_626,NA,0.78321,NA
E2201_294,0.36717,NA,NA
E3149_706,NA,NA,0.88346
E2364_125,NA,0.15539,NA
E57_678,NA,NA,0.84837
E4495_173,0.21554,NA,NA
E2940_110,NA,NA,0.13659
E1408_362,NA,0.45238,NA
E2277_763,0.95489,NA,NA
E1342_621,NA,NA,0.77694
E3288_746,0.93358,NA,NA
E3036_642,NA,NA,0.80326
E818_690,NA,NA,0.86341
E4953_111,NA,0.13784,NA
E4821_135,NA,0.16792,NA
E589_13,NA,0.01504,NA
E730_744,NA,NA,0.93108
E3084_57,NA,NA,0.07018
E4810_81,0.10025,NA,NA
E373_159,NA,0.19799,NA
E563_674,NA,0.84336,NA
E2236_528,NA,0.6604,NA
E1679_488,NA,0.61028,NA
E4364_56,NA,0.06892,NA
E1550_33,NA,NA,0.0401
E506_618,NA,NA,0.77318
E965_7,NA,NA,0.00752
E4011_2,NA,NA,0.00125
E1876_357,NA,0.44612,NA
E1436_549,NA,0.68672,NA
E3561_577,NA,0.7218,NA
E4362_184,NA,NA,0.22932
E906_661,NA,NA,0.82707
E1999_671,NA,NA,0.8396
E4863_489,NA,NA,0.61153
E3040_749,NA,0.93734,NA
E1075_591,NA,0.73935,NA
E3229_93,NA,NA,0.11529
E4825_456,NA,0.57018,NA
E2316_286,0.35714,NA,NA
E4766_471,0.58897,NA,NA
E1_537,0.67168,NA,NA
E2780_497,NA,0.62155,NA
E3431_476,NA,0.59524,NA
E2118_322,NA,0.40226,NA
E3922_316,NA,NA,0.39474
E2759_640,0.80075,NA,NA
E1491_391,0.48872,NA,NA
E2435_624,NA,0.7807,NA
E132_319,0.3985,NA,NA
E3195_123,0.15288,NA,NA
E1192_578,NA,0.72306,NA
E4004_432,NA,NA,0.5401
E2778_142,NA,NA,0.17669
E531_271,NA,NA,0.33835
E3218_659,NA,NA,0.82456
E3665_330,NA,NA,0.41228
E4241_791,NA,0.98997,NA
E162_142,NA,0.17669,NA
E3886_372,NA,0.46491,NA
E576_144,0.1792,NA,NA
E1203_589,NA,NA,0.73684
E4613_178,0.2218,NA,NA
E4564_485,NA,0.60652,NA
