,PseudoTime1,PseudoTime2,PseudoTime3
E65_157,NA,NA,0.19042
E10_489,NA,0.60908,NA
E88_535,NA,0.66709,NA
E31_114,0.13619,NA,NA
E41_6,NA,0.0,NA
E80_181,0.22068,NA,NA
E32_734,NA,NA,0.91803
E75_329,NA,0.40731,NA
E36_472,NA,NA,0.58764
E95_396,NA,NA,0.4918
E61_300,NA,0.37074,NA
E34_144,NA,NA,0.17402
E18_530,NA,0.66078,NA
E93_331,NA,0.40984,NA
E52_636,0.79445,NA,NA
E43_791,0.98991,NA,NA
E46_781,0.9773,NA,NA
E16_294,NA,0.36318,NA
E1_472,NA,NA,0.58764
E14_782,NA,NA,0.97856
E91_295,0.36444,NA,NA
E3_490,NA,0.61034,NA
E47_274,NA,0.33796,NA
E59_31,NA,NA,0.03153
E68_70,NA,0.08071,NA
E98_291,0.35939,NA,NA
E92_583,0.72762,NA,NA
E25_597,NA,0.74527,NA
E50_154,NA,NA,0.18663
E26_222,NA,0.27238,NA
E45_150,NA,NA,0.18159
E56_120,NA,0.14376,NA
E44_677,0.84615,NA,NA
E48_704,0.8802,NA,NA
E69_56,0.06305,NA,NA
E60_417,0.51828,NA,NA
E90_783,0.97982,NA,NA
E74_147,NA,NA,0.17781
E66_142,0.1715,NA,NA
E15_135,0.16267,NA,NA
E21_623,NA,NA,0.77806
E83_125,NA,NA,0.15006
E94_416,0.51702,NA,NA
E77_783,0.97982,NA,NA
E55_367,0.45523,NA,NA
E85_799,NA,NA,1.0
E24_471,NA,NA,0.58638
E51_613,NA,NA,0.76545
E5_168,NA,NA,0.20429
E20_125,0.15006,NA,NA
E57_611,NA,0.76293,NA
E9_479,NA,NA,0.59647
E67_559,0.69735,NA,NA
E40_202,NA,NA,0.24716
E12_443,NA,0.55107,NA
E54_240,NA,NA,0.29508
E96_718,NA,0.89786,NA
E27_453,NA,NA,0.56368
E29_149,0.18033,NA,NA
E99_395,NA,0.49054,NA
E73_331,NA,0.40984,NA
E2_91,0.10719,NA,NA
E97_506,NA,0.63052,NA
E28_703,0.87894,NA,NA
E30_751,NA,NA,0.93947
E87_416,0.51702,NA,NA
E17_205,NA,0.25095,NA
E86_184,NA,NA,0.22446
E39_449,0.55864,NA,NA
E76_337,0.4174,NA,NA
E35_91,0.10719,NA,NA
E33_547,0.68222,NA,NA
E72_365,NA,NA,0.45271
E58_346,NA,0.42875,NA
E82_179,NA,NA,0.21816
E78_171,NA,NA,0.20807
E42_112,0.13367,NA,NA
E11_164,0.19924,NA,NA
E38_297,0.36696,NA,NA
E37_67,NA,NA,0.07692
E70_51,0.05675,NA,NA
E53_475,NA,NA,0.59142
E23_358,NA,NA,0.44388
E13_17,NA,0.01387,NA
E7_163,NA,NA,0.19798
E79_226,NA,0.27743,NA
E6_232,0.28499,NA,NA
E8_362,NA,NA,0.44893
E84_164,NA,0.19924,NA
E64_158,0.19168,NA,NA
E22_187,0.22825,NA,NA
E63_250,NA,NA,0.30769
E0_335,0.41488,NA,NA
E71_573,NA,NA,0.71501
E49_173,0.21059,NA,NA
E89_372,0.46154,NA,NA
E81_155,0.18789,NA,NA
E62_631,NA,NA,0.78815
E4_657,0.82093,NA,NA
E19_525,NA,0.65448,NA
