,LRP,source_gene,target_gene
1,0.0034586177,EgrNab,Cebpa
2,0.0009042972,Eklf,Cebpa
3,0.003402624,Fli1,Cebpa
4,0.0011685573,Fog1,Cebpa
5,0.0041732113,Gata1,Cebpa
6,0.004699956,Gata2,Cebpa
7,0.0045039835,Gfi1,Cebpa
8,0.016881865,Pu1,Cebpa
9,0.0027914993,Scl,Cebpa
10,0.010593434,cJun,Cebpa
13,0.00035599366,Eklf,EgrNab
14,0.00058205455,Fli1,EgrNab
15,0.0009064984,Fog1,EgrNab
16,0.0039728032,Gata1,EgrNab
17,0.0005707167,Gata2,EgrNab
18,0.0042656036,Gfi1,EgrNab
19,0.0027595947,Pu1,EgrNab
20,0.0016855567,Scl,EgrNab
21,0.004209473,cJun,EgrNab
25,0.0008044485,Fli1,Eklf
26,0.00035660996,Fog1,Eklf
27,0.0003736276,Gata1,Eklf
28,0.0007683713,Gata2,Eklf
29,0.0020575642,Gfi1,Eklf
30,0.0029410103,Pu1,Eklf
31,0.00042765218,Scl,Eklf
32,0.0018689795,cJun,Eklf
37,0.00069629407,Fog1,Fli1
38,0.0026260838,Gata1,Fli1
39,0.0013165143,Gata2,Fli1
40,0.0021261869,Gfi1,Fli1
41,0.0012558526,Pu1,Fli1
42,0.00096491975,Scl,Fli1
43,0.0026510474,cJun,Fli1
49,0.0017965276,Gata1,Fog1
50,0.0013635997,Gata2,Fog1
51,0.0014711356,Gfi1,Fog1
52,0.00215287,Pu1,Fog1
53,0.0007363426,Scl,Fog1
54,0.0029617664,cJun,Fog1
61,0.0046998514,Gata2,Gata1
62,0.0035436242,Gfi1,Gata1
63,0.009713613,Pu1,Gata1
64,0.0015062749,Scl,Gata1
65,0.005968443,cJun,Gata1
73,0.0035491614,Gfi1,Gata2
74,0.00417836,Pu1,Gata2
75,0.0010888176,Scl,Gata2
76,0.000834315,cJun,Gata2
85,0.015424637,Pu1,Gfi1
86,0.0031597898,Scl,Gfi1
87,0.0054247007,cJun,Gfi1
97,0.0008312923,Scl,Pu1
98,0.007750677,cJun,Pu1
109,0.005860542,cJun,Scl
