,PseudoTime1,PseudoTime2,PseudoTime3
E101_1,0.0,NA,NA
E6_612,0.76566,NA,NA
E113_138,NA,0.17168,NA
E125_369,NA,NA,0.46115
E194_727,NA,NA,0.90977
E160_719,0.89975,NA,NA
E118_437,NA,0.54637,NA
E178_628,NA,NA,0.78571
E189_348,NA,NA,0.43484
E64_394,0.49248,NA,NA
E62_502,NA,NA,0.62782
E56_233,NA,NA,0.29073
E156_718,0.8985,NA,NA
E157_23,0.02757,NA,NA
E75_706,NA,0.88346,NA
E11_636,0.79574,NA,NA
E98_448,0.56015,NA,NA
E26_12,NA,0.01378,NA
E2_561,NA,NA,0.70175
E4_596,0.74561,NA,NA
E57_554,NA,NA,0.69298
E129_486,NA,0.60777,NA
E168_67,NA,0.08271,NA
E159_25,0.03008,NA,NA
E77_103,NA,NA,0.12782
E78_598,NA,NA,0.74812
E29_777,NA,0.97243,NA
E190_171,NA,0.21303,NA
E90_689,NA,0.86216,NA
E82_183,0.22807,NA,NA
E135_426,NA,0.53258,NA
E21_113,NA,0.14035,NA
E22_485,NA,0.60652,NA
E150_92,NA,NA,0.11404
E170_483,NA,NA,0.60401
E81_463,0.57895,NA,NA
E79_465,NA,0.58145,NA
E164_443,NA,0.55388,NA
E24_182,0.22682,NA,NA
E179_443,NA,NA,0.55388
E32_210,NA,0.2619,NA
E44_687,NA,0.85965,NA
E114_474,0.59273,NA,NA
E52_252,NA,0.31454,NA
E10_669,NA,NA,0.83709
E99_507,0.63409,NA,NA
E108_203,0.25313,NA,NA
E49_16,0.0188,NA,NA
E8_519,NA,NA,0.64912
E104_222,0.27694,NA,NA
E152_473,NA,NA,0.59148
E143_395,0.49373,NA,NA
E60_653,0.81704,NA,NA
E124_121,NA,0.15038,NA
E165_685,NA,0.85714,NA
E185_332,NA,0.41479,NA
E87_11,NA,NA,0.01253
E151_569,NA,NA,0.71178
E43_76,NA,0.09398,NA
E92_410,NA,NA,0.51253
E84_689,NA,0.86216,NA
E71_704,NA,0.88095,NA
E117_749,NA,NA,0.93734
E59_367,0.45865,NA,NA
E12_213,0.26566,NA,NA
E122_149,NA,NA,0.18546
E48_216,NA,0.26942,NA
E46_178,0.2218,NA,NA
E5_327,NA,NA,0.40852
E39_752,NA,0.9411,NA
E109_165,NA,NA,0.20551
E141_280,NA,0.34962,NA
E61_198,NA,0.24687,NA
E106_328,NA,NA,0.40977
E111_211,NA,NA,0.26316
E72_127,NA,0.15789,NA
E171_650,NA,0.81328,NA
E41_151,0.18797,NA,NA
E134_348,NA,0.43484,NA
E188_391,NA,0.48872,NA
E25_158,NA,NA,0.19674
E144_307,NA,0.38346,NA
E186_361,NA,0.45113,NA
E40_132,NA,NA,0.16416
E175_197,0.24561,NA,NA
E198_40,NA,NA,0.04887
E167_210,NA,NA,0.2619
E176_199,0.24812,NA,NA
E18_470,0.58772,NA,NA
E28_642,NA,0.80326,NA
E27_618,NA,NA,0.77318
E97_319,NA,0.3985,NA
E162_543,NA,0.6792,NA
E180_597,NA,0.74687,NA
E121_30,0.03634,NA,NA
E197_292,NA,0.36466,NA
E166_315,NA,NA,0.39348
E145_799,NA,NA,1.0
E69_223,NA,NA,0.2782
E102_537,0.67168,NA,NA
E195_160,NA,0.19925,NA
E0_118,NA,NA,0.14662
E58_327,NA,0.40852,NA
E3_426,NA,NA,0.53258
E110_9,NA,NA,0.01003
E63_756,0.94612,NA,NA
E161_115,NA,0.14286,NA
E127_51,NA,0.06266,NA
E73_376,0.46992,NA,NA
E140_465,0.58145,NA,NA
E183_493,NA,0.61654,NA
E85_5,NA,NA,0.00501
E16_138,NA,0.17168,NA
E45_430,NA,0.53759,NA
E70_543,0.6792,NA,NA
E173_485,0.60652,NA,NA
E34_494,NA,NA,0.61779
E68_693,NA,NA,0.86717
E119_627,NA,0.78446,NA
E182_728,NA,NA,0.91103
E169_194,NA,NA,0.24185
E80_136,0.16917,NA,NA
E149_439,0.54887,NA,NA
E120_750,NA,0.9386,NA
E33_540,0.67544,NA,NA
E191_30,0.03634,NA,NA
E115_202,NA,0.25188,NA
E19_80,NA,0.099,NA
E7_388,NA,NA,0.48496
E89_698,0.87343,NA,NA
E93_661,NA,0.82707,NA
E147_771,0.96491,NA,NA
E88_269,NA,NA,0.33584
E107_636,0.79574,NA,NA
E31_282,0.35213,NA,NA
E142_94,NA,NA,0.11654
E65_38,NA,NA,0.04637
E128_494,0.61779,NA,NA
E158_365,NA,0.45614,NA
E146_317,NA,0.39599,NA
E184_641,0.80201,NA,NA
E174_83,NA,NA,0.10276
E153_705,0.88221,NA,NA
E15_641,0.80201,NA,NA
E96_642,NA,0.80326,NA
E132_355,0.44361,NA,NA
E47_103,NA,0.12782,NA
E42_679,NA,NA,0.84962
E187_691,NA,NA,0.86466
E131_585,NA,NA,0.73183
E181_494,NA,0.61779,NA
