	AMH	CBX2	CTNNB1	DHH	DKK1	DMRT1	FGF9	FOXL2	GATA4	NR0B1	NR5A1	PGD2	RSPO1	SOX9	SRY	UGR	WNT4	WT1mKTS	WT1pKTS
E1548_324	0.0029093277037458808	0.16819240753589382	0.3689032463005163	0.006611201443310582	1.1427032533481594	1.0393530216583544	0.003466780255628837	0.006368143715425757	1.896349313493665	0.8540827116679446	1.7862329660648313	0.0017029630690185932	0.8925760119103678	0.17448679286237706	1.7046221472249146	0.01324132934896675	2.21893461420554	1.1859535247027029	1.7445179502986772
E340_673	0.003039718820496809	0.004540164574790125	1.6817892260425515	0.13480812048503266	0.0047682994429928465	0.003775021011452114	0.012555553726961207	1.5380556389541105	2.146436868709072	2.2084686800379427	0.11693027370628938	0.0077451762020099325	1.464179354354843	0.016192856670153587	0.007200328861024034	0.012171685228323594	1.4170838339408425	1.731305013166847	0.02282073380522634
E1702_686	1.6056961113167605	0.006324871167147076	0.005433854725544446	1.3017423571960545	1.1607472992008958	1.6883526446861634	1.594925204113674	0.00371734898780139	1.514757631115098	0.08766146192310416	1.2946471931198504	2.1359826132896518	0.003981030916923188	2.0854587122366057	1.4780404636045033	0.04918266641378065	0.047377842681565335	1.6422283266417774	1.4810411739699945
E1949_156	0.018589923207835583	0.001370155545278355	0.49286804367002396	0.01203382057482063	0.0092684919575044	0.009631254324004164	0.026280093683586428	0.01076171744229405	1.5730062156209434	1.4647072829163748	1.8609033643763595	0.0014029638122925595	0.4306850941231855	0.0006702102588131836	0.6837395997352393	0.015929689443143626	1.2816843881969608	1.454754924346354	1.607948463074103
E1633_634	0.04319160425288973	0.0035421008589530626	1.7299656817981963	0.1361071560675431	0.01441992318742964	0.0006323043242521747	0.004545027432418984	1.7135664673856783	1.9755855581196096	2.037002030001581	0.013793608134123732	0.002999299226133967	1.452944991247645	0.0061189245281584774	0.009327651521106886	0.007704096573405325	1.7606586691440602	1.4309336444663228	0.00799338958925002
E128_264	0.020711074439823028	0.012531288683193984	0.4670474212065118	0.05635519158436924	1.3145251512298557	1.4494622372687125	0.03953501666503413	0.1020030036601193	1.8815745039628904	1.7307589375561454	0.026903475815236444	0.031593750078679414	1.8479028404358118	0.013839506480732702	0.9813364356883978	0.05048992980037583	2.6316246767507443	1.7425447708922757	1.6963407948818618
E1186_193	0.2490166747749138	0.007288854540774248	0.014585460745470303	0.02788489083559393	0.024223185223200692	0.03024404589682232	0.006407933657807638	0.013237754468025184	1.3769687591741873	1.631462950612386	1.4775259128323852	0.031750726996399525	0.005892829868910409	0.06970570764298181	2.0679974644147308	0.003001323927431302	1.6322476972458662	2.5724157830884997	2.21566048129848
E858_193	0.012109079738717252	0.564863312596026	0.045423703522836485	0.016067736253737582	0.8978674792735533	1.171412836149757	0.003935051687383268	0.008238792557902937	1.6947513619359231	1.387554864239103	2.0694150077792512	0.017580413095414422	0.2541507308608648	0.6714312775605478	1.8616180397392896	0.03171391514522129	1.6345096455751498	1.511741848948414	1.941372912270416
E1622_143	0.003421833752813809	1.6903599788932082	0.013104756013398538	0.00285868661694733	0.017241235693630858	0.005496462386974083	0.0069450550753440785	0.1597908746665163	1.6735933750076508	0.595312386283413	1.4678604452222823	0.02145354147566349	0.05970219413816371	0.0017481065141738892	0.6885478722799857	0.12046769647304605	1.0642301052414391	1.5760332927124108	1.9133888668856216
E36_116	0.01645184172442721	1.4745163156995855	0.0021224201711865518	0.010045058285333659	0.04896864201493615	0.004551410093069614	0.021625006343277586	0.0004744174537324464	1.970857292906842	1.3039645397005972	2.1824995747422644	0.003340414438717365	0.007345582832967374	0.006404759202615102	0.3045263019425244	1.6135682509812297	1.1272457438392336	1.490789300105288	1.6624504591719091
