,PseudoTime1,PseudoTime2,PseudoTime3
E193_80,NA,0.0995,NA
E51_795,NA,NA,1.0
E63_540,NA,NA,0.67884
E96_528,NA,0.66373,NA
E199_401,0.50378,NA,NA
E86_727,NA,NA,0.91436
E22_125,0.15617,NA,NA
E158_716,0.9005,NA,NA
E137_430,NA,NA,0.5403
E117_30,NA,0.03652,NA
E93_308,NA,0.38665,NA
E106_12,0.01385,NA,NA
E48_79,0.09824,NA,NA
E28_714,0.89798,NA,NA
E95_704,NA,NA,0.88539
E124_265,NA,NA,0.33249
E107_86,0.10705,NA,NA
E82_712,NA,NA,0.89547
E27_91,NA,NA,0.11335
E64_714,0.89798,NA,NA
E164_66,NA,0.08186,NA
E66_623,0.78338,NA,NA
E59_17,NA,NA,0.02015
E131_458,NA,NA,0.57557
E144_196,NA,0.24559,NA
E89_480,0.60327,NA,NA
E83_466,NA,NA,0.58564
E115_563,0.70781,NA,NA
E37_301,NA,NA,0.37783
E194_619,NA,NA,0.77834
E4_684,0.8602,NA,NA
E50_7,NA,NA,0.00756
E166_625,NA,NA,0.78589
E101_612,0.76952,NA,NA
E181_444,NA,0.55793,NA
E110_152,NA,NA,0.19018
E184_249,0.31234,NA,NA
E14_103,NA,NA,0.12846
E11_105,0.13098,NA,NA
E31_141,0.17632,NA,NA
E151_757,NA,NA,0.95214
E148_39,NA,NA,0.04786
E141_512,NA,NA,0.64358
E92_434,0.54534,NA,NA
E154_77,0.09572,NA,NA
E109_1,0.0,NA,NA
E153_383,NA,NA,0.48111
E180_426,NA,0.53526,NA
E157_553,NA,0.69521,NA
E78_55,NA,NA,0.06801
E114_77,NA,0.09572,NA
E25_265,NA,0.33249,NA
E91_168,0.21033,NA,NA
E122_566,NA,NA,0.71159
E183_156,NA,NA,0.19521
E121_197,NA,0.24685,NA
E134_25,NA,NA,0.03023
E58_407,NA,0.51134,NA
E139_476,0.59824,NA,NA
E84_183,NA,0.22922,NA
E40_704,NA,NA,0.88539
E7_579,NA,NA,0.72796
E39_523,0.65743,NA,NA
E104_643,0.80856,NA,NA
E118_275,NA,NA,0.34509
E20_138,0.17254,NA,NA
E1_191,NA,NA,0.23929
E24_459,NA,NA,0.57683
E87_19,0.02267,NA,NA
E177_431,0.54156,NA,NA
E9_163,NA,NA,0.20403
E18_176,NA,0.2204,NA
E123_302,NA,0.37909,NA
E103_472,0.5932,NA,NA
E56_415,NA,0.52141,NA
E165_331,NA,0.41562,NA
E186_561,NA,0.70529,NA
E178_514,NA,0.6461,NA
E15_342,0.42947,NA,NA
E102_483,0.60705,NA,NA
E77_644,0.80982,NA,NA
E67_725,0.91184,NA,NA
E135_653,NA,0.82116,NA
E189_89,NA,NA,0.11083
E34_480,NA,NA,0.60327
E17_15,NA,0.01763,NA
E136_160,NA,NA,0.20025
E172_553,NA,0.69521,NA
E53_308,NA,NA,0.38665
E44_145,0.18136,NA,NA
E98_737,0.92695,NA,NA
E196_54,0.06675,NA,NA
E23_97,NA,NA,0.12091
E133_788,NA,0.99118,NA
E26_717,NA,0.90176,NA
E3_82,NA,0.10202,NA
E142_57,0.07053,NA,NA
E192_209,0.26196,NA,NA
E88_759,NA,0.95466,NA
E68_650,NA,0.81738,NA
E130_661,0.83123,NA,NA
E60_127,0.15869,NA,NA
E187_421,0.52897,NA,NA
E35_163,0.20403,NA,NA
E76_261,0.32746,NA,NA
E61_736,NA,0.92569,NA
E73_541,NA,0.6801,NA
E179_62,NA,0.07683,NA
E188_446,0.56045,NA,NA
E29_20,0.02393,NA,NA
E176_440,NA,NA,0.5529
E150_62,NA,NA,0.07683
E49_364,0.45718,NA,NA
E145_585,NA,NA,0.73552
E62_137,NA,NA,0.17128
E55_499,0.6272,NA,NA
E169_679,0.8539,NA,NA
E132_455,NA,0.57179,NA
E167_509,0.6398,NA,NA
E190_24,NA,NA,0.02897
E156_259,NA,0.32494,NA
E70_487,0.61209,NA,NA
E94_310,0.38917,NA,NA
E146_330,0.41436,NA,NA
E10_158,NA,0.19773,NA
E171_571,NA,NA,0.71788
E12_398,NA,0.5,NA
E13_221,NA,0.27708,NA
E81_594,0.74685,NA,NA
E120_245,NA,0.3073,NA
E5_738,NA,NA,0.92821
E65_97,NA,NA,0.12091
E108_151,NA,0.18892,NA
E160_612,NA,0.76952,NA
E69_573,0.7204,NA,NA
E32_576,NA,NA,0.72418
E90_488,0.61335,NA,NA
E2_55,0.06801,NA,NA
E155_310,NA,0.38917,NA
E36_387,NA,NA,0.48615
E41_714,NA,0.89798,NA
E46_568,0.71411,NA,NA
E16_92,NA,0.11461,NA
E21_317,NA,NA,0.39798
E42_314,0.39421,NA,NA
E43_314,0.39421,NA,NA
E30_4,NA,NA,0.00378
E198_173,NA,0.21662,NA
E45_469,NA,NA,0.58942
E6_363,0.45592,NA,NA
E197_368,NA,0.46222,NA
E162_659,0.82872,NA,NA
