Gene1,Gene2
GATA4,SRY
GATA4,WT1pKTS
SOX9,CTNNB1
SOX9,DMRT1
WNT4,NR5A1
GATA4,WNT4
GATA4,WT1mKTS
CTNNB1,SRY
FGF9,WNT4
NR5A1,UGR
UGR,WT1pKTS
SOX9,FGF9
SOX9,PGD2
WNT4,FGF9
NR5A1,SRY
SRY,CTNNB1
SOX9,FOXL2
NR0B1,NR5A1
WT1mKTS,NR5A1
WNT4,SOX9
SOX9,DKK1
UGR,UGR
UGR,NR5A1
CBX2,SRY
DKK1,RSPO1
CTNNB1,RSPO1
GATA4,SOX9
WNT4,WT1pKTS
UGR,GATA4
WNT4,FOXL2
CTNNB1,WNT4
UGR,CBX2
RSPO1,CTNNB1
SOX9,SOX9
SRY,DMRT1
SRY,SOX9
FOXL2,DMRT1
CBX2,SOX9
FOXL2,SOX9
SRY,SRY
CTNNB1,FOXL2
NR5A1,GATA4
WT1mKTS,NR0B1
WT1pKTS,SRY
WNT4,RSPO1
SRY,DKK1
CTNNB1,SOX9
SOX9,NR0B1
CBX2,NR5A1
NR5A1,AMH
CTNNB1,CBX2
CTNNB1,AMH
AMH,CTNNB1
NR5A1,SOX9
FGF9,SOX9
CTNNB1,NR0B1
RSPO1,WNT4
WNT4,NR0B1
SOX9,DHH
DKK1,WNT4
WT1mKTS,AMH
CTNNB1,WT1pKTS
NR5A1,NR0B1
