Gene1,Gene2
GATA4,SRY
SOX9,DHH
SOX9,FOXL2
UGR,NR5A1
CTNNB1,FOXL2
SOX9,CTNNB1
CBX2,NR5A1
DKK1,RSPO1
CBX2,SRY
WNT4,WT1pKTS
FOXL2,DMRT1
SOX9,PGD2
SOX9,NR0B1
SRY,SRY
NR5A1,NR0B1
WNT4,RSPO1
DMRT1,FOXL2
WNT4,SOX9
GATA4,WNT4
SRY,DMRT1
WNT4,CTNNB1
UGR,WT1pKTS
DKK1,WNT4
NR5A1,SRY
UGR,GATA4
SOX9,FGF9
CTNNB1,RSPO1
CBX2,SOX9
NR5A1,SOX9
CTNNB1,CBX2
UGR,UGR
RSPO1,WNT4
CTNNB1,SOX9
SOX9,SOX9
GATA4,NR5A1
RSPO1,CTNNB1
WNT4,NR5A1
SRY,CTNNB1
WT1mKTS,NR0B1
CTNNB1,NR0B1
GATA4,AMH
FGF9,SOX9
AMH,CTNNB1
UGR,WT1mKTS
WNT4,UGR
CTNNB1,SRY
WNT4,FGF9
GATA4,SOX9
NR0B1,AMH
GATA4,WT1mKTS
WNT4,CBX2
PGD2,SOX9
NR0B1,NR5A1
SOX9,DMRT1
WT1mKTS,NR5A1
SOX9,DKK1
CTNNB1,AMH
GATA4,WT1pKTS
NR5A1,GATA4
SOX9,SRY
SRY,DKK1
UGR,CBX2
CTNNB1,WNT4
