,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4,PseudoTime5
E1331_314,,,0.62851,,
E1697_288,,0.57631,,,
E1826_59,0.11647,,,,
E1152_313,0.62651,,,,
E754_428,0.8574299999999999,,,,
E1029_189,,,0.37751,,
E916_189,,,,0.37751,
E1431_280,,,,,0.56024
E1002_483,0.9678700000000001,,,,
E834_380,,,0.7610399999999999,,
E361_389,,,,,0.77912
E483_57,,0.11245,,,
E136_495,,0.99197,,,
E439_75,,,0.14859,,
E1222_482,0.96586,,,,
E752_88,0.1747,,,,
E1737_400,,,0.8012,,
E78_430,,,0.86145,,
E905_94,,,0.18675,,
E590_122,,,0.24297,,
E1059_90,0.17870999999999998,,,,
E1126_269,,,,,0.53815
E1470_439,0.8795200000000001,,,,
E72_414,,,0.8293200000000001,,
E512_138,,,0.2751,,
E1915_237,,0.4739,,,
E38_257,,,0.5140600000000001,,
E1984_406,,,0.81325,,
E1476_20,,,0.03815,,
E1375_55,,0.10843,,,
E181_161,,,0.32129,,
E1662_188,0.3755,,,,
E1248_350,,0.7008,,,
E144_96,,,,0.19075999999999999,
E515_342,,,0.68474,,
E755_404,,0.80924,,,
E1326_26,0.0502,,,,
E1508_493,,,0.98795,,
E1648_73,,,0.14458,,
E1947_159,0.31727,,,,
E1388_158,0.31526,,,,
E1007_11,,,0.02008,,
E420_436,,,,,0.87349
E334_221,,,,,0.44177
E1908_49,,,0.09639,,
E1422_132,,,0.26305,,
E1487_175,0.3494,,,,
E722_220,,0.43976000000000004,,,
E1372_488,,,0.9779100000000001,,
E1178_313,,,0.62651,,
E1080_244,0.48795,,,,
E480_327,0.65462,,,,
E428_444,,,0.88956,,
E768_230,,,0.45983999999999997,,
E1186_246,0.49196999999999996,,,,
E1187_84,,0.16667,,,
E843_384,,,0.76908,,
E1803_123,,,0.24498000000000003,,
E572_54,,,0.10643,,
E1425_89,,,,0.17670999999999998,
E1957_227,0.45382,,,,
E787_75,0.14859,,,,
E247_428,,,0.8574299999999999,,
E1056_241,,0.48193,,,
E1293_2,,,,0.00201,
E1443_142,,,0.28313,,
E1106_295,,,0.59036,,
E64_68,,,0.13454000000000002,,
E1390_211,,,0.42168999999999995,,
E1028_170,,,,0.33936,
E1387_127,,0.25301,,,
E2_69,,0.13655,,,
E1497_385,,,0.77108,,
E1298_4,0.00602,,,,
E861_459,,,0.9196799999999999,,
E941_462,0.9257,,,,
E1962_388,0.7771100000000001,,,,
E220_84,,0.16667,,,
E1324_385,,,0.77108,,
E22_357,,,0.71486,,
E502_121,,0.24095999999999998,,,
E538_405,,,0.81124,,
E550_199,,,0.39759,,
E430_28,,0.054220000000000004,,,
E1784_156,,,,0.31124,
E1638_213,,0.4257,,,
E597_152,,,,,0.30321
E1181_437,0.8755,,,,
E1919_366,,,0.73293,,
E807_387,,,,0.7751,
E1769_492,,,0.9859399999999999,,
E919_490,,,,,0.98193
E1733_267,0.53414,,,,
E780_298,,,0.59639,,
E1246_43,0.08434,,,,
E673_423,,0.84739,,,
E766_118,,0.23494,,,
E1811_350,0.7008,,,,
E1279_340,,,0.68072,,
E1730_154,,,0.30723,,
E1252_275,,0.5502,,,
E1319_479,,,,0.9598399999999999,
E989_231,,0.46185,,,
E731_178,,0.35541999999999996,,,
E1659_336,,,0.67269,,
E1042_87,,,0.17269,,
E504_317,,0.63454,,,
E643_393,,,0.78715,,
E1700_480,0.96185,,,,
E970_281,0.56225,,,,
E1860_164,,0.32731,,,
E1660_115,0.22891999999999998,,,,
E292_301,,,0.60241,,
E1855_217,,0.43373,,,
E531_244,,,0.48795,,
E1491_36,,0.07028,,,
E1356_146,,0.29116,,,
E560_115,,,,,0.22891999999999998
E458_108,,,0.21486,,
E248_135,0.26908000000000004,,,,
E559_12,0.022090000000000002,,,,
E1712_85,,0.16867000000000001,,,
E270_80,,,,,0.15863
E1851_415,,,0.8313299999999999,,
E909_177,,,0.35341,,
E1503_35,,,0.06827000000000001,,
E1027_164,,0.32731,,,
E1391_53,,0.10442,,,
E1577_419,,,0.83936,,
E447_110,0.21888000000000002,,,,
E689_470,0.9417700000000001,,,,
E959_225,,,0.4498,,
E1574_362,,,,,0.7249
E369_436,,,0.87349,,
E213_320,,,,0.64056,
E1823_52,,,0.10240999999999999,,
E1395_32,,,,0.06225,
E1906_287,,,,,0.5743
E268_185,0.36948000000000003,,,,
E1689_135,,,0.26908000000000004,,
E918_26,,,0.0502,,
E1799_99,0.19679000000000002,,,,
E148_452,,0.9056200000000001,,,
E1263_116,0.23092,,,,
E1233_32,0.06225,,,,
E1833_171,,,0.34137,,
E1472_364,0.72892,,,,
E1583_75,,,0.14859,,
E425_122,0.24297,,,,
E1124_35,,,0.06827000000000001,,
E73_288,0.57631,,,,
E906_67,,,0.13253,,
E1143_16,0.030119999999999997,,,,
E1184_61,,0.12047999999999999,,,
E1952_52,,,0.10240999999999999,,
E1380_479,,0.9598399999999999,,,
E1282_357,,0.71486,,,
E1238_206,,0.41165,,,
E1922_431,0.86345,,,,
E84_318,0.63655,,,,
E1005_441,,0.8835299999999999,,,
E1602_198,0.39558000000000004,,,,
E103_378,,0.75703,,,
E1121_51,,,0.1004,,
E587_431,,,0.86345,,
E310_332,0.66466,,,,
E461_335,,0.67068,,,
E616_309,,,,,0.61847
E903_118,0.23494,,,,
E1379_11,,,0.02008,,
E1966_8,,,0.01406,,
E298_231,0.46185,,,,
E1219_337,0.6747,,,,
E610_434,0.8694799999999999,,,,
E1960_421,,,0.8433700000000001,,
E980_211,0.42168999999999995,,,,
E1084_469,,0.93976,,,
E729_88,,0.1747,,,
E697_142,,,0.28313,,
E628_103,,,0.20481999999999997,,
E991_381,,,0.76305,,
E1416_124,,,0.24699000000000002,,
E1484_387,0.7751,,,,
E1360_99,0.19679000000000002,,,,
E7_215,,,0.42972,,
E161_254,,0.50803,,,
E1665_472,,0.94578,,,
E1068_483,,,0.9678700000000001,,
E431_283,,0.5662699999999999,,,
E121_299,,0.59839,,,
E1885_27,,0.05221,,,
E1150_281,,0.56225,,,
E70_280,0.56024,,,,
E1226_357,,,0.71486,,
E948_270,,,,0.5401600000000001,
E1386_18,,0.03414,,,
E1825_345,,,0.69076,,
E1114_5,,0.008029999999999999,,,
E372_245,0.48996000000000006,,,,
E484_175,,,0.3494,,
E883_162,,0.32329,,,
E1597_333,,,0.66667,,
E1490_382,0.7650600000000001,,,,
E866_244,,0.48795,,,
E1122_221,,0.44177,,,
E698_408,0.8172699999999999,,,,
E1461_120,,,0.23895999999999998,,
E1159_415,,0.8313299999999999,,,
E1113_138,,,0.2751,,
E322_101,,,0.2008,,
E1088_388,,0.7771100000000001,,,
E856_339,,,0.67871,,
E1729_272,,0.54418,,,
E1455_28,,,0.054220000000000004,,
E1426_306,,0.61245,,,
E902_476,,,0.9538200000000001,,
E725_172,,,0.34337,,
E619_496,0.99398,,,,
E314_102,0.20281,,,,
E1639_94,,,0.18675,,
E1772_403,,0.80723,,,
E1593_437,,0.8755,,,
E1748_475,,,0.95181,,
E206_103,0.20481999999999997,,,,
E0_11,,0.02008,,,
E1622_348,,,0.6967899999999999,,
E1097_266,,0.53213,,,
E524_30,,,0.05823,,
E107_76,,,0.1506,,
E657_356,,,0.71285,,
E1929_29,,,0.056220000000000006,,
E913_441,0.8835299999999999,,,,
E1465_267,,,0.53414,,
E537_92,0.18273,,,,
E579_366,,,,,0.73293
E1242_151,,,0.3012,,
E192_90,,0.17870999999999998,,,
E1403_317,0.63454,,,,
E690_72,,,0.14257,,
E1958_392,,,0.78514,,
E172_169,0.33735,,,,
E1033_145,,,0.28916,,
E862_249,,0.49799,,,
E1989_421,0.8433700000000001,,,,
E1079_67,,,0.13253,,
E1363_469,0.93976,,,,
E1170_393,,0.78715,,,
E1656_457,0.91566,,,,
E1995_339,,,,0.67871,
E556_484,,,0.96988,,
E1412_144,,0.28715,,,
E1365_392,,,0.78514,,
E1986_489,,,0.9799200000000001,,
E749_248,0.49598000000000003,,,,
E732_108,0.21486,,,,
E1364_255,,,0.5100399999999999,,
E1923_40,,,0.07831,,
E1294_2,,0.00201,,,
E1430_278,,0.5562199999999999,,,
E1207_203,0.40562,,,,
E1366_107,,,0.21285,,
E1299_103,0.20481999999999997,,,,
E277_28,0.054220000000000004,,,,
E1141_270,,,0.5401600000000001,,
E1911_92,0.18273,,,,
E9_321,,,0.64257,,
E1753_211,,,,0.42168999999999995,
E371_408,,,0.8172699999999999,,
E1310_38,,,,0.0743,
E685_388,,,0.7771100000000001,,
E1635_235,0.46988,,,,
E536_497,,,0.99598,,
E470_318,,0.63655,,,
E272_290,0.58032,,,,
E1528_324,,,0.64859,,
E1863_164,,,0.32731,,
E1849_87,0.17269,,,,
E1038_474,,0.9498,,,
E1462_140,,,0.27912,,
E1735_307,,,0.61446,,
E923_46,,,0.09036,,
E1623_135,0.26908000000000004,,,,
E1560_376,,,0.7530100000000001,,
E1332_87,0.17269,,,,
E1452_445,,,0.8915700000000001,,
E1529_408,,,,,0.8172699999999999
E237_473,,,0.9477899999999999,,
E1201_466,,0.93373,,,
E146_257,,,0.5140600000000001,,
E1705_303,,0.60643,,,
E901_61,,0.12047999999999999,,,
E1752_286,,0.57229,,,
E442_20,,,0.03815,,
E1563_294,0.58835,,,,
E788_120,,0.23895999999999998,,,
E1052_298,,,0.59639,,
E758_492,0.9859399999999999,,,,
E620_412,,,0.8253,,
E1723_317,,,,,0.63454
E1901_119,0.23695,,,,
E529_286,,0.57229,,,
E1749_449,0.8996,,,,
E1815_91,,,0.18072,,
E577_199,0.39759,,,,
E341_100,,0.1988,,,
E1750_415,0.8313299999999999,,,,
E137_221,0.44177,,,,
E61_335,,,0.67068,,
E54_57,0.11245,,,,
E627_296,,,0.59237,,
E1566_108,0.21486,,,,
E1506_457,,0.91566,,,
E1651_266,,0.53213,,,
E956_82,,0.16265,,,
E229_112,,,0.22289,,
E1701_118,,,0.23494,,
E744_363,,0.7269100000000001,,,
E207_3,0.00402,,,,
E204_130,,,0.25904,,
E949_301,,,,0.60241,
E1759_168,,0.33534,,,
E393_35,0.06827000000000001,,,,
E503_256,0.51205,,,,
E11_409,0.8192799999999999,,,,
E1829_293,,,0.58635,,
E1523_84,,,0.16667,,
E163_223,,0.44578,,,
E471_117,,,0.23293000000000003,,
E1910_2,,0.00201,,,
E600_286,,0.57229,,,
E874_149,,,0.29719,,
E284_369,,,0.7389600000000001,,
E1123_30,,0.05823,,,
E1584_474,,,0.9498,,
E1411_347,,0.6947800000000001,,,
E1983_491,,0.9839399999999999,,,
E589_432,,,0.86546,,
E176_112,,0.22289,,,
E757_399,,,0.7992,,
E1050_125,,,0.249,,
E323_471,,,0.94378,,
E1191_484,,,,,0.96988
E303_2,,0.00201,,,
E357_270,,0.5401600000000001,,,
E351_62,,0.12249000000000002,,,
E1530_216,,0.43173,,,
E391_7,,0.01205,,,
E1702_103,0.20481999999999997,,,,
E1688_109,,,,0.21686999999999998,
E1174_183,,0.36546,,,
E655_17,,0.03213,,,
E1458_31,,0.060239999999999995,,,
E601_301,0.60241,,,,
E12_364,0.72892,,,,
E889_92,0.18273,,,,
E952_209,0.41767,,,,
E412_140,,,0.27912,,
E375_57,,,,0.11245,
E743_446,,,0.8935700000000001,,
E76_17,,,0.03213,,
E8_463,,,0.92771,,
E1384_189,,0.37751,,,
E792_221,,,0.44177,,
E1140_133,0.26506,,,,
E262_283,,,0.5662699999999999,,
E467_174,,,0.34739000000000003,,
E820_34,,0.06627000000000001,,,
E1275_375,,,0.7509999999999999,,
E1836_84,,0.16667,,,
E1533_477,0.9558200000000001,,,,
E191_424,0.8494,,,,
E1446_149,,0.29719,,,
E1724_392,,0.78514,,,
E674_376,,,0.7530100000000001,,
E212_125,,,,0.249,
E838_407,0.81526,,,,
E646_383,0.76707,,,,
E1619_9,,,0.016059999999999998,,
E42_201,0.40160999999999997,,,,
E716_273,,,,0.54618,
E1552_365,,0.73092,,,
E1744_235,,,0.46988,,
E594_311,,,0.62249,,
E100_439,,0.8795200000000001,,,
E1524_219,,,0.43775,,
E202_168,,0.33534,,,
E930_381,,,0.76305,,
E684_484,,,,,0.96988
E190_236,,0.47189,,,
E379_409,,,,0.8192799999999999,
E1469_481,,0.96386,,,
E701_343,,,,,0.68675
E1250_159,,,0.31727,,
E429_439,,,0.8795200000000001,,
E1985_179,,0.35743,,,
E1076_475,,,0.95181,,
E454_432,,0.86546,,,
E753_275,,0.5502,,,
E407_409,0.8192799999999999,,,,
E34_444,,0.88956,,,
E626_444,0.88956,,,,
E278_201,,,0.40160999999999997,,
E612_477,,,0.9558200000000001,,
E1396_429,0.85944,,,,
E1371_172,,,0.34337,,
E505_231,,,0.46185,,
E400_317,,0.63454,,,
E1231_494,,,0.9899600000000001,,
E1616_474,,0.9498,,,
E1501_228,,,0.45582,,
E219_433,0.8674700000000001,,,,
E606_239,0.47791000000000006,,,,
E1973_452,0.9056200000000001,,,,
E1441_1,,,,0.0,
