,PseudoTime
E56_1291,0.861580013504389
E76_107,0.062120189061444966
E51_1276,0.8514517218095882
E23_471,0.30790006752194465
E66_897,0.5955435516542876
E69_150,0.09115462525320729
E38_250,0.1586765698852127
E87_1430,0.9554355165428764
E33_281,0.17960837272113436
E64_277,0.17690749493585414
E71_279,0.17825793382849425
E9_681,0.44969615124915596
E32_1415,0.9453072248480756
E81_98,0.056043214044564485
E21_1496,1.0
E67_352,0.2275489534098582
E84_649,0.42808912896691426
E46_1134,0.7555705604321404
E25_794,0.5259959486833221
E63_934,0.6205266711681297
E41_1025,0.6819716407832546
E74_1095,0.7292370020256583
E42_774,0.512491559756921
E28_28,0.008777852802160702
E80_704,0.46522619851451724
E93_543,0.3565158676569885
E19_1055,0.7022282241728561
E27_864,0.5732613099257259
E3_287,0.1836596893990547
E88_553,0.3632680621201891
E36_1198,0.7987846049966238
E37_1368,0.9135719108710331
E68_758,0.5016880486158002
E83_1306,0.8717083051991897
E59_1190,0.7933828494260635
E35_424,0.2761647535449021
E7_606,0.39905469277515193
E22_1193,0.7954085077650236
E40_1207,0.8048615800135044
E75_656,0.4328156650911546
E18_289,0.1850101282916948
E61_169,0.10398379473328832
E96_1049,0.6981769074949359
E90_510,0.33423362592842676
E20_629,0.41458474004051316
E11_82,0.04523970290344362
E48_147,0.08912896691424713
E39_1313,0.8764348413234301
E14_951,0.6320054017555705
E73_947,0.6293045239702904
E94_357,0.23092505064145846
E95_392,0.25455773126266035
E52_1118,0.7447670492910196
E30_957,0.6360567184334909
E5_956,0.6353814989871708
E72_95,0.05401755570560432
E99_771,0.5104659014179609
E43_1098,0.7312626603646185
E29_317,0.20391627278865632
E50_604,0.3977042538825118
E89_1268,0.8460499662390277
E45_1056,0.7029034436191762
E53_673,0.4442943956785955
E82_375,0.24307900067521945
E62_1394,0.9311276164753545
E47_1154,0.7690749493585415
E78_1290,0.8609047940580689
E55_193,0.12018906144496962
E0_1494,0.9986495611073599
E34_120,0.07089804186360567
E98_336,0.21674544226873735
E15_293,0.18771100607697502
E44_828,0.548953409858204
E60_1393,0.9304523970290345
E54_1481,0.9898717083051992
E57_1431,0.9561107359891965
E79_15,0.0
E92_545,0.35786630654962864
E12_1440,0.962187711006077
E24_1484,0.9918973666441594
E1_694,0.45847400405131666
E77_560,0.3679945982444294
E10_203,0.12694125590817015
E8_1220,0.8136394328156651
E91_990,0.6583389601620526
E13_256,0.16272788656313303
E86_1116,0.7434166103983795
E4_1059,0.7049291019581364
E49_174,0.10735989196488858
E97_1261,0.8413234301147873
E70_1282,0.8555030384875084
E6_288,0.18433490884537473
E26_775,0.513166779203241
E17_1366,0.912221471978393
E31_586,0.38555030384875083
E16_76,0.041188386225523295
E85_332,0.21404456448345713
E65_128,0.07629979743416611
E2_751,0.49696151249155973
E58_622,0.4098582039162728
