,PseudoTime1,PseudoTime2,PseudoTime3
E3187_104,NA,0.12907,NA
E3075_40,NA,0.04887,NA
E4996_600,NA,0.75063,NA
E4470_145,0.18045,NA,NA
E4446_369,NA,0.46115,NA
E4653_425,NA,NA,0.53133
E1060_403,NA,0.50376,NA
E4456_157,NA,0.19549,NA
E3790_744,0.93108,NA,NA
E336_140,NA,NA,0.17419
E4432_258,0.32206,NA,NA
E2859_579,NA,NA,0.72431
E267_771,NA,NA,0.96491
E907_63,0.07769,NA,NA
E2245_616,NA,0.77068,NA
E4942_227,0.28321,NA,NA
E3397_12,0.01378,NA,NA
E2762_296,NA,0.36967,NA
E505_418,NA,NA,0.52256
E4009_742,NA,0.92857,NA
E2755_730,NA,0.91353,NA
E1853_51,0.06266,NA,NA
E1807_552,NA,0.69048,NA
E2533_122,NA,0.15163,NA
E800_204,0.25439,NA,NA
E2966_740,0.92607,NA,NA
E3061_760,NA,0.95113,NA
E3044_622,NA,0.7782,NA
E1463_45,NA,0.05514,NA
E1827_357,0.44612,NA,NA
E1933_269,NA,NA,0.33584
E1321_59,NA,0.07268,NA
E2047_483,0.60401,NA,NA
E4391_126,0.15664,NA,NA
E2437_363,NA,NA,0.45363
E3942_509,NA,0.63659,NA
E3199_522,NA,NA,0.65288
E2413_661,NA,NA,0.82707
E4122_651,NA,0.81454,NA
E2371_502,NA,0.62782,NA
E4166_635,NA,NA,0.79449
E1351_160,NA,NA,0.19925
E4883_535,0.66917,NA,NA
E2931_325,NA,NA,0.40602
E2329_191,0.2381,NA,NA
E3986_309,0.38596,NA,NA
E4073_318,NA,0.39724,NA
E589_483,0.60401,NA,NA
E4116_577,NA,NA,0.7218
E2872_417,0.5213,NA,NA
E4360_417,0.5213,NA,NA
E592_400,0.5,NA,NA
E4195_451,NA,NA,0.56391
E3232_376,NA,0.46992,NA
E3157_634,NA,0.79323,NA
E3769_196,NA,NA,0.24436
E1464_492,NA,NA,0.61529
E820_419,NA,NA,0.52381
E3530_241,NA,NA,0.30075
E4868_408,0.51003,NA,NA
E4021_534,NA,NA,0.66792
E2429_445,NA,0.55639,NA
E660_84,NA,0.10401,NA
E1112_35,0.04261,NA,NA
E2225_479,0.599,NA,NA
E1649_334,0.41729,NA,NA
E3418_230,NA,0.28697,NA
E1636_362,NA,0.45238,NA
E4383_329,NA,0.41103,NA
E1147_490,NA,NA,0.61278
E4921_504,0.63033,NA,NA
E3097_444,0.55514,NA,NA
E4980_742,NA,0.92857,NA
E902_116,NA,0.14411,NA
E2332_512,NA,NA,0.64035
E2527_575,NA,0.7193,NA
E2169_325,0.40602,NA,NA
E2930_29,0.03509,NA,NA
E3869_624,NA,0.7807,NA
E87_764,0.95614,NA,NA
E3410_335,0.41855,NA,NA
E4502_209,NA,NA,0.26065
E3435_575,NA,NA,0.7193
E4155_270,NA,0.33709,NA
E3861_7,NA,0.00752,NA
E1917_354,0.44236,NA,NA
E3436_60,0.07393,NA,NA
E940_264,NA,0.32957,NA
E48_39,0.04762,NA,NA
E2457_598,NA,NA,0.74812
E4445_45,0.05514,NA,NA
E3554_476,0.59524,NA,NA
E1120_451,0.56391,NA,NA
E4765_695,0.86967,NA,NA
E1916_33,0.0401,NA,NA
E1407_657,0.82206,NA,NA
E1036_251,NA,NA,0.31328
E1752_53,NA,NA,0.06516
E937_481,0.6015,NA,NA
E2275_316,NA,NA,0.39474
E1502_773,NA,0.96742,NA
E3073_689,0.86216,NA,NA
E36_488,NA,NA,0.61028
E3910_235,NA,0.29323,NA
E3292_219,NA,NA,0.27318
E22_157,0.19549,NA,NA
E4630_213,NA,NA,0.26566
E1454_74,NA,NA,0.09148
E1841_466,0.58271,NA,NA
E4714_517,0.64662,NA,NA
E4740_41,NA,NA,0.05013
E4354_351,0.4386,NA,NA
E3805_576,0.72055,NA,NA
E121_276,NA,0.34461,NA
E2971_580,0.72556,NA,NA
E2547_496,NA,NA,0.6203
E1714_240,0.2995,NA,NA
E2052_172,NA,NA,0.21429
E3220_677,NA,0.84712,NA
E4665_89,0.11028,NA,NA
E3804_372,0.46491,NA,NA
E2729_707,0.88471,NA,NA
E3543_496,NA,0.6203,NA
E2338_646,0.80827,NA,NA
E172_589,NA,0.73684,NA
E3525_542,NA,0.67794,NA
E3163_138,0.17168,NA,NA
E2921_616,NA,NA,0.77068
E4439_177,NA,NA,0.22055
E839_502,0.62782,NA,NA
E2521_496,0.6203,NA,NA
E1186_183,0.22807,NA,NA
E4522_66,0.08145,NA,NA
E4555_385,NA,0.4812,NA
E2553_478,NA,NA,0.59774
E4997_54,NA,0.06642,NA
E3070_25,NA,NA,0.03008
E1503_281,NA,0.35088,NA
E3761_634,NA,NA,0.79323
