TF	Target	EdgeWeight
FGF9	PGD2	0.010740100406110287
DMRT1	DKK1	0.010736780241131783
PGD2	AMH	0.010722308419644833
DHH	SOX9	0.01071220263838768
SOX9	PGD2	0.01071189809590578
CTNNB1	RSPO1	0.01070390548557043
SOX9	DHH	0.010690472088754177
RSPO1	CTNNB1	0.010687398724257946
DHH	PGD2	0.010682998225092888
SOX9	AMH	0.010670039802789688
AMH	FGF9	0.010663958266377449
PGD2	FGF9	0.010660653002560139
SRY	DMRT1	0.010657686740159988
WT1pKTS	DKK1	0.010645856149494648
SOX9	SRY	0.010644616559147835
WT1pKTS	NR5A1	0.010644309222698212
AMH	SOX9	0.01063601952046156
FOXL2	RSPO1	0.010632581077516079
NR5A1	WT1pKTS	0.010632460936903954
NR0B1	FOXL2	0.01063136663287878
NR0B1	CTNNB1	0.010630113072693348
CTNNB1	FOXL2	0.010629458352923393
DMRT1	WT1pKTS	0.010627646930515766
DMRT1	SRY	0.010622838512063026
NR5A1	PGD2	0.010618877597153187
NR5A1	DHH	0.010617249645292759
DKK1	AMH	0.010615033097565174
AMH	NR5A1	0.010613772086799145
DMRT1	AMH	0.010611542500555515
NR5A1	SOX9	0.010608866810798645
SOX9	WT1pKTS	0.010607885196805
SRY	DKK1	0.010607065632939339
DHH	FGF9	0.0106015270575881
RSPO1	FOXL2	0.010600531473755836
DHH	AMH	0.010598612949252129
DKK1	PGD2	0.01059725321829319
NR0B1	RSPO1	0.01059360709041357
NR5A1	AMH	0.010592860169708729
AMH	DMRT1	0.010590705089271069
UGR	CBX2	0.01058899238705635
FOXL2	WNT4	0.010586429387331009
FGF9	DHH	0.010586260817945004
WT1pKTS	SRY	0.010585282929241657
PGD2	SOX9	0.010584519244730473
AMH	PGD2	0.010582629591226578
SRY	SOX9	0.010579493828117847
FOXL2	CTNNB1	0.01057827565819025
RSPO1	NR0B1	0.01057808194309473
CTNNB1	WNT4	0.010578040964901447
SRY	NR5A1	0.010577215813100338
DKK1	SOX9	0.010576899163424969
DKK1	WT1pKTS	0.010575980879366398
PGD2	DMRT1	0.01057521067559719
PGD2	DHH	0.01057364046573639
FGF9	AMH	0.010566102340817451
WT1pKTS	DMRT1	0.01056604739278555
SOX9	FGF9	0.010564496740698814
SOX9	DMRT1	0.010562026873230934
FGF9	DKK1	0.010561984032392502
CBX2	WT1pKTS	0.01056133396923542
DMRT1	PGD2	0.010561262257397175
DKK1	SRY	0.010561158880591393
SOX9	DKK1	0.010560769587755203
NR5A1	FGF9	0.010559522546827793
DHH	DKK1	0.010559323243796825
DHH	WT1pKTS	0.010551723651587963
NR0B1	WNT4	0.01055106706917286
AMH	DHH	0.010550932958722115
CTNNB1	NR0B1	0.010547274723649025
RSPO1	WNT4	0.010544165968894958
WT1pKTS	SOX9	0.010543624870479107
PGD2	DKK1	0.010540523566305637
DHH	SRY	0.0105404332280159
SRY	AMH	0.010538985021412373
WT1pKTS	AMH	0.010534420609474182
DKK1	DMRT1	0.010533015243709087
DMRT1	DHH	0.010531929321587086
WNT4	FOXL2	0.010528543964028358
NR0B1	GATA4	0.010526434518396854
PGD2	WT1pKTS	0.010521222837269306
SRY	PGD2	0.01051898393779993
AMH	WT1pKTS	0.010518043301999569
WNT4	CTNNB1	0.010517996735870838
WNT4	GATA4	0.010516848415136337
DKK1	DHH	0.010516323149204254
SRY	DHH	0.010516250506043434
FGF9	DMRT1	0.01051589660346508
FOXL2	GATA4	0.010515397414565086
DMRT1	WT1mKTS	0.01051388680934906
FGF9	SOX9	0.010513868182897568
WT1pKTS	FGF9	0.010513276793062687
DMRT1	SOX9	0.010511432774364948
SRY	WT1pKTS	0.010509354993700981
DMRT1	FGF9	0.01050917524844408
NR0B1	WT1mKTS	0.010508180595934391
WT1mKTS	WT1pKTS	0.010507759638130665
DMRT1	NR5A1	0.010506648570299149
PGD2	WT1mKTS	0.010505950078368187
FOXL2	NR0B1	0.010504200123250484
WT1pKTS	PGD2	0.010501098819077015
SOX9	NR5A1	0.010499798692762852
WNT4	RSPO1	0.0104985935613513
NR5A1	DKK1	0.010498314164578915
NR5A1	DMRT1	0.01049827504903078
UGR	NR5A1	0.010497319512069225
CBX2	NR5A1	0.010496370494365692
DHH	NR5A1	0.010495737195014954
UGR	AMH	0.010492010042071342
DHH	DMRT1	0.010490166023373604
WT1mKTS	RSPO1	0.01048904936760664
GATA4	CBX2	0.010486566461622715
WNT4	NR0B1	0.01048283651471138
RSPO1	WT1mKTS	0.010482502169907093
WT1pKTS	DHH	0.010481375269591808
FOXL2	UGR	0.010481028817594051
FGF9	NR5A1	0.010480706579983234
WT1mKTS	NR5A1	0.010479633696377277
AMH	DKK1	0.010476583614945412
PGD2	NR5A1	0.010475007817149162
NR5A1	GATA4	0.010475002229213715
UGR	WT1pKTS	0.010472622700035572
UGR	PGD2	0.010470809414982796
