,PseudoTime1,PseudoTime2,PseudoTime3
E110_199,NA,0.24242,NA
E69_333,0.41162,NA,NA
E145_787,NA,NA,0.98485
E42_263,NA,0.32323,NA
E175_135,0.16162,NA,NA
E31_383,NA,NA,0.47475
E3_557,0.69444,NA,NA
E181_405,NA,0.50253,NA
E75_791,0.9899,NA,NA
E7_462,0.57449,NA,NA
E46_501,0.62374,NA,NA
E137_542,NA,NA,0.67551
E33_663,NA,NA,0.82828
E113_131,NA,NA,0.15657
E8_786,NA,NA,0.98359
E189_592,NA,0.73864,NA
E166_680,NA,0.84975,NA
E97_327,0.40404,NA,NA
E180_427,NA,0.5303,NA
E146_603,NA,NA,0.75253
E93_51,0.05556,NA,NA
E116_216,NA,0.26389,NA
E0_592,NA,NA,0.73864
E196_650,NA,0.81187,NA
E117_676,NA,0.8447,NA
E77_492,NA,0.61237,NA
E149_501,NA,0.62374,NA
E84_563,0.70202,NA,NA
E45_471,0.58586,NA,NA
E168_233,0.28535,NA,NA
E165_779,NA,NA,0.97475
E50_790,NA,0.98864,NA
E140_657,NA,NA,0.82071
E96_457,0.56818,NA,NA
E79_162,0.19571,NA,NA
E157_444,NA,NA,0.55177
E94_130,0.1553,NA,NA
E73_604,0.75379,NA,NA
E12_772,NA,0.96591,NA
E123_471,NA,NA,0.58586
E30_450,NA,0.55934,NA
E1_236,0.28914,NA,NA
E155_700,NA,0.875,NA
E163_177,NA,NA,0.21465
E66_319,NA,0.39394,NA
E37_288,0.3548,NA,NA
E132_325,NA,NA,0.40152
E106_688,NA,0.85985,NA
E171_364,NA,0.45076,NA
E57_470,0.5846,NA,NA
E179_131,NA,0.15657,NA
E2_74,0.0846,NA,NA
E161_771,0.96465,NA,NA
E9_707,NA,0.88384,NA
E118_621,NA,0.77525,NA
E128_735,0.91919,NA,NA
E167_501,0.62374,NA,NA
E103_417,NA,0.51768,NA
E59_326,NA,0.40278,NA
E27_485,NA,0.60354,NA
E92_93,0.10859,NA,NA
E20_320,0.3952,NA,NA
E25_382,0.47348,NA,NA
E87_528,NA,0.65783,NA
E172_250,NA,NA,0.30682
E183_516,0.64268,NA,NA
E141_466,0.57955,NA,NA
E32_631,0.78788,NA,NA
E148_563,NA,NA,0.70202
E109_564,0.70328,NA,NA
E72_275,NA,NA,0.33838
E36_170,NA,NA,0.20581
E52_638,0.79672,NA,NA
E188_40,NA,NA,0.04167
E198_285,NA,0.35101,NA
E151_774,0.96843,NA,NA
E187_773,NA,0.96717,NA
E127_302,0.37247,NA,NA
E136_214,NA,0.26136,NA
E67_747,0.93434,NA,NA
E115_769,0.96212,NA,NA
E190_505,NA,0.62879,NA
E182_464,0.57702,NA,NA
E26_334,0.41288,NA,NA
E173_517,NA,NA,0.64394
E11_461,NA,0.57323,NA
E184_70,NA,0.07955,NA
E61_395,NA,NA,0.4899
E134_7,NA,NA,0.0
E86_713,0.89141,NA,NA
E28_352,NA,NA,0.43561
E18_94,0.10985,NA,NA
E4_418,NA,NA,0.51894
E111_574,NA,NA,0.71591
E164_80,NA,0.09217,NA
E51_685,NA,NA,0.85606
E24_60,0.06692,NA,NA
E98_365,0.45202,NA,NA
E193_226,0.27652,NA,NA
E5_618,NA,NA,0.77146
E58_88,0.10227,NA,NA
E160_263,NA,NA,0.32323
E159_7,NA,NA,0.0
E133_790,0.98864,NA,NA
E85_405,NA,0.50253,NA
E108_324,0.40025,NA,NA
E191_51,0.05556,NA,NA
E199_261,0.32071,NA,NA
E177_456,NA,0.56692,NA
E152_658,0.82197,NA,NA
E23_479,NA,NA,0.59596
E130_174,0.21086,NA,NA
E71_186,NA,0.22601,NA
E15_677,NA,NA,0.84596
E162_740,0.92551,NA,NA
E153_381,NA,NA,0.47222
E120_74,NA,NA,0.0846
E74_496,NA,NA,0.61742
E147_542,NA,NA,0.67551
E169_288,NA,NA,0.3548
E70_689,NA,0.86111,NA
E83_462,NA,NA,0.57449
E34_110,NA,NA,0.13005
E10_152,NA,0.18308,NA
E63_752,NA,NA,0.94066
E139_257,0.31566,NA,NA
E88_107,NA,NA,0.12626
E131_123,NA,NA,0.14646
E112_707,NA,NA,0.88384
E100_404,0.50126,NA,NA
E125_152,NA,0.18308,NA
E186_561,NA,0.69949,NA
E197_171,NA,0.20707,NA
E119_530,0.66035,NA,NA
E56_293,0.36111,NA,NA
E95_465,NA,NA,0.57828
E16_208,NA,NA,0.25379
E91_92,0.10732,NA,NA
E126_40,0.04167,NA,NA
E64_66,NA,NA,0.07449
E39_781,0.97727,NA,NA
E105_673,NA,NA,0.84091
E53_778,NA,0.97348,NA
E65_230,NA,0.28157,NA
E38_135,NA,NA,0.16162
E150_233,NA,NA,0.28535
E143_677,NA,NA,0.84596
E68_628,NA,0.78409,NA
E78_235,NA,0.28788,NA
E122_32,NA,NA,0.03157
E176_712,0.89015,NA,NA
E124_150,0.18056,NA,NA
E107_546,NA,NA,0.68056
E82_17,NA,NA,0.01263
E114_155,NA,NA,0.18687
E90_600,0.74874,NA,NA
E89_31,NA,0.0303,NA
E62_212,NA,NA,0.25884
E81_86,NA,0.09975,NA
E156_282,NA,NA,0.34722
E99_10,0.00379,NA,NA
E129_483,0.60101,NA,NA
E41_186,NA,NA,0.22601
E43_392,NA,0.48611,NA
E13_186,NA,0.22601,NA
E48_248,0.30429,NA,NA
E21_728,0.91035,NA,NA
E195_226,NA,0.27652,NA
E49_332,NA,0.41035,NA
E102_605,0.75505,NA,NA
E138_581,NA,NA,0.72475
E101_738,NA,NA,0.92298
E55_452,0.56187,NA,NA
E40_423,NA,0.52525,NA
E121_412,NA,NA,0.51136
E54_620,NA,NA,0.77399
E14_377,0.46717,NA,NA
E174_329,NA,NA,0.40657
E142_638,0.79672,NA,NA
E178_741,NA,0.92677,NA
E35_121,0.14394,NA,NA
E104_569,NA,NA,0.7096
E44_94,0.10985,NA,NA
E29_147,0.17677,NA,NA
E47_161,0.19444,NA,NA
E6_18,NA,NA,0.01389
E194_641,0.80051,NA,NA
E158_412,NA,NA,0.51136
E19_799,NA,NA,1.0
E170_349,NA,NA,0.43182
E154_469,NA,0.58333,NA
E80_298,NA,0.36742,NA
E22_477,NA,NA,0.59343
E144_645,0.80556,NA,NA
E135_645,0.80556,NA,NA
E76_797,0.99747,NA,NA
E185_291,NA,NA,0.35859
E17_482,0.59975,NA,NA
E60_475,NA,NA,0.59091
E192_381,0.47222,NA,NA
