,PseudoTime
E69_545,0.6834804539722572
E193_748,0.9394703656998739
E18_534,0.669609079445145
E36_294,0.3669609079445145
E100_362,0.4527112232030265
E191_726,0.9117276166456494
E38_637,0.7994955863808323
E162_48,0.05674653215636822
E44_520,0.6519546027742749
E104_210,0.2610340479192938
E140_705,0.8852459016393442
E31_706,0.8865069356872636
E20_84,0.1021437578814628
E154_445,0.5573770491803278
E102_542,0.6796973518284993
E52_701,0.880201765447667
E133_738,0.926860025220681
E7_552,0.6923076923076923
E134_154,0.19041614123581338
E195_751,0.9432534678436317
E198_158,0.19546027742749053
E1_477,0.5977301387137453
E192_242,0.30138713745271123
E152_119,0.14627994955863807
E144_202,0.2509457755359395
E132_113,0.13871374527112232
E65_634,0.7957124842370744
E40_421,0.5271122320302648
E94_636,0.798234552332913
E177_777,0.9760403530895334
E139_454,0.5687263556116016
E11_329,0.4110970996216898
E4_494,0.6191677175283733
E92_613,0.7692307692307693
E142_443,0.5548549810844893
E116_340,0.424968474148802
E84_238,0.296343001261034
E127_350,0.43757881462799497
E124_125,0.15384615384615385
E39_83,0.1008827238335435
E79_794,0.9974779319041615
E141_670,0.8411097099621689
E129_387,0.4842370744010088
E49_481,0.6027742749054225
E73_497,0.6229508196721312
E123_572,0.7175283732660782
E80_312,0.3896595208070618
E121_194,0.2408575031525851
E88_458,0.5737704918032787
E143_39,0.04539722572509458
E10_251,0.31273644388398486
E50_667,0.8373266078184111
E6_9,0.007566204287515763
E187_195,0.2421185372005044
E55_505,0.6330390920554855
E126_103,0.12610340479192939
E99_499,0.6254728877679697
E47_565,0.7087011349306431
E82_516,0.6469104665825978
E117_215,0.2673392181588903
E153_488,0.6116015132408575
E122_376,0.4703656998738966
E15_451,0.5649432534678437
E148_707,0.8877679697351829
E93_432,0.5409836065573771
E86_325,0.4060529634300126
E95_409,0.5119798234552333
E63_510,0.639344262295082
E180_355,0.44388398486759145
E111_180,0.223203026481715
E81_723,0.9079445145018915
E16_195,0.2421185372005044
E106_746,0.9369482976040353
E109_730,0.9167717528373266
E168_390,0.4880201765447667
E28_40,0.04665825977301387
E29_48,0.05674653215636822
E21_261,0.3253467843631778
E32_766,0.9621689785624212
E176_408,0.510718789407314
E199_788,0.9899117276166457
E26_553,0.6935687263556116
E172_49,0.058007566204287514
E51_651,0.8171500630517023
E159_312,0.3896595208070618
E188_350,0.43757881462799497
E108_666,0.8360655737704918
E147_423,0.5296343001261034
E120_686,0.8612862547288777
E119_181,0.2244640605296343
E68_293,0.3656998738965952
E197_400,0.5006305170239597
E158_496,0.6216897856242118
E67_774,0.9722572509457755
E22_510,0.639344262295082
E0_234,0.29129886506935687
E34_431,0.5397225725094578
E97_391,0.489281210592686
E145_191,0.23707440100882723
E46_156,0.19293820933165196
E89_320,0.39974779319041615
E190_629,0.7894073139974779
E5_113,0.13871374527112232
E53_332,0.41488020176544765
E163_461,0.5775535939470365
E170_162,0.2005044136191677
E19_702,0.8814627994955864
E128_149,0.1841109709962169
E60_408,0.510718789407314
E146_288,0.3593947036569987
E3_121,0.14880201765447668
E169_3,0.0
E74_632,0.7931904161412359
E43_397,0.4968474148802018
E59_511,0.6406052963430012
E61_478,0.5989911727616646
E185_246,0.3064312736443884
E71_796,1.0
E77_549,0.6885245901639344
E174_40,0.04665825977301387
E83_474,0.5939470365699874
E62_372,0.46532156368221944
E114_80,0.09709962168978563
E87_222,0.27616645649432536
E2_185,0.22950819672131148
E157_207,0.2572509457755359
E42_42,0.04918032786885246
E150_478,0.5989911727616646
E184_487,0.6103404791929382
E35_640,0.8032786885245902
E91_451,0.5649432534678437
E151_700,0.8789407313997478
E156_213,0.2648171500630517
E118_320,0.39974779319041615
E12_594,0.7452711223203027
E115_398,0.49810844892812106
E161_667,0.8373266078184111
E17_639,0.8020176544766708
E173_386,0.48297604035308955
E76_301,0.37578814627994955
E56_357,0.44640605296343
E171_599,0.7515762925598991
E179_124,0.15258511979823455
E75_518,0.6494325346784363
E96_150,0.1853720050441362
E72_500,0.626733921815889
E125_580,0.7276166456494325
E103_9,0.007566204287515763
E33_680,0.8537200504413619
E45_639,0.8020176544766708
E181_588,0.7377049180327869
E78_476,0.5964691046658259
E178_596,0.7477931904161412
E182_529,0.6633039092055486
E194_498,0.6242118537200504
E64_412,0.5157629255989912
E8_772,0.969735182849937
E85_645,0.8095838587641866
E23_354,0.4426229508196721
E48_140,0.17276166456494324
E13_389,0.48675914249684743
E137_136,0.1677175283732661
E113_394,0.4930643127364439
E58_770,0.9672131147540983
E9_557,0.6986128625472888
E24_378,0.4728877679697352
E166_96,0.11727616645649433
E186_713,0.8953341740226987
E107_554,0.694829760403531
E101_91,0.11097099621689786
E138_491,0.6153846153846154
E25_187,0.23203026481715006
E136_44,0.05170239596469105
E54_662,0.8310214375788146
E160_431,0.5397225725094578
E37_538,0.6746532156368222
E70_672,0.8436317780580076
E155_552,0.6923076923076923
E175_378,0.4728877679697352
E165_389,0.48675914249684743
E196_511,0.6406052963430012
E110_442,0.5535939470365699
E149_83,0.1008827238335435
E30_54,0.06431273644388398
E131_259,0.3228247162673392
E189_577,0.7238335435056746
E98_253,0.31525851197982346
E90_753,0.9457755359394704
E105_347,0.4337957124842371
E112_196,0.24337957124842372
E164_408,0.510718789407314
E14_127,0.15636822194199243
E130_404,0.5056746532156369
E167_784,0.9848675914249685
E41_117,0.1437578814627995
E57_137,0.16897856242118536
E135_94,0.11475409836065574
E27_530,0.6645649432534678
E183_329,0.4110970996216898
E66_465,0.5825977301387137
