,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4,PseudoTime5
E1246_208,,,0.41566000000000003,,
E466_105,,,0.20884,,
E1821_306,,,0.61245,,
E666_456,,,,0.91365,
E205_63,0.1245,,,,
E1383_168,,0.33534,,,
E885_193,,,,,0.38554
E1201_15,0.028110000000000003,,,,
E833_10,,,0.01807,,
E1148_80,,,,0.15863,
E1625_395,,0.7911600000000001,,,
E1212_191,,0.38153000000000004,,,
E451_493,,0.98795,,,
E470_123,,0.24498000000000003,,,
E589_35,,0.06827000000000001,,,
E663_11,0.02008,,,,
E274_497,0.99598,,,,
E610_287,0.5743,,,,
E245_279,0.55823,,,,
E203_133,0.26506,,,,
E293_116,0.23092,,,,
E482_423,,,0.84739,,
E1223_344,,,0.68876,,
E403_265,,0.53012,,,
E881_143,0.28514,,,,
E63_292,,,0.58434,,
E366_332,,,0.66466,,
E1616_338,,,0.67671,,
E489_243,0.48594,,,,
E1184_43,0.08434,,,,
E215_268,,,0.53614,,
E452_289,0.57831,,,,
E1378_205,0.40963999999999995,,,,
E1645_172,0.34337,,,,
E1524_245,,,0.48996000000000006,,
E540_294,,0.58835,,,
E798_402,,0.8052199999999999,,,
E1460_385,,,0.77108,,
E1130_110,0.21888000000000002,,,,
E1362_302,0.60442,,,,
E1630_469,0.93976,,,,
E1708_65,,0.12850999999999999,,,
E783_171,0.34137,,,,
E1743_76,,,,0.1506,
E1713_122,0.24297,,,,
E1668_206,,,0.41165,,
E1530_261,,0.5220899999999999,,,
E922_285,0.57028,,,,
E751_47,0.09237000000000001,,,,
E594_101,0.2008,,,,
E1915_477,,,0.9558200000000001,,
E776_290,0.58032,,,,
E782_386,0.7730899999999999,,,,
E199_361,,0.7228899999999999,,,
E1358_76,,,0.1506,,
E1517_407,,,0.81526,,
E931_318,,0.63655,,,
E611_108,,,0.21486,,
E561_214,,0.42771000000000003,,,
E479_215,,,0.42972,,
E1513_209,,0.41767,,,
E515_244,,,,,0.48795
E932_87,,,0.17269,,
E742_311,0.62249,,,,
E346_489,,,,,0.9799200000000001
E1891_151,,,0.3012,,
E11_27,,0.05221,,,
E1811_311,,,0.62249,,
E1367_49,0.09639,,,,
E673_391,0.78313,,,,
E487_152,,,0.30321,,
E296_456,,,,,0.91365
E1689_112,,0.22289,,,
E131_48,,0.09437999999999999,,,
E749_343,,,0.68675,,
