,PseudoTime1,PseudoTime2,PseudoTime3
E19_643,NA,NA,0.80278
E153_202,NA,NA,0.24526
E137_71,NA,NA,0.07965
E108_683,0.85335,NA,NA
E53_634,NA,0.7914,NA
E88_634,0.7914,NA,NA
E48_109,0.12769,NA,NA
E40_584,0.72819,NA,NA
E96_662,0.8268,NA,NA
E92_531,0.66119,NA,NA
E162_793,NA,NA,0.99241
E181_389,NA,0.48167,NA
E155_77,0.08723,NA,NA
E97_766,NA,NA,0.95828
E151_167,NA,NA,0.20101
E122_392,0.48546,NA,NA
E173_314,0.38685,NA,NA
E30_446,NA,NA,0.55373
E13_573,NA,0.71429,NA
E16_260,NA,0.31858,NA
E10_606,NA,NA,0.75601
E71_274,NA,0.33628,NA
E28_511,NA,NA,0.6359
E184_279,0.3426,NA,NA
E59_671,NA,0.83818,NA
E128_614,NA,NA,0.76612
E3_504,0.62705,NA,NA
E140_623,NA,NA,0.7775
E160_282,NA,NA,0.3464
E135_365,NA,0.45133,NA
E31_126,NA,NA,0.14918
E156_533,0.66372,NA,NA
E76_166,0.19975,NA,NA
E74_27,NA,NA,0.02402
E7_696,0.86979,NA,NA
E94_703,NA,0.87863,NA
E66_632,NA,NA,0.78887
E131_70,NA,NA,0.07838
E120_345,0.42604,NA,NA
E113_202,NA,NA,0.24526
E26_766,NA,0.95828,NA
E42_776,0.97092,NA,NA
E63_629,0.78508,NA,NA
E165_393,NA,0.48673,NA
E175_329,0.40582,NA,NA
E132_788,NA,NA,0.98609
E61_428,NA,NA,0.53097
E99_465,0.57775,NA,NA
E73_670,0.83692,NA,NA
E152_511,0.6359,NA,NA
E198_22,NA,NA,0.0177
E158_406,NA,0.50316,NA
E167_147,NA,NA,0.17573
E56_553,NA,0.689,NA
E24_324,NA,NA,0.39949
E69_133,NA,0.15803,NA
E102_165,NA,NA,0.19848
E179_730,NA,NA,0.91277
E84_223,NA,0.27181,NA
E126_742,NA,0.92794,NA
E180_641,NA,0.80025,NA
E116_538,NA,0.67004,NA
E8_585,NA,0.72946,NA
E115_508,NA,NA,0.63211
E81_93,NA,NA,0.10746
E125_62,0.06827,NA,NA
E72_8,0.0,NA,NA
E109_772,NA,NA,0.96587
E112_620,0.7737,NA,NA
E194_702,NA,0.87737,NA
E65_693,0.86599,NA,NA
E157_67,0.07459,NA,NA
E6_761,NA,0.95196,NA
E195_180,NA,NA,0.21745
E164_83,NA,NA,0.09482
E85_506,NA,0.62958,NA
E111_250,NA,0.30594,NA
E9_555,NA,0.69153,NA
E82_330,NA,NA,0.40708
E148_253,NA,0.30973,NA
E163_790,0.98862,NA,NA
E168_222,NA,0.27054,NA
E178_577,NA,0.71934,NA
E143_238,NA,NA,0.29077
E90_738,NA,0.92288,NA
E80_428,NA,NA,0.53097
E78_792,0.99115,NA,NA
E75_401,0.49684,NA,NA
E25_335,NA,0.4134,NA
E145_715,NA,NA,0.89381
E150_558,NA,NA,0.69532
E124_8,NA,0.0,NA
E161_166,0.19975,NA,NA
E36_50,NA,NA,0.0531
E0_271,NA,NA,0.33249
E130_621,NA,NA,0.77497
E183_112,NA,0.13148,NA
E104_296,NA,NA,0.3641
E149_101,NA,0.11757,NA
E176_195,NA,NA,0.23641
E98_209,NA,NA,0.25411
E187_498,0.61947,NA,NA
E188_541,NA,0.67383,NA
E20_770,NA,0.96334,NA
E86_781,NA,0.97724,NA
E154_761,NA,0.95196,NA
E46_559,NA,0.69659,NA
E190_659,0.82301,NA,NA
E15_498,0.61947,NA,NA
E117_219,0.26675,NA,NA
E14_393,NA,0.48673,NA
E39_757,0.9469,NA,NA
E142_453,NA,0.56258,NA
E70_192,NA,NA,0.23262
E170_510,0.63464,NA,NA
E191_367,NA,NA,0.45386
E110_558,NA,0.69532,NA
E58_379,NA,NA,0.46903
E114_194,NA,NA,0.23515
E38_183,NA,NA,0.22124
E51_424,NA,NA,0.52592
E60_89,NA,NA,0.1024
E68_181,0.21871,NA,NA
E47_711,NA,0.88875,NA
E2_481,0.59798,NA,NA
E54_490,0.60936,NA,NA
E159_277,NA,NA,0.34008
E22_626,NA,0.78129,NA
E146_138,NA,0.16435,NA
E103_565,NA,NA,0.70417
E18_607,NA,NA,0.75727
E127_799,NA,1.0,NA
E5_612,NA,0.76359,NA
E144_554,NA,0.69027,NA
E177_82,NA,0.09355,NA
E100_355,NA,0.43869,NA
E107_317,NA,NA,0.39064
E89_436,0.54109,NA,NA
E121_466,NA,NA,0.57901
E55_667,NA,NA,0.83312
E147_99,NA,NA,0.11504
E166_689,0.86094,NA,NA
E83_427,0.52971,NA,NA
E129_146,NA,0.17446,NA
E62_526,NA,0.65487,NA
E57_571,NA,NA,0.71176
E4_105,0.12263,NA,NA
E123_284,NA,0.34893,NA
E193_285,0.35019,NA,NA
E33_59,NA,NA,0.06448
E29_643,NA,0.80278,NA
E105_274,NA,NA,0.33628
E41_498,0.61947,NA,NA
E189_489,0.60809,NA,NA
E119_234,NA,NA,0.28571
E134_205,NA,0.24905,NA
E93_101,NA,0.11757,NA
E67_482,NA,0.59924,NA
E196_259,NA,NA,0.31732
E44_290,NA,0.35651,NA
E32_678,NA,NA,0.84703
E192_485,NA,0.60303,NA
E12_153,NA,NA,0.18331
E169_762,NA,NA,0.95322
E35_514,NA,NA,0.6397
E182_323,0.39823,NA,NA
E106_137,NA,0.16308,NA
E43_186,0.22503,NA,NA
E23_19,NA,NA,0.01391
E34_394,NA,NA,0.48799
E49_424,0.52592,NA,NA
E139_235,NA,0.28698,NA
E186_304,NA,0.37421,NA
E171_428,NA,0.53097,NA
E101_594,0.74083,NA,NA
E77_664,0.82933,NA,NA
E141_684,0.85461,NA,NA
E1_234,NA,NA,0.28571
E138_298,NA,NA,0.36662
E197_286,NA,0.35145,NA
E50_652,0.81416,NA,NA
E37_705,NA,0.88116,NA
E136_637,0.7952,NA,NA
E95_699,0.87358,NA,NA
E52_12,NA,NA,0.00506
E17_695,NA,0.86852,NA
E27_157,NA,NA,0.18837
E11_589,0.73451,NA,NA
E45_474,NA,0.58913,NA
E91_720,NA,0.90013,NA
E172_732,NA,0.9153,NA
E199_749,0.93679,NA,NA
E118_427,NA,0.52971,NA
E174_400,0.49558,NA,NA
E21_139,NA,NA,0.16561
E133_794,0.99368,NA,NA
E64_30,NA,0.02781,NA
