,PseudoTime1,PseudoTime2,PseudoTime3
E174_373,NA,NA,0.46617
E3395_103,NA,NA,0.12782
E4243_459,0.57393,NA,NA
E1274_450,0.56266,NA,NA
E2606_389,NA,NA,0.48622
E1702_357,0.44612,NA,NA
E2283_603,NA,NA,0.75439
E3654_767,NA,NA,0.9599
E3511_357,NA,0.44612,NA
E139_487,0.60902,NA,NA
E617_139,NA,NA,0.17293
E1965_657,0.82206,NA,NA
E1090_44,NA,NA,0.05388
E4550_637,NA,0.79699,NA
E1124_113,NA,NA,0.14035
E669_547,NA,NA,0.68421
E491_448,0.56015,NA,NA
E2337_690,NA,0.86341,NA
E4899_198,NA,NA,0.24687
E3239_517,NA,NA,0.64662
E1513_366,NA,0.45739,NA
E376_770,NA,0.96366,NA
E3491_536,NA,NA,0.67043
E739_440,0.55013,NA,NA
E1251_479,0.599,NA,NA
E832_446,0.55764,NA,NA
E51_520,NA,NA,0.65038
E2305_670,NA,NA,0.83835
E1406_639,0.7995,NA,NA
E4614_787,0.98496,NA,NA
E61_433,NA,0.54135,NA
E3221_761,NA,0.95238,NA
E996_786,NA,NA,0.98371
E3522_570,0.71303,NA,NA
E3927_64,0.07895,NA,NA
E4212_355,0.44361,NA,NA
E2410_750,0.9386,NA,NA
E1816_693,NA,0.86717,NA
E4031_25,0.03008,NA,NA
E3692_787,NA,NA,0.98496
E3077_343,NA,0.42857,NA
E2743_634,NA,NA,0.79323
E4437_431,0.53885,NA,NA
E2779_322,NA,NA,0.40226
E1103_641,NA,NA,0.80201
E1933_346,NA,NA,0.43233
E1694_322,0.40226,NA,NA
E728_295,NA,0.36842,NA
E608_325,0.40602,NA,NA
E3990_213,NA,NA,0.26566
E3538_32,NA,0.03885,NA
E4779_188,NA,NA,0.23434
E815_350,0.43734,NA,NA
E4167_110,NA,NA,0.13659
E1579_77,NA,0.09524,NA
E1148_795,NA,NA,0.99499
E1156_499,NA,NA,0.62406
E2280_119,NA,0.14787,NA
E476_591,0.73935,NA,NA
E813_796,NA,0.99624,NA
E1395_482,NA,0.60276,NA
E1619_235,0.29323,NA,NA
E4844_710,0.88847,NA,NA
E2043_697,NA,NA,0.87218
E4141_40,NA,NA,0.04887
E2712_441,NA,NA,0.55138
E537_290,NA,NA,0.36216
E4299_285,NA,0.35589,NA
E749_796,0.99624,NA,NA
E3719_334,NA,0.41729,NA
E4565_8,NA,0.00877,NA
E4519_114,NA,0.1416,NA
E4229_57,NA,NA,0.07018
E2612_215,NA,NA,0.26817
E4443_503,0.62907,NA,NA
E2160_70,NA,NA,0.08647
E1313_280,0.34962,NA,NA
E1048_232,NA,NA,0.28947
E3453_417,0.5213,NA,NA
E4113_729,NA,NA,0.91228
E4757_722,0.90351,NA,NA
E2906_165,NA,NA,0.20551
E758_662,0.82832,NA,NA
E4444_414,NA,0.51754,NA
E1088_429,NA,NA,0.53634
E4018_63,NA,NA,0.07769
E1609_149,0.18546,NA,NA
E1955_364,NA,0.45489,NA
E574_364,NA,0.45489,NA
E2678_780,0.97619,NA,NA
E4015_70,0.08647,NA,NA
E1393_459,NA,NA,0.57393
E185_111,NA,NA,0.13784
E2548_260,NA,NA,0.32456
E2112_770,NA,NA,0.96366
E2142_701,NA,NA,0.87719
E789_290,0.36216,NA,NA
E4014_200,NA,NA,0.24937
E4433_646,0.80827,NA,NA
E193_440,NA,0.55013,NA
E3026_117,NA,NA,0.14536
E4643_256,NA,NA,0.31955
E827_751,0.93985,NA,NA
E3970_645,NA,0.80702,NA
E1375_170,NA,NA,0.21178
E935_42,NA,NA,0.05138
E3924_664,NA,0.83083,NA
E2365_86,NA,NA,0.10652
E1324_588,NA,NA,0.73559
E4431_223,0.2782,NA,NA
E4190_348,0.43484,NA,NA
E1700_376,NA,0.46992,NA
E199_164,0.20426,NA,NA
E3810_708,0.88596,NA,NA
E3068_291,0.36341,NA,NA
E4793_472,NA,0.59023,NA
E4853_745,NA,NA,0.93233
E1433_596,NA,NA,0.74561
E970_520,NA,0.65038,NA
E4695_662,NA,NA,0.82832
E3271_170,0.21178,NA,NA
E3173_233,NA,NA,0.29073
E4307_388,0.48496,NA,NA
E1947_248,0.30952,NA,NA
E4873_450,NA,NA,0.56266
E3895_614,NA,NA,0.76817
E83_496,NA,NA,0.6203
E2243_603,NA,NA,0.75439
E3759_659,0.82456,NA,NA
E877_509,NA,0.63659,NA
E492_456,NA,0.57018,NA
E833_305,NA,0.38095,NA
E396_644,0.80576,NA,NA
E2511_359,NA,NA,0.44862
E2528_179,NA,0.22306,NA
E1275_646,NA,NA,0.80827
E1000_173,NA,0.21554,NA
E4668_291,NA,NA,0.36341
E2848_274,NA,0.34211,NA
E1567_369,NA,0.46115,NA
E2069_644,NA,0.80576,NA
E3850_529,0.66165,NA,NA
E3120_143,NA,0.17794,NA
E4280_415,NA,NA,0.5188
E1133_604,NA,0.75564,NA
E4638_692,NA,NA,0.86591
E3401_383,0.4787,NA,NA
E1638_528,0.6604,NA,NA
E4765_38,0.04637,NA,NA
E4767_426,NA,NA,0.53258
E216_275,0.34336,NA,NA
E2923_699,NA,0.87469,NA
E2102_138,0.17168,NA,NA
E3875_373,NA,0.46617,NA
E2937_586,NA,NA,0.73308
E1576_295,NA,0.36842,NA
E3199_90,NA,NA,0.11153
E1349_526,NA,NA,0.65789
E3117_550,NA,NA,0.68797
E4154_65,0.0802,NA,NA
E1812_391,NA,NA,0.48872
E1256_629,0.78697,NA,NA
E4719_42,NA,NA,0.05138
E4199_382,NA,NA,0.47744
E4977_767,NA,NA,0.9599
E3602_267,NA,0.33333,NA
E1832_702,0.87845,NA,NA
E2685_17,0.02005,NA,NA
E1389_529,NA,0.66165,NA
E583_774,NA,NA,0.96867
E2214_104,NA,NA,0.12907
E1780_749,NA,0.93734,NA
