,PseudoTime1,PseudoTime2
E108_186,0.37022,NA
E37_249,NA,0.49698
E19_295,NA,0.58954
E112_333,0.666,NA
E83_483,NA,0.96781
E26_213,NA,0.42455
E149_370,0.74044,NA
E71_183,0.36419,NA
E49_358,NA,0.7163
E171_306,NA,0.61167
E187_267,NA,0.5332
E102_194,NA,0.38632
E179_474,0.9497,NA
E70_297,NA,0.59356
E178_272,NA,0.54326
E16_40,NA,0.07646
E45_458,NA,0.91751
E99_80,NA,0.15694
E194_40,NA,0.07646
E177_417,0.83501,NA
E92_461,0.92354,NA
E122_273,NA,0.54527
E33_332,NA,0.66398
E109_173,NA,0.34406
E10_237,0.47284,NA
E190_263,NA,0.52515
E82_232,0.46278,NA
E50_304,0.60765,NA
E191_182,NA,0.36217
E13_414,0.82897,NA
E35_464,0.92958,NA
E87_271,0.54125,NA
E27_382,NA,0.76459
E145_84,0.16499,NA
E53_166,0.32998,NA
E143_63,0.12274,NA
E156_116,0.22938,NA
E47_476,0.95372,NA
E60_443,NA,0.88732
E23_8,0.01207,NA
E89_246,0.49095,NA
E127_396,0.79276,NA
E79_34,0.06439,NA
E86_350,0.7002,NA
E41_383,0.7666,NA
E188_132,0.26157,NA
E29_338,0.67606,NA
E34_478,NA,0.95775
E140_90,0.17706,NA
E18_205,NA,0.40845
E65_244,NA,0.48692
E195_126,0.2495,NA
E119_449,NA,0.8994
E76_169,0.33602,NA
E158_397,0.79477,NA
E91_45,0.08652,NA
E123_423,NA,0.84708
E57_252,NA,0.50302
E62_341,0.68209,NA
E54_464,0.92958,NA
E38_108,NA,0.21328
E67_352,0.70423,NA
E128_358,NA,0.7163
E192_108,0.21328,NA
E24_473,0.94769,NA
E12_159,0.3159,NA
E55_382,0.76459,NA
E185_185,NA,0.36821
E17_470,NA,0.94165
E130_388,NA,0.77666
E125_227,0.45272,NA
E36_34,0.06439,NA
E189_442,0.88531,NA
E118_499,NA,1.0
E176_26,0.04829,NA
E68_499,NA,1.0
E90_454,NA,0.90946
E22_308,NA,0.61569
E162_45,NA,0.08652
E7_489,0.97988,NA
E3_350,0.7002,NA
E147_229,NA,0.45674
E69_186,0.37022,NA
E165_165,0.32797,NA
E2_309,0.61771,NA
E167_340,NA,0.68008
E164_397,NA,0.79477
E58_317,0.6338,NA
E197_118,0.2334,NA
E173_293,NA,0.58551
E120_103,0.20322,NA
E96_253,0.50503,NA
E196_122,NA,0.24145
E113_98,NA,0.19316
E66_443,0.88732,NA
E28_41,NA,0.07847
E199_389,NA,0.77867
E134_400,NA,0.8008
E100_318,0.63581,NA
E56_14,0.02414,NA
E172_476,0.95372,NA
E32_392,0.78471,NA
E137_129,0.25553,NA
E31_2,0.0,NA
E157_319,0.63783,NA
E124_324,0.64789,NA
E98_244,NA,0.48692
E144_384,NA,0.76861
E150_213,NA,0.42455
E0_327,NA,0.65392
E138_493,NA,0.98793
E5_240,0.47887,NA
E133_181,NA,0.36016
E81_59,NA,0.11469
E126_80,NA,0.15694
E20_489,0.97988,NA
E183_153,NA,0.30382
E159_337,NA,0.67404
E88_113,NA,0.22334
E114_474,0.9497,NA
E170_266,NA,0.53119
E181_206,0.41046,NA
E25_131,0.25956,NA
E4_26,0.04829,NA
E80_134,0.26559,NA
E117_401,0.80282,NA
E93_328,0.65594,NA
E48_95,0.18712,NA
E43_104,NA,0.20523
E107_387,0.77465,NA
E175_221,NA,0.44064
E14_138,NA,0.27364
E161_108,0.21328,NA
E105_54,NA,0.10463
E155_369,0.73843,NA
E148_405,NA,0.81087
E21_485,NA,0.97183
E59_17,NA,0.03018
E110_50,NA,0.09658
E73_438,0.87726,NA
E186_348,NA,0.69618
E184_432,NA,0.86519
E51_188,NA,0.37425
E146_98,NA,0.19316
E94_59,0.11469,NA
E72_490,0.98189,NA
E8_329,NA,0.65795
E135_390,0.78068,NA
E193_437,NA,0.87525
E154_47,0.09054,NA
E104_270,0.53924,NA
E116_145,0.28773,NA
E39_343,0.68612,NA
E129_170,0.33803,NA
E9_262,NA,0.52314
E44_379,NA,0.75855
E11_397,0.79477,NA
E180_437,0.87525,NA
E74_109,NA,0.21529
E42_174,NA,0.34608
E174_183,0.36419,NA
E30_167,NA,0.33199
E97_192,0.38229,NA
E106_17,NA,0.03018
E141_64,NA,0.12475
E46_283,NA,0.56539
E142_340,0.68008,NA
E182_457,0.91549,NA
E6_126,0.2495,NA
E166_421,NA,0.84306
E103_481,0.96378,NA
E95_88,NA,0.17304
E111_317,0.6338,NA
E85_285,0.56942,NA
E75_193,NA,0.38431
E152_470,NA,0.94165
E1_486,0.97384,NA
E121_161,0.31992,NA
E151_177,0.35211,NA
E198_69,0.13481,NA
E77_283,NA,0.56539
E168_307,0.61368,NA
E160_74,0.14487,NA
E61_390,0.78068,NA
E101_412,0.82495,NA
E15_129,0.25553,NA
E131_322,NA,0.64386
E63_381,0.76258,NA
E115_347,0.69416,NA
E78_98,0.19316,NA
E132_372,0.74447,NA
E136_209,0.4165,NA
E139_160,0.31791,NA
E52_217,0.4326,NA
E163_428,NA,0.85714
E169_106,NA,0.20926
E153_269,NA,0.53722
E40_172,0.34205,NA
E84_463,0.92757,NA
E64_416,NA,0.833
