,PseudoTime1,PseudoTime2
E2661_44,NA,0.08635
E890_34,NA,0.06627
E2055_482,NA,0.96586
E708_313,NA,0.62651
E4454_449,NA,0.8996
E2704_440,NA,0.88153
E4557_156,0.31124,NA
E3979_238,0.4759,NA
E1566_61,0.12048,NA
E1595_304,0.60843,NA
E894_383,NA,0.76707
E2454_17,NA,0.03213
E3610_487,NA,0.9759
E1542_276,0.55221,NA
E2253_437,0.8755,NA
E1813_160,0.31928,NA
E1449_302,NA,0.60442
E1501_218,NA,0.43574
E228_147,NA,0.29317
E4246_400,0.8012,NA
E1788_280,NA,0.56024
E4797_293,0.58635,NA
E1122_187,0.37349,NA
E262_335,NA,0.67068
E1908_104,NA,0.20683
E4872_416,NA,0.83333
E1269_484,0.96988,NA
E4427_213,0.4257,NA
E3316_436,NA,0.87349
E2867_463,NA,0.92771
E1643_324,0.64859,NA
E4410_275,0.5502,NA
E3263_134,0.26707,NA
E4305_475,0.95181,NA
E2408_413,0.82731,NA
E1581_118,NA,0.23494
E3824_322,0.64458,NA
E1376_274,0.54819,NA
E4608_290,0.58032,NA
E2475_63,NA,0.1245
E3342_35,NA,0.06827
E1253_407,NA,0.81526
E4817_360,0.72088,NA
E2796_238,NA,0.4759
E4419_107,NA,0.21285
E2441_446,NA,0.89357
E1548_451,0.90361,NA
E4092_351,0.70281,NA
E3127_477,0.95582,NA
E337_153,0.30522,NA
E2293_187,NA,0.37349
E2615_425,NA,0.85141
E4279_150,0.2992,NA
E2945_137,0.27309,NA
E3560_393,NA,0.78715
E4347_212,NA,0.42369
E1910_426,NA,0.85341
E1827_469,NA,0.93976
E427_243,NA,0.48594
E3971_249,NA,0.49799
E2021_368,NA,0.73695
E1055_256,NA,0.51205
E3264_37,0.07229,NA
E569_286,NA,0.57229
E381_8,NA,0.01406
E1808_49,NA,0.09639
E4208_398,0.79719,NA
E3879_467,NA,0.93574
E522_319,0.63855,NA
E611_135,0.26908,NA
E2203_222,0.44378,NA
E660_203,0.40562,NA
E2503_407,0.81526,NA
E3619_253,NA,0.50602
E2453_121,0.24096,NA
E446_485,0.97189,NA
E3384_492,NA,0.98594
E833_3,NA,0.00402
E3047_60,0.11847,NA
E4474_461,NA,0.92369
E249_406,NA,0.81325
E218_193,0.38554,NA
E3077_340,NA,0.68072
E1192_292,0.58434,NA
E3678_304,NA,0.60843
E4679_320,NA,0.64056
E194_302,NA,0.60442
E3410_177,0.35341,NA
E2100_144,NA,0.28715
E4789_289,0.57831,NA
E3393_479,NA,0.95984
E4966_253,NA,0.50602
E4829_222,0.44378,NA
E692_285,NA,0.57028
E4657_95,NA,0.18876
E51_292,NA,0.58434
E3800_306,0.61245,NA
E3447_212,0.42369,NA
E3812_229,NA,0.45783
E4651_476,0.95382,NA
E1729_309,0.61847,NA
E34_264,NA,0.52811
E2927_54,NA,0.10643
E830_104,0.20683,NA
E426_476,NA,0.95382
E1503_155,0.30924,NA
E2717_104,0.20683,NA
E2090_390,NA,0.78112
E2390_270,NA,0.54016
E3192_336,NA,0.67269
E2426_216,NA,0.43173
E572_323,NA,0.64659
E4989_168,NA,0.33534
E2752_250,0.5,NA
E360_252,NA,0.50402
E1081_335,NA,0.67068
E960_458,NA,0.91767
E2829_451,NA,0.90361
E3034_340,0.68072,NA
E754_367,0.73494,NA
E1587_463,NA,0.92771
E2178_286,NA,0.57229
E4039_71,0.14056,NA
E1873_425,NA,0.85141
E3001_319,NA,0.63855
E2790_175,NA,0.3494
E2709_460,0.92169,NA
E83_102,0.20281,NA
E952_49,0.09639,NA
E758_193,NA,0.38554
E3772_208,0.41566,NA
E641_119,0.23695,NA
E844_377,0.75502,NA
E3227_195,NA,0.38956
E3623_255,0.51004,NA
E132_440,NA,0.88153
E1945_480,0.96185,NA
E158_34,NA,0.06627
E181_416,NA,0.83333
E3711_32,0.06225,NA
E4778_359,NA,0.71888
E4348_56,NA,0.11044
E3808_116,NA,0.23092
E877_437,0.8755,NA
E2930_281,0.56225,NA
E4708_417,0.83534,NA
E2937_186,NA,0.37149
E261_170,NA,0.33936
E386_409,NA,0.81928
E4890_99,0.19679,NA
E460_135,NA,0.26908
E3988_336,0.67269,NA
E4384_303,NA,0.60643
E4628_332,NA,0.66466
E3018_92,0.18273,NA
E3682_446,NA,0.89357
E2683_432,0.86546,NA
E2180_334,NA,0.66867
E1086_389,NA,0.77912
E1460_12,NA,0.02209
E4400_331,0.66265,NA
E1642_183,0.36546,NA
E2705_413,0.82731,NA
E3502_226,NA,0.45181
E2077_53,NA,0.10442
E3621_174,0.34739,NA
E2078_396,NA,0.79317
E2525_22,0.04217,NA
E3455_456,0.91365,NA
E1026_30,0.05823,NA
E2354_416,NA,0.83333
E3053_371,0.74297,NA
E392_84,NA,0.16667
E1982_292,NA,0.58434
E873_441,NA,0.88353
E4821_199,0.39759,NA
E626_69,0.13655,NA
E998_54,NA,0.10643
E135_417,0.83534,NA
E1552_241,NA,0.48193
E662_45,NA,0.08835
E4326_374,NA,0.749
E1427_147,0.29317,NA
E3430_234,NA,0.46787
E2655_407,0.81526,NA
E4145_369,0.73896,NA
E966_61,0.12048,NA
E2751_438,0.87751,NA
E796_391,NA,0.78313
E2114_248,0.49598,NA
E3922_329,0.65863,NA
E1559_39,NA,0.07631
E230_416,NA,0.83333
E215_34,0.06627,NA
E2720_492,NA,0.98594
E2050_131,NA,0.26104
E2409_399,0.7992,NA
E2045_80,NA,0.15863
E814_339,0.67871,NA
E3239_373,0.74699,NA
E4606_7,NA,0.01205
E1471_142,NA,0.28313
E4333_198,NA,0.39558
E1930_455,NA,0.91165
E2195_247,NA,0.49398
E4706_414,0.82932,NA
E1508_314,0.62851,NA
E2652_496,0.99398,NA
E3695_124,0.24699,NA
E4957_168,0.33534,NA
E860_151,0.3012,NA
E3076_468,0.93775,NA
E1378_194,NA,0.38755
E2806_28,0.05422,NA
E329_117,NA,0.23293
E4922_126,0.251,NA
E2873_334,0.66867,NA
E3539_416,0.83333,NA
E3422_422,0.84538,NA
E3171_499,1.0,NA
E2318_293,0.58635,NA
E3656_274,NA,0.54819
E290_277,NA,0.55422
E410_278,NA,0.55622
E2626_213,NA,0.4257
E3761_288,NA,0.57631
E3255_224,NA,0.44779
E4226_230,NA,0.45984
E1205_373,NA,0.74699
E3591_154,NA,0.30723
E109_359,0.71888,NA
E1213_292,0.58434,NA
E3091_401,0.80321,NA
E3435_360,0.72088,NA
E117_297,0.59438,NA
E712_492,0.98594,NA
E1787_154,0.30723,NA
E4067_299,0.59839,NA
E3041_399,NA,0.7992
E3283_76,NA,0.1506
E962_228,NA,0.45582
E128_311,NA,0.62249
E2825_340,NA,0.68072
E123_86,NA,0.17068
E4497_84,0.16667,NA
E3463_222,NA,0.44378
E1107_133,NA,0.26506
E1713_221,NA,0.44177
E1496_298,0.59639,NA
E1207_334,NA,0.66867
E4530_234,NA,0.46787
E2750_292,0.58434,NA
