,PseudoTime1,PseudoTime2,PseudoTime3
E507_272,NA,0.3396,NA
E961_37,0.04511,NA,NA
E4328_495,NA,0.61905,NA
E1375_244,NA,NA,0.30451
E3014_117,NA,NA,0.14536
E4443_505,0.63158,NA,NA
E449_692,NA,NA,0.86591
E374_437,NA,NA,0.54637
E3477_235,NA,0.29323,NA
E4299_244,NA,0.30451,NA
E3825_30,NA,NA,0.03634
E4971_749,0.93734,NA,NA
E2998_249,0.31078,NA,NA
E4354_665,NA,NA,0.83208
E2024_798,0.99875,NA,NA
E2643_786,0.98371,NA,NA
E4034_554,0.69298,NA,NA
E4591_581,NA,NA,0.72682
E3443_584,0.73058,NA,NA
E3169_468,0.58521,NA,NA
E598_50,NA,0.0614,NA
E3095_729,NA,NA,0.91228
E4396_295,NA,0.36842,NA
E2953_174,0.21679,NA,NA
E3032_262,NA,0.32707,NA
E2935_555,NA,NA,0.69424
E1730_697,0.87218,NA,NA
E3467_24,0.02882,NA,NA
E936_629,NA,0.78697,NA
E3085_590,NA,NA,0.7381
E2046_32,0.03885,NA,NA
E3812_136,NA,NA,0.16917
E3037_753,0.94236,NA,NA
E635_715,NA,0.89474,NA
E1405_743,NA,0.92982,NA
E135_102,NA,NA,0.12657
E1673_149,NA,0.18546,NA
E2746_452,NA,0.56516,NA
E1036_649,0.81203,NA,NA
E1557_1,0.0,NA,NA
E972_158,NA,NA,0.19674
E4376_38,NA,0.04637,NA
E3748_64,NA,NA,0.07895
E3583_34,0.04135,NA,NA
E1670_114,NA,0.1416,NA
E3519_311,NA,0.38847,NA
E4394_61,NA,0.07519,NA
E2645_669,NA,0.83709,NA
E4976_404,NA,0.50501,NA
E4993_744,0.93108,NA,NA
E97_667,NA,0.83459,NA
E4302_124,NA,0.15414,NA
E4826_589,0.73684,NA,NA
E2452_115,NA,NA,0.14286
E4205_581,0.72682,NA,NA
E2183_431,NA,NA,0.53885
E2922_202,0.25188,NA,NA
E298_97,NA,0.1203,NA
E3884_165,NA,0.20551,NA
E4902_394,NA,NA,0.49248
E1656_705,NA,NA,0.88221
E4024_400,NA,0.5,NA
E3165_478,0.59774,NA,NA
E3333_150,NA,0.18672,NA
E105_622,NA,NA,0.7782
E2130_224,NA,NA,0.27945
E897_658,NA,NA,0.82331
E3405_552,NA,NA,0.69048
E862_678,0.84837,NA,NA
E4073_646,NA,0.80827,NA
E2727_279,0.34837,NA,NA
E2273_758,NA,NA,0.94862
E3167_358,NA,NA,0.44737
E453_553,0.69173,NA,NA
E1738_307,NA,NA,0.38346
E2175_712,NA,NA,0.89098
E933_786,NA,NA,0.98371
E2368_132,NA,0.16416,NA
E1476_447,0.5589,NA,NA
E3818_186,NA,NA,0.23183
E2568_361,NA,0.45113,NA
E2507_179,NA,NA,0.22306
E2256_32,0.03885,NA,NA
E4502_632,0.79073,NA,NA
E3348_272,NA,0.3396,NA
E1355_388,0.48496,NA,NA
E2360_385,NA,NA,0.4812
E3847_435,0.54386,NA,NA
E2028_657,NA,NA,0.82206
E682_583,NA,0.72932,NA
E3709_484,NA,NA,0.60526
E1445_216,NA,NA,0.26942
E3176_216,NA,NA,0.26942
E2909_611,NA,0.76441,NA
E2014_214,0.26692,NA,NA
E1711_136,0.16917,NA,NA
E2060_703,NA,NA,0.8797
E2504_462,0.57769,NA,NA
E2077_665,0.83208,NA,NA
E3397_444,NA,0.55514,NA
E4715_797,NA,0.99749,NA
E3231_609,0.7619,NA,NA
E3640_455,NA,0.56892,NA
E4720_332,0.41479,NA,NA
E430_206,NA,NA,0.25689
E1828_110,NA,0.13659,NA
E2194_350,0.43734,NA,NA
E4431_670,0.83835,NA,NA
E2769_187,0.23308,NA,NA
E2580_236,0.29449,NA,NA
E227_312,NA,NA,0.38972
E2943_14,NA,0.01629,NA
E4981_454,NA,NA,0.56767
E4824_126,NA,0.15664,NA
E4521_542,NA,NA,0.67794
E2049_500,NA,NA,0.62531
E4966_167,NA,0.20802,NA
E985_459,NA,NA,0.57393
E3445_571,0.71429,NA,NA
E2365_687,NA,NA,0.85965
E3398_39,NA,NA,0.04762
E4520_429,NA,0.53634,NA
E3616_451,0.56391,NA,NA
E2902_403,NA,NA,0.50376
E3389_412,NA,NA,0.51504
E1086_205,NA,NA,0.25564
E1601_187,NA,NA,0.23308
E3520_638,NA,0.79825,NA
E1652_695,NA,0.86967,NA
E4040_498,NA,NA,0.62281
E3804_541,0.67669,NA,NA
E1565_345,0.43108,NA,NA
E4147_85,NA,NA,0.10526
E3123_318,0.39724,NA,NA
E229_418,NA,NA,0.52256
E681_123,NA,0.15288,NA
E579_452,0.56516,NA,NA
E3830_684,NA,NA,0.85589
E947_306,0.38221,NA,NA
E2797_766,NA,0.95865,NA
E2972_335,NA,NA,0.41855
E2629_519,NA,0.64912,NA
E4879_3,0.00251,NA,NA
E988_299,NA,NA,0.37343
E4892_740,NA,NA,0.92607
E928_348,NA,0.43484,NA
E3234_574,NA,0.71805,NA
E2424_674,NA,0.84336,NA
E2811_414,0.51754,NA,NA
E4375_38,NA,NA,0.04637
E4158_345,0.43108,NA,NA
E2176_231,0.28822,NA,NA
E2289_290,NA,0.36216,NA
E1420_531,0.66416,NA,NA
E4420_684,0.85589,NA,NA
E2613_345,NA,NA,0.43108
E3799_447,0.5589,NA,NA
E4118_450,NA,NA,0.56266
E1517_771,NA,0.96491,NA
E1539_619,0.77444,NA,NA
E2178_253,0.31579,NA,NA
E3427_187,NA,NA,0.23308
E4064_769,NA,0.96241,NA
E3194_319,NA,NA,0.3985
E2801_544,NA,0.68045,NA
E2254_358,NA,0.44737,NA
E3701_438,NA,0.54762,NA
E2658_151,NA,NA,0.18797
E3152_350,0.43734,NA,NA
E1787_716,0.89599,NA,NA
E2573_517,NA,NA,0.64662
E1710_355,0.44361,NA,NA
E231_692,NA,0.86591,NA
E4253_786,0.98371,NA,NA
E645_546,0.68296,NA,NA
E3590_25,NA,NA,0.03008
E4662_578,NA,NA,0.72306
E1836_689,NA,NA,0.86216
E481_122,0.15163,NA,NA
E1429_736,NA,0.92105,NA
E2751_622,NA,NA,0.7782
E1364_378,NA,NA,0.47243
E2138_104,0.12907,NA,NA
E1162_249,0.31078,NA,NA
E1737_539,NA,NA,0.67419
E4258_16,NA,NA,0.0188
E3641_233,NA,0.29073,NA
E2865_316,NA,0.39474,NA
E4669_122,0.15163,NA,NA
E4794_457,NA,0.57143,NA
E3028_190,0.23684,NA,NA
E123_89,NA,NA,0.11028
E4871_475,NA,NA,0.59398
E4697_798,NA,NA,0.99875
E1234_362,0.45238,NA,NA
E523_53,0.06516,NA,NA
E2989_293,0.36591,NA,NA
E2335_32,0.03885,NA,NA
E2290_661,NA,NA,0.82707
E518_582,0.72807,NA,NA
E2651_335,0.41855,NA,NA
E1942_243,0.30326,NA,NA
E1056_370,0.46241,NA,NA
E475_211,NA,0.26316,NA
E3235_265,0.33083,NA,NA
E2800_225,NA,NA,0.2807
E1436_727,NA,NA,0.90977
E239_251,NA,0.31328,NA
E47_160,NA,NA,0.19925
E4228_407,NA,NA,0.50877
E3906_49,NA,NA,0.06015
E835_617,0.77193,NA,NA
E4173_482,0.60276,NA,NA
E2238_397,NA,0.49624,NA
E4110_307,NA,NA,0.38346
E808_145,0.18045,NA,NA
E3241_366,NA,NA,0.45739
E1201_513,0.6416,NA,NA
E4805_121,NA,0.15038,NA
E4350_222,0.27694,NA,NA
E916_289,0.3609,NA,NA
E3670_714,NA,0.89348,NA
E4229_476,0.59524,NA,NA
E1946_669,NA,NA,0.83709
E583_629,NA,0.78697,NA
E382_251,0.31328,NA,NA
E4297_193,0.2406,NA,NA
E446_679,NA,0.84962,NA
E2023_458,0.57268,NA,NA
E2346_386,0.48246,NA,NA
E4356_21,NA,0.02506,NA
E1447_185,NA,NA,0.23058
E4268_133,0.16541,NA,NA
E4909_39,0.04762,NA,NA
E3304_204,NA,NA,0.25439
E68_65,0.0802,NA,NA
E418_271,NA,0.33835,NA
E2250_234,0.29198,NA,NA
E903_523,NA,0.65414,NA
E3947_737,0.92231,NA,NA
E3315_5,NA,0.00501,NA
E3313_491,NA,NA,0.61404
E955_181,NA,0.22556,NA
E3575_648,NA,0.81078,NA
E4690_442,NA,0.55263,NA
E2485_785,0.98246,NA,NA
E4092_448,0.56015,NA,NA
E4430_403,0.50376,NA,NA
E3649_759,NA,NA,0.94987
E4852_616,0.77068,NA,NA
E186_199,NA,NA,0.24812
E4763_237,NA,0.29574,NA
E4592_460,0.57519,NA,NA
E4795_98,NA,NA,0.12155
E4943_499,0.62406,NA,NA
