,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4,PseudoTime5
E1212_48,,,0.09437999999999999,,
E1928_158,,,0.31526,,
E1803_422,0.8453799999999999,,,,
E333_372,,,0.74498,,
E16_344,,,0.68876,,
E87_159,,0.31727,,,
E165_42,,0.08233,,,
E867_92,,0.18273,,,
E1018_201,,0.40160999999999997,,,
E1681_165,,0.32932,,,
E1676_114,,,0.22691,,
E1240_419,,0.83936,,,
E500_47,0.09237000000000001,,,,
E1268_73,,0.14458,,,
E322_133,0.26506,,,,
E1943_298,,,0.59639,,
E742_423,,0.84739,,,
E229_430,0.86145,,,,
E278_306,0.61245,,,,
E1690_401,,,0.8032100000000001,,
E517_6,,,,0.01004,
E107_217,,0.43373,,,
E1009_395,,0.7911600000000001,,,
E1663_69,,0.13655,,,
E1995_48,,,,0.09437999999999999,
E446_232,0.46386000000000005,,,,
E793_143,,,0.28514,,
E1299_26,0.0502,,,,
E189_83,0.16466,,,,
E1841_436,0.87349,,,,
E1238_97,0.19277,,,,
E1640_258,,0.5160600000000001,,,
E1128_227,0.45382,,,,
E496_467,0.93574,,,,
E605_183,,,0.36546,,
E1263_24,,,,0.04618,
E1552_255,0.5100399999999999,,,,
E1469_430,,0.86145,,,
E746_224,,,,,0.44778999999999997
E1326_207,,,0.41365,,
E1135_427,,0.8554200000000001,,,
E706_138,0.2751,,,,
E1878_337,,0.6747,,,
E1948_332,0.66466,,,,
E1185_47,0.09237000000000001,,,,
E347_300,,0.6004,,,
E1739_62,,0.12249000000000002,,,
E386_216,,0.43173,,,
E682_183,,0.36546,,,
E1874_35,0.06827000000000001,,,,
E463_456,,0.91365,,,
E1722_211,0.42168999999999995,,,,
E869_189,0.37751,,,,
E405_55,,,0.10843,,
E986_191,,,0.38153000000000004,,
E40_66,,0.13052,,,
E1175_71,,,,0.14056,
E1087_24,0.04618,,,,
E877_227,,,0.45382,,
E158_109,,,0.21686999999999998,,
E1724_481,,0.96386,,,
E858_341,0.6827300000000001,,,,
E1124_23,,,0.044180000000000004,,
E1285_430,,0.86145,,,
E1393_292,,,,0.58434,
E43_473,,,0.9477899999999999,,
E1886_373,,0.7469899999999999,,,
E454_28,,,0.054220000000000004,,
E1433_442,,0.88554,,,
E1361_24,0.04618,,,,
E1069_327,,,0.65462,,
E348_373,,,0.7469899999999999,,
E1164_197,0.39357,,,,
E1109_26,0.0502,,,,
E1831_167,,0.33333,,,
E428_449,,0.8996,,,
E827_68,0.13454000000000002,,,,
E1274_73,,,0.14458,,
E795_304,0.60843,,,,
E1897_75,,0.14859,,,
E122_70,0.13855,,,,
E269_420,,,,0.8413700000000001,
E195_2,,0.00201,,,
E1673_4,0.00602,,,,
E1237_424,0.8494,,,,
E372_303,,,0.60643,,
E1645_454,,0.90964,,,
E1507_234,0.46787,,,,
E616_291,,,,0.58233,
E1422_372,,,0.74498,,
E1694_216,,,0.43173,,
E954_136,,0.27108000000000004,,,
E1070_417,0.83534,,,,
E1860_53,,,0.10442,,
E593_96,,0.19075999999999999,,,
E314_371,,,,,0.74297
E688_209,0.41767,,,,
E729_471,0.94378,,,,
E540_113,,,0.2249,,
E1129_322,,,0.64458,,
E1030_466,,,0.93373,,
E1782_467,,0.93574,,,
E1637_352,,,0.70482,,
E629_498,,,0.9979899999999999,,
E1322_403,0.80723,,,,
E188_104,,,0.20683,,
E1353_203,0.40562,,,,
E979_473,,,0.9477899999999999,,
E464_78,,0.15462,,,
E962_50,,0.09838999999999999,,,
E1698_128,,,0.25501999999999997,,
E1365_467,,0.93574,,,
E1386_262,,0.5241,,,
E1272_92,,,0.18273,,
E1067_168,,,0.33534,,
E1147_18,0.03414,,,,
E1844_434,,,0.8694799999999999,,
E243_408,,0.8172699999999999,,,
E758_484,0.96988,,,,
E638_450,0.90161,,,,
E81_176,,,0.35141,,
E894_325,,0.6506,,,
E1413_332,,,0.66466,,
E1787_143,0.28514,,,,
E1813_154,,,0.30723,,
E660_242,0.48394,,,,
E1310_227,,,,0.45382,
E1098_200,,,,0.3996,
E851_379,,0.7590399999999999,,,
E1535_267,,0.53414,,,
E920_296,,,0.59237,,
E579_232,,,,0.46386000000000005,
E806_308,,0.61647,,,
E965_107,0.21285,,,,
E1287_461,0.92369,,,,
E1991_197,0.39357,,,,
E1174_311,,,0.62249,,
E1406_445,0.8915700000000001,,,,
E1915_135,,,0.26908000000000004,,
E393_326,,,0.65261,,
E1283_94,0.18675,,,,
E1806_18,,,0.03414,,
E1656_461,,0.92369,,,
E1341_252,0.50402,,,,
E1444_16,,0.030119999999999997,,,
