,LRP,source_gene,target_gene
1,0.0037483377,Dbx2,Dbx1
2,0.004151092,Irx3,Dbx1
3,0.0033731216,Nkx22,Dbx1
4,0.0038378458,Nkx61,Dbx1
5,0.01143435,Nkx62,Dbx1
6,0.0012658465,Olig2,Dbx1
7,0.011755085,Pax6,Dbx1
10,0.0023053584,Irx3,Dbx2
11,0.006950331,Nkx22,Dbx2
12,0.050539978,Nkx61,Dbx2
13,0.017196737,Nkx62,Dbx2
14,0.01342149,Olig2,Dbx2
15,0.021858467,Pax6,Dbx2
19,0.00539836,Nkx22,Irx3
20,0.004852796,Nkx61,Irx3
21,0.0070657544,Nkx62,Irx3
22,0.0046504755,Olig2,Irx3
23,0.005119698,Pax6,Irx3
28,0.0052381093,Nkx61,Nkx22
29,0.005779574,Nkx62,Nkx22
30,0.0051090866,Olig2,Nkx22
31,0.0030379696,Pax6,Nkx22
37,0.008738939,Nkx62,Nkx61
38,0.014568622,Olig2,Nkx61
39,0.011383328,Pax6,Nkx61
46,0.010961373,Olig2,Nkx62
47,0.005013357,Pax6,Nkx62
55,0.0060010515,Pax6,Olig2
