,LRP,source_gene,target_gene
1,0.0048716324,Dbx2,Dbx1
2,0.011592259,Irx3,Dbx1
3,0.01156114,Nkx22,Dbx1
4,0.0065918774,Nkx61,Dbx1
5,0.00492631,Nkx62,Dbx1
6,0.0036915464,Olig2,Dbx1
7,0.0146868015,Pax6,Dbx1
10,0.0071243914,Irx3,Dbx2
11,0.00994166,Nkx22,Dbx2
12,0.004468789,Nkx61,Dbx2
13,0.002042945,Nkx62,Dbx2
14,0.0012427794,Olig2,Dbx2
15,0.009518955,Pax6,Dbx2
19,0.0099738855,Nkx22,Irx3
20,0.0072680525,Nkx61,Irx3
21,0.0047874292,Nkx62,Irx3
22,0.0059452155,Olig2,Irx3
23,0.02538934,Pax6,Irx3
28,0.00798216,Nkx61,Nkx22
29,0.006551888,Nkx62,Nkx22
30,0.020703007,Olig2,Nkx22
31,0.058651075,Pax6,Nkx22
37,0.00342582,Nkx62,Nkx61
38,0.008838946,Olig2,Nkx61
39,0.013920762,Pax6,Nkx61
46,0.0023388434,Olig2,Nkx62
47,0.0047206664,Pax6,Nkx62
55,0.027889978,Pax6,Olig2
