Gene1,Gene2
DKK1,RSPO1
GATA4,WT1mKTS
SRY,SOX9
WNT4,NR5A1
PGD2,SOX9
SRY,GATA4
DKK1,WNT4
SOX9,SRY
WNT4,SOX9
CTNNB1,FOXL2
SOX9,FOXL2
RSPO1,CTNNB1
WNT4,UGR
SOX9,AMH
WT1mKTS,SRY
GATA4,WNT4
CTNNB1,CBX2
UGR,GATA4
CTNNB1,RSPO1
NR5A1,SOX9
SRY,DMRT1
WNT4,GATA4
CTNNB1,WT1pKTS
SRY,CTNNB1
NR0B1,NR5A1
GATA4,AMH
NR5A1,UGR
CBX2,SRY
NR0B1,CBX2
WT1pKTS,SRY
NR0B1,AMH
WNT4,FGF9
UGR,WT1pKTS
FOXL2,DMRT1
SOX9,DHH
UGR,WT1mKTS
GATA4,SRY
WNT4,RSPO1
RSPO1,WNT4
WNT4,NR0B1
SRY,DKK1
NR5A1,AMH
NR5A1,SRY
FGF9,WNT4
SOX9,PGD2
NR5A1,GATA4
SOX9,CTNNB1
UGR,CBX2
WNT4,WT1pKTS
SOX9,DKK1
WT1mKTS,AMH
CBX2,NR5A1
GATA4,WT1pKTS
FOXL2,SOX9
WT1mKTS,NR5A1
NR5A1,NR0B1
WNT4,CBX2
SRY,SRY
UGR,UGR
UGR,NR5A1
CBX2,SOX9
CTNNB1,AMH
FGF9,SOX9
