Gene1,Gene2
CTNNB1,WT1pKTS
WT1mKTS,NR5A1
WT1mKTS,AMH
WNT4,RSPO1
WNT4,CBX2
WNT4,NR0B1
GATA4,SRY
SOX9,SOX9
RSPO1,CTNNB1
GATA4,NR5A1
SOX9,CTNNB1
SRY,SRY
WNT4,FOXL2
CTNNB1,RSPO1
UGR,GATA4
WNT4,FGF9
CTNNB1,SRY
SRY,DMRT1
WT1pKTS,SRY
SOX9,FGF9
WNT4,GATA4
FOXL2,DMRT1
CTNNB1,AMH
CTNNB1,WNT4
NR5A1,SOX9
WNT4,NR5A1
FOXL2,SOX9
UGR,WT1mKTS
PGD2,SOX9
UGR,WT1pKTS
FGF9,WNT4
SOX9,FOXL2
SOX9,DKK1
CBX2,SRY
SOX9,NR0B1
CTNNB1,NR0B1
WNT4,WT1pKTS
RSPO1,WNT4
DKK1,WNT4
SOX9,AMH
UGR,UGR
SRY,GATA4
GATA4,WT1pKTS
GATA4,WNT4
NR5A1,AMH
CTNNB1,FOXL2
WNT4,CTNNB1
DKK1,RSPO1
SOX9,DMRT1
FGF9,SOX9
CBX2,NR5A1
NR5A1,UGR
GATA4,WT1mKTS
AMH,CTNNB1
NR5A1,GATA4
SOX9,PGD2
WT1mKTS,SRY
CBX2,SOX9
SRY,SOX9
SRY,CTNNB1
SOX9,SRY
NR0B1,NR5A1
DMRT1,FOXL2
