,LRP,source_gene,target_gene
1,0.0035026474,Dbx2,Dbx1
2,0.009407656,Irx3,Dbx1
3,0.0470295,Nkx22,Dbx1
4,0.0055349125,Nkx61,Dbx1
5,0.0010340421,Nkx62,Dbx1
6,0.009736757,Olig2,Dbx1
7,0.021665137,Pax6,Dbx1
10,0.0048702643,Irx3,Dbx2
11,0.011790745,Nkx22,Dbx2
12,0.0030796083,Nkx61,Dbx2
13,0.0030490204,Nkx62,Dbx2
14,0.0059034117,Olig2,Dbx2
15,0.022174353,Pax6,Dbx2
19,0.103303924,Nkx22,Irx3
20,0.022730423,Nkx61,Irx3
21,0.0069568185,Nkx62,Irx3
22,0.12930791,Olig2,Irx3
23,0.1186848,Pax6,Irx3
28,0.12786424,Nkx61,Nkx22
29,0.046000138,Nkx62,Nkx22
30,0.16468342,Olig2,Nkx22
31,0.45516965,Pax6,Nkx22
37,0.0034945465,Nkx62,Nkx61
38,0.02137941,Olig2,Nkx61
39,0.05034232,Pax6,Nkx61
46,0.009002326,Olig2,Nkx62
47,0.031106662,Pax6,Nkx62
55,0.13696516,Pax6,Olig2
