Gene1,Gene2
NR0B1,CBX2
FGF9,SOX9
UGR,WT1mKTS
WNT4,CBX2
RSPO1,CTNNB1
UGR,UGR
SOX9,CTNNB1
WNT4,NR5A1
NR0B1,NR5A1
SOX9,SRY
SOX9,DHH
CBX2,NR5A1
RSPO1,WNT4
CTNNB1,SRY
AMH,CTNNB1
WNT4,FOXL2
SOX9,FOXL2
SRY,DMRT1
SOX9,NR0B1
CTNNB1,WNT4
GATA4,WT1mKTS
UGR,NR5A1
CTNNB1,SOX9
SOX9,FGF9
SRY,CTNNB1
SRY,GATA4
FOXL2,SOX9
WNT4,SOX9
DKK1,RSPO1
CTNNB1,RSPO1
SRY,SRY
CTNNB1,AMH
WT1mKTS,NR0B1
WT1mKTS,AMH
PGD2,SOX9
GATA4,WT1pKTS
WNT4,WT1pKTS
NR5A1,UGR
GATA4,AMH
SOX9,PGD2
CTNNB1,WT1pKTS
UGR,WT1pKTS
NR5A1,GATA4
WT1pKTS,SRY
SOX9,DMRT1
WNT4,GATA4
WNT4,CTNNB1
NR5A1,NR0B1
NR0B1,AMH
CTNNB1,NR0B1
WT1mKTS,SRY
FOXL2,DMRT1
CBX2,SRY
FGF9,WNT4
UGR,CBX2
NR5A1,SRY
GATA4,NR5A1
UGR,GATA4
WNT4,NR0B1
WNT4,UGR
SOX9,DKK1
NR5A1,AMH
NR0B1,WNT4
