TF	Target	EdgeWeight
SOX9	DHH	0.010987545363605022
PGD2	FGF9	0.010972164571285248
AMH	PGD2	0.010967986658215523
FOXL2	RSPO1	0.010955754667520523
FGF9	DHH	0.010951094329357147
SRY	DMRT1	0.010944269597530365
WT1pKTS	SRY	0.010941696353256702
FGF9	DMRT1	0.010941320098936558
FGF9	AMH	0.010939723812043667
WNT4	RSPO1	0.010938889347016811
DKK1	SOX9	0.010938736610114574
PGD2	SOX9	0.010929666459560394
DHH	DMRT1	0.010927638970315456
DKK1	FGF9	0.010927334427833557
AMH	DHH	0.010923837311565876
SOX9	DMRT1	0.01092176791280508
DHH	PGD2	0.010920886881649494
NR0B1	RSPO1	0.010920246131718159
DKK1	AMH	0.010918684303760529
FGF9	DKK1	0.010916860774159431
DMRT1	AMH	0.01091677974909544
PGD2	DMRT1	0.010914601385593414
AMH	FGF9	0.010911977849900723
FGF9	SRY	0.010911966674029827
DHH	SOX9	0.010909213684499264
SRY	DKK1	0.01090864185243845
DKK1	DHH	0.010908200405538082
NR5A1	SOX9	0.010906820185482502
WNT4	FOXL2	0.010905465111136436
CTNNB1	NR0B1	0.010897785425186157
NR5A1	WT1pKTS	0.010897223837673664
PGD2	SRY	0.010896582156419754
WNT4	CTNNB1	0.010894420556724072
DHH	SRY	0.010892841033637524
WT1pKTS	SOX9	0.010891148820519447
FGF9	NR5A1	0.01089056208729744
PGD2	DHH	0.010887165553867817
CBX2	UGR	0.01088656671345234
DKK1	SRY	0.010884051211178303
CTNNB1	RSPO1	0.010881617665290833
WT1pKTS	FGF9	0.010881353169679642
DMRT1	NR5A1	0.010880308225750923
SOX9	DKK1	0.010880185291171074
RSPO1	NR0B1	0.01087996643036604
SRY	AMH	0.010878423228859901
NR5A1	CBX2	0.010877746157348156
NR5A1	DKK1	0.010877340100705624
DMRT1	SOX9	0.010876030661165714
RSPO1	WNT4	0.010874629020690918
DKK1	PGD2	0.010874520055949688
AMH	SOX9	0.010870139114558697
SOX9	AMH	0.0108686164021492
DKK1	WT1pKTS	0.010865696705877781
DHH	FGF9	0.01086534932255745
NR0B1	CTNNB1	0.010864405892789364
PGD2	DKK1	0.01086280308663845
RSPO1	CTNNB1	0.010862561874091625
CTNNB1	FOXL2	0.010862467810511589
WT1pKTS	NR5A1	0.01085522398352623
SOX9	PGD2	0.010853449814021587
NR0B1	WNT4	0.010853027924895287
SOX9	WT1pKTS	0.010852320119738579
AMH	WT1pKTS	0.010851627215743065
AMH	DKK1	0.010851497761905193
AMH	SRY	0.010851341299712658
NR5A1	DMRT1	0.010849731974303722
DHH	NR5A1	0.010849220678210258
NR5A1	AMH	0.0108459098264575
DMRT1	DKK1	0.010845096781849861
RSPO1	FOXL2	0.010844086296856403
WT1pKTS	DKK1	0.010843060910701752
NR5A1	UGR	0.010841954499483109
WT1pKTS	PGD2	0.010841704905033112
SOX9	FGF9	0.010840581730008125
WNT4	NR0B1	0.010839957743883133
FOXL2	NR0B1	0.01083874050527811
PGD2	AMH	0.010838624089956284
DHH	DKK1	0.010838015004992485
CTNNB1	WNT4	0.010837674140930176
FOXL2	WNT4	0.010836111381649971
DHH	AMH	0.010834204964339733
CBX2	NR5A1	0.010833912529051304
DKK1	DMRT1	0.010833153501152992
PGD2	NR5A1	0.010831023566424847
SRY	WT1pKTS	0.010828159749507904
WT1mKTS	GATA4	0.010825988836586475
WT1pKTS	CBX2	0.010824120603501797
FGF9	PGD2	0.010823587886989117
SOX9	NR5A1	0.010823439806699753
FOXL2	CTNNB1	0.010821256786584854
UGR	CBX2	0.010816173627972603
SRY	SOX9	0.010812649503350258
NR5A1	PGD2	0.010812393389642239
GATA4	WT1mKTS	0.010810287669301033
DMRT1	DHH	0.01080890279263258
SOX9	SRY	0.010808855295181274
DMRT1	WT1pKTS	0.010808050632476807
CTNNB1	GATA4	0.010807485319674015
NR5A1	DHH	0.010803279466927052
NR5A1	FGF9	0.010802634060382843
SRY	DHH	0.010801452212035656
FGF9	GATA4	0.010800288990139961
UGR	WT1pKTS	0.01079916674643755
DMRT1	PGD2	0.010796666145324707
FGF9	WT1pKTS	0.010795989073812962
GATA4	FGF9	0.010795654729008675
GATA4	AMH	0.0107949273660779
SRY	CBX2	0.010794772766530514
DMRT1	SRY	0.010794604197144508
FGF9	WT1mKTS	0.010794322937726974
WT1pKTS	UGR	0.010793066583573818
DMRT1	FGF9	0.010787530802190304
FGF9	SOX9	0.010787345468997955
WNT4	GATA4	0.010787149891257286
GATA4	RSPO1	0.010783468373119831
PGD2	WT1pKTS	0.010782981291413307
DMRT1	WT1mKTS	0.010782151482999325
AMH	DMRT1	0.010776243172585964
CBX2	GATA4	0.010774394497275352
NR5A1	GATA4	0.010772998444736004
SRY	PGD2	0.010772685520350933
WT1mKTS	FOXL2	0.010771789588034153
CBX2	WT1pKTS	0.010769693180918694
RSPO1	WT1mKTS	0.010769360698759556
GATA4	SRY	0.010768827050924301
GATA4	WNT4	0.01076691597700119
SRY	NR5A1	0.010766474530100822
DKK1	WT1mKTS	0.010762262158095837
UGR	DKK1	0.01076110266149044
WT1mKTS	UGR	0.010760476812720299
WT1pKTS	DMRT1	0.010760432109236717
NR5A1	SRY	0.010760238394141197
AMH	CBX2	0.01075788214802742
WT1mKTS	DKK1	0.010756195522844791
SRY	FGF9	0.010755473747849464
AMH	CTNNB1	0.010750636458396912
WT1mKTS	DMRT1	0.010748855769634247
UGR	WT1mKTS	0.010747487656772137
NR0B1	FOXL2	0.01074710302054882
RSPO1	GATA4	0.010746622458100319
FOXL2	AMH	0.010744540952146053
NR0B1	GATA4	0.01074269413948059
UGR	NR5A1	0.010742157697677612
DKK1	GATA4	0.0107421288266778
UGR	SRY	0.010734529234468937
UGR	PGD2	0.010731936432421207
UGR	CTNNB1	0.010731917805969715
WNT4	SRY	0.010731837712228298
CBX2	FOXL2	0.010731684044003487
AMH	NR5A1	0.010730867274105549
AMH	WT1mKTS	0.010730786249041557
UGR	AMH	0.010730226524174213
DHH	FOXL2	0.010729954577982426
