,LRP,source_gene,target_gene
1,0.032978784,EgrNab,Cebpa
2,0.0025176457,Eklf,Cebpa
3,0.007569098,Fli1,Cebpa
4,0.0029035592,Fog1,Cebpa
5,0.0056266114,Gata1,Cebpa
6,0.015437098,Gata2,Cebpa
7,0.043782704,Gfi1,Cebpa
8,0.018414687,Pu1,Cebpa
9,0.004826482,Scl,Cebpa
10,0.023580585,cJun,Cebpa
13,0.0015627996,Eklf,EgrNab
14,0.00020694823,Fli1,EgrNab
15,0.0011853266,Fog1,EgrNab
16,0.0014636088,Gata1,EgrNab
17,0.0014489967,Gata2,EgrNab
18,0.02516733,Gfi1,EgrNab
19,0.0056249257,Pu1,EgrNab
20,0.00029888732,Scl,EgrNab
21,0.022785917,cJun,EgrNab
25,0.0012674223,Fli1,Eklf
26,0.0034163655,Fog1,Eklf
27,0.0025633438,Gata1,Eklf
28,0.001967705,Gata2,Eklf
29,0.0015641272,Gfi1,Eklf
30,0.0031159723,Pu1,Eklf
31,0.00028399465,Scl,Eklf
32,0.0055525284,cJun,Eklf
37,0.0011873805,Fog1,Fli1
38,0.00033662576,Gata1,Fli1
39,0.004098045,Gata2,Fli1
40,0.011884742,Gfi1,Fli1
41,0.0077189207,Pu1,Fli1
42,0.0009432509,Scl,Fli1
43,0.004059221,cJun,Fli1
49,0.0011176537,Gata1,Fog1
50,0.002298338,Gata2,Fog1
51,0.007214579,Gfi1,Fog1
52,0.002759419,Pu1,Fog1
53,0.0010823857,Scl,Fog1
54,4.398534e-05,cJun,Fog1
61,0.0055174734,Gata2,Gata1
62,0.009523863,Gfi1,Gata1
63,0.0054343883,Pu1,Gata1
64,0.0023325845,Scl,Gata1
65,0.0012672098,cJun,Gata1
73,0.012956324,Gfi1,Gata2
74,0.010578117,Pu1,Gata2
75,0.0014484024,Scl,Gata2
76,0.006758596,cJun,Gata2
85,0.019195871,Pu1,Gfi1
86,0.002811524,Scl,Gfi1
87,0.020245206,cJun,Gfi1
97,0.002150549,Scl,Pu1
98,0.00286977,cJun,Pu1
109,0.0031358793,cJun,Scl
