,LRP,source_gene,target_gene
1,0.00060555566,EgrNab,Cebpa
2,0.015749505,Eklf,Cebpa
3,0.0036560665,Fli1,Cebpa
4,0.0038623281,Fog1,Cebpa
5,0.0022608202,Gata1,Cebpa
6,0.0019686832,Gata2,Cebpa
7,0.0013738893,Gfi1,Cebpa
8,0.0012890399,Pu1,Cebpa
9,0.004056677,Scl,Cebpa
10,0.0012992753,cJun,Cebpa
13,0.01662759,Eklf,EgrNab
14,0.0049461066,Fli1,EgrNab
15,0.0037858696,Fog1,EgrNab
16,0.001756653,Gata1,EgrNab
17,0.0038286026,Gata2,EgrNab
18,0.0011184613,Gfi1,EgrNab
19,0.0038358567,Pu1,EgrNab
20,0.005064067,Scl,EgrNab
21,0.001003561,cJun,EgrNab
25,0.09323728,Fli1,Eklf
26,0.018815966,Fog1,Eklf
27,0.00802104,Gata1,Eklf
28,0.01873216,Gata2,Eklf
29,0.004637927,Gfi1,Eklf
30,0.014856542,Pu1,Eklf
31,0.018867426,Scl,Eklf
32,0.009536292,cJun,Eklf
37,0.0260786,Fog1,Fli1
38,0.008803396,Gata1,Fli1
39,0.024143942,Gata2,Fli1
40,0.008304499,Gfi1,Fli1
41,0.007516941,Pu1,Fli1
42,0.022439558,Scl,Fli1
43,0.006716092,cJun,Fli1
49,0.0038857693,Gata1,Fog1
50,0.011913203,Gata2,Fog1
51,0.0029263122,Gfi1,Fog1
52,0.0016446376,Pu1,Fog1
53,0.0049297707,Scl,Fog1
54,0.008577863,cJun,Fog1
61,0.0012495406,Gata2,Gata1
62,0.0012506664,Gfi1,Gata1
63,0.0019698704,Pu1,Gata1
64,0.010203335,Scl,Gata1
65,0.00224658,cJun,Gata1
73,0.0027418106,Gfi1,Gata2
74,0.002704829,Pu1,Gata2
75,0.009944344,Scl,Gata2
76,0.0054018795,cJun,Gata2
85,0.0012445619,Pu1,Gfi1
86,0.0012104058,Scl,Gfi1
87,0.0034287556,cJun,Gfi1
97,0.004659935,Scl,Pu1
98,0.0026786902,cJun,Pu1
109,0.010170719,cJun,Scl
